Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1936,21,NYY,AL,138,668,22,1,0,11,-5,30,2.6,22,52,4.6,0.519,0.516,3.7,0.6,41,$8500.00,*789,ASMVP-8
1937,22,NYY,AL,151,692,61,1,0,6,-2,66,5.9,24,90,8.2,0.539,0.537,7.7,0.4,84,$15000.00,*8,ASMVP-2
1938,23,NYY,AL,145,660,34,1,0,2,-1,36,3.3,23,59,5.4,0.52,0.520,5.2,0.1,57,$25000.00,*8,ASMVP-6
1939,24,NYY,AL,120,524,59,1,0,11,-1,70,6.3,19,89,8.1,0.553,0.5,7.1,1.0,78,$27500.00,*8,ASMVP-1
1940,25,NYY,AL,132,572,55,0,0,4,-1,58,5.4,20,77,7,0.541,0.533,6.8,0.3,73,$32500.00,*8,ASMVP-3
1941,26,NYY,AL,139,622,66,1,0,8,-1,73,7.1,21,94,9.1,0.551,0.544,8,0.7,86,$37500.00,*8,ASMVP-1
1942,27,NYY,AL,154,680,36,1,0,4,-1,40,4,19,59,6.1,0.527,0.526,5.7,0.4,55,$43750.00,*8,ASMVP-7
,,,,,,,,,,,,,,,,,,,,,,,
1946,31,NYY,AL,132,567,28,1,0,3,-1,31,3.4,17,48,5.1,0.526,0.521,4.8,0.3,45,$43750.00,*8/7,ASMVP-19
1947,32,NYY,AL,141,601,37,1,0,-8,-1,29,3.0,17,47,4.8,0.522,0.519,5.7,-1.0,55,$43750.00,*8,ASMVP-1
1948,33,NYY,AL,153,669,50,2,-2,2,-1,51,5.0,19,71,6.9,0.533,0.531,6.7,0,69,$65000.00,*8,ASMVP-2
1949,34,NYY,AL,76,329,32,1,-1,4,0,36,3.5,10,45,4.4,0.546,0.521,4.0,0.4,41,$100000.00,8,ASMVP-12
1950,35,NYY,AL,139,606,39,1,-2,0,-1,37,3.5,19,56,5.3,0.53,0.521,5.2,0.0,56,$100000.00,*8/3,ASMVP-9
1951,36,NYY,AL,116,482,11,4,-1,2,-1,14,1.4,15,29,2.9,0.513,0.509,2.6,0.2,27,$90000.00,*8,AS
13 Seasons,13 Seasons,13 Seasons,,1736,7672,529,16,-6,49,-18,571,55,245,815,78.1,0.531,0.5,73.4,3,767,$632250.00,,
