Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1938,23,NYY,AL,127,519,1,1,0,9,5,16,1.5,19,35,3.2,0.512,0.509,2.4,1.3,26,$6500.00,*4,MVP-12
1939,24,NYY,AL,151,648,19,-2,0,21,6,44,4.1,23,67,6.3,0.527,0.525,4.3,2.6,46,$10000.00,*4,ASMVP-9
1940,25,NYY,AL,155,677,17,1,0,14,6,38,3.7,23,61,5.8,0.52,0.522,4.4,2.0,47,$14000.00,*4,ASMVP-23
1941,26,NYY,AL,156,665,14,-1,0,14,4,31,3.0,23,53,5.2,0.520,0.5,3.8,1.9,39,$15000.00,*43,ASMVP-7
1942,27,NYY,AL,147,625,38,1,0,16,6,61,6.5,18,79,8,0.544,0.540,6.5,2.5,63,$17000.00,*4,ASMVP-1
1943,28,NYY,AL,152,649,19,-1,0,17,7,42,4.9,19,61,6.8,0.532,0.530,5,2.8,44,$20000.00,*4,ASMVP-25
,,,,,,,,,,,,,,,,,,,,,,,
1946,31,NYY,AL,112,431,-10,-1,0,12,5,6,0.7,13,19,2.0,0.506,0.504,1,1.9,7,,*4,AS
1947,32,CLE,AL,155,626,24,1,0,15,7,48,5.1,18,66,7.0,0.533,0.532,5.3,2.4,51,,*4,ASMVP-7
1948,33,CLE,AL,144,633,26,1,-1,16,7,49,4.8,18,67,6.6,0.533,0.530,4.9,2.3,51,,*4/6,ASMVP-6
1949,34,CLE,AL,148,633,3,-1,-1,14,7,23,2.3,18,41,4.1,0.516,0.514,2.7,2,27,,*4,AS
1950,35,CLE,AL,119,429,-1,3,-1,2,5,8,0.7,13,21,2,0.506,0.504,1.8,0.7,19,,*4,
11 Seasons,11 Seasons,11 Seasons,,1566,6535,150,1,-2,150,66,364,37.2,205,570,57.2,0.524,0.52,41.5,22.4,420,$82500.00,,
,,,,,,,,,,,,,,,,,,,,,,,
NYY (7 yrs),NYY (7 yrs),NYY (7 yrs),,1000,4214,97,-3,0,103,40,238,24.3,138,375,37.5,0.524,0.522,26.8,15.0,272,$82500.00,,
CLE (4 yrs),CLE (4 yrs),CLE (4 yrs),,566,2321,52,3,-2,47,26,127,12.9,68,194,19.6,0.523,0.521,14.7,7.4,147,,,
