Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1891,19,BSN,NL,12,47,-3,0,0,0,-1,-4,-0.3,2,-2,-0.2,0.474,0.498,-0.2,-0.1,-2,,O,
1892,20,PIT,NL,56,222,-3,0,0,0,-3,-7,-0.7,8,1,0.1,0.489,0.496,0.2,-0.3,1,,O,
1892,20,BLN,NL,10,38,-2,0,0,-2,-1,-4,-0.4,1,-3,-0.3,0.46,0.497,-0.1,-0.2,-1,,O,
1893,21,BLN,NL,125,583,23,0,0,2,-7,18,1.3,20,37,3.3,0.511,0.5,3.2,-0.4,35,,*O,
1894,22,BLN,NL,129,638,67,0,0,7,-8,66,4.5,20,86,7,0.536,0.528,6.1,-0.1,79,,*O,
1895,23,BLN,NL,131,617,50,3,0,7,-8,51,3.9,20,72,5.9,0.530,0.524,5,-0.1,65,,*O,
1896,24,BLN,NL,131,627,58,7,0,6,-9,62,5,20,82,7.0,0.538,0.531,6.6,-0.3,76,,*O,
1897,25,BLN,NL,131,591,42,1,0,4,-8,39,3.1,20,59,5.1,0.524,0.520,5,-0.4,55,,*O/65,
1898,26,BLN,NL,124,530,23,-1,0,4,-6,20,1.9,18,38,3.8,0.515,0.512,3.5,-0.2,34,$2700.00,*O/5,
1899,27,BRO,NL,143,626,28,-1,0,8,-9,26,2.3,21,47,4.5,0.517,0.515,3.8,-0.1,39,,*O,
1900,28,BRO,NL,121,513,24,0,0,0,-5,19,1.7,18,37,3.5,0.514,0.511,3.5,-0,37,,O35,
1901,29,BRO,NL,120,539,16,-1,0,1,-3,14,1.3,17,31,3.2,0.512,0.509,3.2,-0.2,29,$3000.00,*3/5,
1902,30,BLA,AL,60,263,12,0,0,-6,-1,4,0.4,9,14,1.3,0.507,0.503,1.9,-0.7,20,,O/53,
1902,30,CIN,NL,40,172,7,0,0,1,-1,7,0.7,6,12,1.4,0.519,0.505,1,0.0,11,$5200.00,O4/56,
1903,31,CIN,NL,105,445,14,-1,0,-2,-3,8,0.9,14,23,2.3,0.51,0.5,2.5,-0,25,,O64/53,
1904,32,CIN,NL,123,519,13,-1,0,0,-4,8,0.9,16,24,3,0.507,0.505,2.6,-0.4,24,$5250.00,*3/O4,
1905,33,CIN,NL,90,366,0,-1,0,-4,-5,-9,-1,12,3,0.2,0.489,0.494,0.7,-0.9,7,,O/3,
1906,34,CIN,NL,129,540,-4,-1,0,-4,-6,-15,-2.0,17,2,-0.1,0.486,0.489,0.5,-1.3,6,,*O/356,
,,,,,,,,,,,,,,,,,,,,,,,
1908,36,BSN,NL,73,262,5,0,0,-4,-3,-2,-0.3,9,7,0.6,0.496,0.498,1.2,-0.9,11,,783/9,
17 Seasons,17 Seasons,17 Seasons,,1853,8138,371,1,0,18,-89,301,23.2,267,569,50.7,0.513,0.511,50.6,-7.4,550,$16150.00,,
BLN (7 yrs),BLN (7 yrs),BLN (7 yrs),,781,3624,261,9,0,28,-48,251,19.3,119,371,31.3,0.525,0.52,29.5,-1.7,343,$2700.00,,
CIN (5 yrs),CIN (5 yrs),CIN (5 yrs),,487,2042,30,-4,0,-9,-18,-2,-0.5,66,64,6.3,0.499,0.499,7.5,-3,73,$10450.00,,
BRO (3 yrs),BRO (3 yrs),BRO (3 yrs),,384,1678,69,-3,0,9,-16,59,5.3,55,115,11.1,0.514,0.512,10.6,-0.7,106,$3000.00,,
BSN (2 yrs),BSN (2 yrs),BSN (2 yrs),,85,309,2,0,0,-4,-4,-6,-0.6,10,5,0.5,0.493,0.498,1,-1,9,,,
PIT (1 yr),PIT (1 yr),PIT (1 yr),,56,222,-3,0,0,0,-3,-7,-0.7,8,1,0.1,0.489,0.496,0.2,-0.3,1,,,
BLA (1 yr),BLA (1 yr),BLA (1 yr),,60,263,12,0,0,-6,-1,4,0.4,9,14,1.3,0.507,0.503,1.9,-0.7,20,,,
