Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1932,20,STL,NL,26,109,5,0,0,-1,-1,3,0.3,3,7,0.7,0.513,0.502,0.8,-0.2,8,,8/7,
1933,21,STL,NL,148,627,21,0,0,2,-7,16,1.6,19,35,3.8,0.512,0.511,3.6,-0.6,33,,*7,MVP-18
1934,22,STL,NL,149,646,16,0,0,2,-7,11,1.1,20,31,3.2,0.51,0.507,2.9,-0.5,29,$5000.00,*7/9,AS
1935,23,STL,NL,154,670,42,0,0,5,-7,40,4.0,21,61,6.1,0.526,0.5,5.6,-0.2,56,,*7,ASMVP-5
1936,24,STL,NL,155,677,48,0,0,8,-7,49,4.8,22,71,7,0.531,0.530,6.2,0.1,63,,*7,ASMVP-4
1937,25,STL,NL,156,677,67,0,0,3,-7,63,6.2,22,85,8.5,0.541,0.539,8,-0.5,82,,*7,ASMVP-1
1938,26,STL,NL,146,634,31,1,0,2,-7,27,3,21,48,4.8,0.519,0.517,4.7,-0.6,46,$20000.00,*7,ASMVP-11
1939,27,STL,NL,150,667,25,-1,0,6,-7,24,2.3,21,45,4.6,0.517,0.515,4,-0.2,39,$18000.00,*7,ASMVP-7
1940,28,STL,NL,37,164,1,0,0,0,-2,-1,-0.1,5,5,0.5,0.499,0.500,0.5,-0.2,5,,7,AS
1940,28,BRO,NL,106,452,13,0,0,8,-5,16,1.6,15,31,3.2,0.516,0.510,2.4,0.3,23,$18000.00,*7,AS
1941,29,BRO,NL,133,579,27,0,0,4,-6,25,2.6,20,45,4.6,0.520,0.517,4.2,-0,41,,*7,AS
1942,30,BRO,NL,142,587,9,0,0,4,-7,7,0.7,19,25,2.6,0.505,0.505,2,-0.3,21,,*7,ASMVP-17
1943,31,BRO,NL,48,184,-3,0,0,-2,-2,-7,-0.8,6,-1,-0.2,0.483,0.495,0.0,-0.5,1,,7,
1943,31,NYG,NL,78,336,1,0,0,0,-4,-3,-0.4,11,8,0.7,0.496,0.498,0.8,-0,8,,7/3,
1944,32,NYG,NL,128,535,21,0,0,6,-6,22,2.3,17,39,4,0.518,0.514,3.4,0.0,33,,*7,ASMVP-20
1945,33,NYG,NL,26,97,1,0,0,0,-1,0,0.0,3,3,0.3,0.500,0.500,0.3,-0.1,3,,7,
1945,33,BSN,NL,66,231,-4,0,0,0,-2,-7,-0.7,7,1,0.1,0.490,0.496,0.1,-0.2,1,,73,
1946,34,BRO,NL,41,85,3,0,0,-1,-1,1,0.1,3,4,0.4,0.503,0.501,0.6,-0.2,5,,7/3,
1947,35,STL,NL,75,166,4,0,0,-1,-2,1,0.1,7,8,0.8,0.502,0.501,0.9,-0.3,9,,1,
1948,36,STL,NL,20,20,-2,0,0,0,0,-2,-0.2,1,-1,-0,0.490,0.50,-0.1,0.0,-1,,,
17 Seasons,17 Seasons,17 Seasons,,1984,8143,326,1,0,45,-86,286,28.2,262,548,56,0.515,0.514,51.2,-4.8,503,$61000.00,,
STL (11 yrs),STL (11 yrs),STL (11 yrs),,1216,5057,259,0,0,26,-53,232,22.8,161,393,39.9,0.519,0.518,37.3,-3.1,367,$43000.00,,
BRO (5 yrs),BRO (5 yrs),BRO (5 yrs),,470,1887,48,0,0,13,-20,41,4.1,63,104,10.7,0.509,0.508,9.4,-1,91,$18000.00,,
NYG (3 yrs),NYG (3 yrs),NYG (3 yrs),,232,968,23,0,0,6,-10,19,1.9,31,50,5,0.509,0.507,4.4,-0.5,44,,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,66,231,-4,0,0,0,-2,-7,-0.7,7,1,0.1,0.49,0.496,0.1,-0.2,1,,,
