Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1963,19,HOU,NL,8,30,0,1,0,-2,0,0,0.0,1,1,0.1,0.497,0.500,0.3,-0.2,3,,/4,
1964,20,HOU,NL,10,43,-3,-1,1,-1,0,-4,-0.4,2,-2,-0.2,0.460,0.498,-0.2,-0.1,-1,,4,
1965,21,HOU,NL,157,708,27,0,2,-4,4,29,3.1,25,54,5.7,0.52,0.520,6.2,0.0,58,,*4,MVP-31RoY-2
1966,22,HOU,NL,122,528,23,-2,1,-11,3,15,1.8,18,34,3.6,0.514,0.5,4.7,-0.7,44,,*4,AS
1967,23,HOU,NL,133,580,20,6,2,-8,4,25,3.0,20,45,5,0.521,0.517,5.7,-0.3,53,,*4/7,
1968,24,HOU,NL,10,27,1,1,0,-2,0,0,0.0,1,1,0.1,0.495,0.500,0,-0.3,3,,/47,
1969,25,HOU,NL,147,657,12,6,2,-10,3,13,2,21,34,3.7,0.510,0.509,4.7,-0.7,44,,*47/8,
1970,26,HOU,NL,144,658,12,4,1,-9,4,12,1.4,21,34,3.4,0.509,0.508,4,-0.4,43,$50000.00,*4,AS
1971,27,HOU,NL,160,689,13,6,1,3,4,28,3.3,23,51,5.6,0.520,0.520,5.1,0.9,48,,*4,
1972,28,CIN,NL,149,680,42,8,3,7,4,64,7.3,21,85,9.3,0.548,0.544,8.4,1.4,78,,*4,ASMVP-4
1973,29,CIN,NL,157,698,43,7,1,11,5,68,7.2,22,90,9.3,0.547,0.545,8.0,2,78,,*4,ASMVP-4GG
1974,30,CIN,NL,149,641,46,8,1,4,5,63,6.6,21,84,9,0.545,0.541,8.2,0.9,80,$100000.00,*4,ASMVP-8GG
1975,31,CIN,NL,146,639,55,10,2,14,5,85,9.0,20,105,11.0,0.562,0.56,9.4,2.0,92,,*4,ASMVP-1GG
1976,32,CIN,NL,141,599,57,10,2,-1,4,72,7.8,19,92,9.6,0.556,0.548,9.7,0.4,93,$200000.00,*4,ASMVP-1GG
1977,33,CIN,NL,153,645,33,6,3,-9,5,38,3.8,21,59,5.8,0.526,0.524,6.7,-0.5,68,$400000.00,*4,ASGG
1978,34,CIN,NL,132,533,4,4,1,-14,4,-1,-0,17,17,1.6,0.500,0.500,3.1,-1.1,30,$400000.00,*4,AS
1979,35,CIN,NL,127,538,5,5,1,-6,4,9,1.0,17,27,2.7,0.508,0.506,3,-0.3,33,$475000.00,*4,AS
1980,36,HOU,NL,141,562,12,-3,1,3,4,17,1.8,19,36,4,0.513,0.511,3.4,0.7,33,,*4,
1981,37,SFG,NL,90,378,5,0,0,-3,3,6,0.8,13,19,2.1,0.508,0.505,2.3,0.1,22,,*4,
1982,38,SFG,NL,134,554,24,2,1,-3,4,29,3.2,19,48,5.1,0.524,0.519,5.2,0.2,50,,*4/5,MVP-16SS
1983,39,PHI,NL,123,504,12,1,-2,0,4,14,1.5,17,32,3.2,0.513,0.51,3.2,0.3,32,,*4,
1984,40,OAK,AL,116,438,6,0,0,-7,3,2,0.2,15,17,1.6,0.502,0.501,2.4,-0.4,23,,4/D,
22 Seasons,22 Seasons,22 Seasons,,2649,11329,450,80,25,-48,78,586,63.5,374,960,100.6,0.524,0.522,104.4,3.8,1007,$1625000.00,,
HOU (10 yrs),HOU (10 yrs),HOU (10 yrs),,1032,4482,118,18,12,-41,28,135,15.4,152,287,30.7,0.514,0.513,34.5,-1,328,$50000.00,,
CIN (8 yrs),CIN (8 yrs),CIN (8 yrs),,1154,4973,286,58,13,6,36,400,42.5,158,558,58,0.537,0.534,56.7,4.6,552,$1575000.00,,
SFG (2 yrs),SFG (2 yrs),SFG (2 yrs),,224,932,29,3,1,-5,7,35,4,32,67,7.1,0.517,0.513,7.5,0.3,72,,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,123,504,12,1,-2,0,4,14,1.5,17,32,3.2,0.513,0.51,3.2,0.3,32,,,
OAK (1 yr),OAK (1 yr),OAK (1 yr),,116,438,6,0,0,-7,3,2,0.2,15,17,1.6,0.502,0.501,2.4,-0.4,23,,,
