Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1920,21,CLE,AL,22,83,2,0,0,-1,1,3,0.3,3,6,0.6,0.514,0.502,0.7,0.0,7,$2400.00,6,
1921,22,CLE,AL,154,683,20,0,0,-6,10,25,2.4,26,50,4.9,0.515,0.514,5.3,0.5,56,$3000.00,*6,
1922,23,CLE,AL,153,656,4,-2,0,-9,10,3,0.1,25,27,2.7,0.50,0.502,3.7,0.0,36,$6000.00,*64,MVP-19
1923,24,CLE,AL,153,686,46,1,0,-5,10,52,4.9,25,77,7.5,0.533,0.5,8.0,0.5,82,$6500.00,*6,MVP-4
1924,25,CLE,AL,153,686,10,1,0,-6,10,15,1.6,25,41,4,0.510,0.509,4.6,0.5,47,$8000.00,*6,MVP-9
1925,26,CLE,AL,155,699,13,0,0,5,10,29,2.7,26,55,5.2,0.517,0.516,5,1.4,50,$9000.00,*6/4,MVP-3
1926,27,CLE,AL,154,672,18,2,0,5,10,35,3,25,60,5.9,0.522,0.521,5.5,1.5,55,$10000.00,*6,
1927,28,CLE,AL,153,652,10,-6,0,-3,10,11,1.1,24,35,3.5,0.507,0.507,4,0.7,38,$11500.00,*6,MVP-10
1928,29,CLE,AL,155,678,14,2,0,3,10,29,2.9,25,54,5.4,0.518,0.518,5.0,1.3,51,$12000.00,*65,MVP-12
1929,30,CLE,AL,152,671,6,0,0,10,4,20,1.8,25,44,4.4,0.512,0.512,3.4,1.4,34,$14500.00,*5,
1930,31,CLE,AL,109,414,-3,-1,0,1,3,-1,-0.1,16,15,1.5,0.499,0.500,1.4,0,14,$14500.00,5,
1931,32,NYY,AL,130,571,13,1,0,0,3,17,1.6,21,38,4,0.512,0.510,3.6,0.3,38,$10000.00,*5/4,
1932,33,NYY,AL,125,576,0,0,0,4,3,7,0.6,21,28,2.6,0.505,0.50,2.2,0.6,24,$8000.00,*5,MVP-29
1933,34,NYY,AL,135,606,-3,0,0,-2,3,-2,-0.2,22,20,1.9,0.499,0.499,2.1,0.1,22,$7500.00,*5,
14 Seasons,14 Seasons,14 Seasons,,1903,8333,150,-2,0,-4,97,241,23.1,309,550,53.7,0.512,0.511,54.0,9.1,555,$122900.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CLE (11 yrs),CLE (11 yrs),CLE (11 yrs),,1513,6580,139,-3,0,-6,89,220,21.1,245,464,45.6,0.514,0.513,46.1,8.1,471,$97400.00,,
NYY (3 yrs),NYY (3 yrs),NYY (3 yrs),,390,1753,10,1,0,2,8,22,2.0,65,86,8.1,0.505,0.504,8.0,1.0,84,$25500.00,,
