Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1878,18,PRO,NL,37,140,-5,0,0,0,6,1,0.1,0,1,0.1,0.503,0.501,0.1,0.0,1,,1,
1879,19,PRO,NL,83,371,6,0,0,1,11,19,1.7,2,21,1.9,0.521,0.511,1.9,0.1,20,,*15/O,
1880,20,PRO,NL,86,362,-6,0,0,7,7,8,0.7,2,10,1.0,0.51,0.505,0.3,0.8,3,$1700.00,*15/O,
1881,21,PRO,NL,85,362,-6,0,0,0,-2,-7,-0.8,12,5,0.0,0.492,0.5,0.1,-0.2,5,$1700.00,O16,
1882,22,PRO,NL,83,368,-5,0,0,0,-3,-8,-0.9,12,4,0,0.491,0.495,0.1,-0.3,4,$2400.00,O1/6,
1883,23,NYG,NL,88,388,1,0,0,6,-3,4,0.2,13,17,1.2,0.504,0.502,1,0.2,11,$3000.00,O1/564,
1884,24,NYG,NL,113,510,-4,0,0,6,-2,0,-0,17,17,1.4,0.500,0.500,1.1,0.2,11,$3000.00,O4/1,
1885,25,NYG,NL,111,463,-12,0,0,13,7,8,0.7,16,24,2.4,0.507,0.505,1,1.9,11,$3000.00,*6,
1886,26,NYG,NL,122,510,-4,3,0,3,8,10,0.7,17,27,2.6,0.508,0.506,2.6,1.0,24,$3000.00,*6,
1887,27,NYG,NL,129,578,20,6,0,26,8,60,4.6,19,79,6.6,0.538,0.531,4.7,2.7,53,$3000.00,*6,
1888,28,NYG,NL,122,520,-7,2,0,0,8,3,0.2,17,21,2.1,0.503,0.502,2.3,1,21,$4000.00,*6,
1889,29,NYG,NL,114,508,-5,5,0,-1,7,7,0.4,17,24,2.1,0.505,0.503,2,0.5,25,$4250.00,*6/4,
1890,30,BWW,PL,128,614,13,5,0,-8,8,19,1.5,14,33,2.9,0.511,0.509,3.3,0.2,41,,*6,
1891,31,BRO,NL,105,480,2,4,0,-1,6,11,0.8,16,27,2.4,0.509,0.506,2.7,0,28,$7000.00,64,
1892,32,BRO,NL,148,699,9,7,0,2,3,21,1.8,22,43,4,0.513,0.512,4.1,0.4,41,,*4,
1893,33,NYG,NL,135,636,12,1,0,6,3,22,1.6,21,43,3.7,0.513,0.511,3.3,0.7,37,,*4,
1894,34,NYG,NL,138,605,-49,2,0,15,3,-30,-2.2,21,-9,-0.2,0.484,0.487,-1.2,1.3,-24,$5000.00,*4,
17 Seasons,17 Seasons,17 Seasons,,1827,8114,-38,35,0,75,76,148,11.1,239,387,34.3,0.507,0.505,29.7,10.4,312,$41050.00,,
NYG (9 yrs),NYG (9 yrs),NYG (9 yrs),,1072,4718,-47,18,0,74,39,85,6.1,158,243,21.9,0.507,0.505,17.2,9.1,169,$28250.00,,
PRO (5 yrs),PRO (5 yrs),PRO (5 yrs),,374,1603,-15,0,0,8,20,12,0.9,29,41,2.9,0.503,0.502,2.5,0.3,33,$5800.00,,
BRO (2 yrs),BRO (2 yrs),BRO (2 yrs),,253,1179,11,12,0,1,9,32,2.6,38,70,6.6,0.512,0.51,6.7,0.8,69,$7000.00,,
BWW (1 yr),BWW (1 yr),BWW (1 yr),,128,614,13,5,0,-8,8,19,1.5,14,33,2.9,0.511,0.509,3.3,0.2,41,,,
