Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1967,19,CIN,NL,26,93,-7,-1,0,0,2,-7,-0.8,3,-4,-0.5,0.468,0.495,-0.5,0.2,-4,$5500.00,2,
1968,20,CIN,NL,154,607,12,-1,0,1,8,21,2.8,21,41,5.0,0.517,0.516,4.6,1.4,40,$11000.00,*2,ASMVP-16RoY-1GG
1969,21,CIN,NL,148,592,24,0,0,4,9,36,4.1,20,56,6.2,0.53,0.524,5.6,1.5,52,$23500.00,*2,ASMVP-13GG
1970,22,CIN,NL,158,671,30,2,1,10,7,50,5.2,23,73,7.4,0.532,0.5,6.3,1.8,63,,*273/985,ASMVP-1GG
1971,23,CIN,NL,149,613,6,-1,-3,7,7,16,1.9,21,37,4,0.512,0.511,3.2,1.7,30,$90000.00,*237/59,ASGG
1972,24,CIN,NL,147,653,41,-2,-2,13,7,57,6.6,20,78,8.6,0.544,0.540,7,2.4,64,,*29/35,ASMVP-1GG
1973,25,CIN,NL,152,651,9,3,-2,8,8,26,3,21,47,4.7,0.519,0.518,4.0,1.6,39,$115000.00,*29/35,ASMVP-10GG
1974,26,CIN,NL,160,708,35,-1,0,10,10,54,5.7,22,76,7.9,0.536,0.536,7,2.1,66,$115000.00,*25/3,ASMVP-4GG
1975,27,CIN,NL,142,606,26,3,-1,10,7,44,4.7,20,64,6.6,0.534,0.530,5.5,1.8,54,$175000.00,*27/39,ASMVP-4GG
1976,28,CIN,NL,135,552,8,1,-1,10,8,26,2.9,18,44,4.6,0.522,0.518,3.4,2.1,34,$200000.00,*2/73,ASGG
1977,29,CIN,NL,142,563,23,-1,0,2,8,32,3.2,18,50,5.0,0.523,0.521,4.7,1,48,$235000.00,*2/7359,ASMVP-21GG
1978,30,CIN,NL,120,451,19,-2,-1,5,6,27,3.0,15,42,5,0.525,0.519,3.8,1.2,37,$400000.00,0,AS
1979,31,CIN,NL,130,538,17,1,-1,10,8,36,3.8,17,53,5.6,0.530,0.52,4.4,2.0,43,$400000.00,*2/3,ASMVP-23
1980,32,CIN,NL,114,407,13,0,-1,0,7,18,1.9,14,32,3.4,0.518,0.512,3.3,0.7,32,$400000.00,2,ASMVP-17
1981,33,CIN,NL,52,196,7,-1,-1,0,-2,4,0.5,7,11,1.2,0.509,0.503,1.1,-0.2,11,$400000.00,3/2,
1982,34,CIN,NL,119,439,3,-1,-2,-15,2,-14,-2,15,1,0.0,0.487,0.490,1.6,-1.5,16,$400000.00,5/32,
1983,35,CIN,NL,110,334,4,-1,-2,0,-1,0,-0.1,11,12,1.1,0.500,0.500,1,-0.1,12,,53/27,AS
17 Seasons,17 Seasons,17 Seasons,,2158,8674,269,-2,-15,72,101,425,46.7,286,712,75,0.522,0.520,65.8,19.7,639,$2970000.00,,
