Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1936,23,STL,NL,126,469,35,0,0,2,-5,33,3.2,15,48,4.8,0.526,0.520,4.6,-0.3,46,,3/9,
1937,24,STL,NL,145,621,56,0,0,-4,-7,46,4.5,20,66,6.6,0.531,0.528,7.0,-1.1,70,,*3,ASMVP-10
1938,25,STL,NL,149,609,55,1,0,-1,-7,48,4.7,20,68,6.8,0.53,0.530,7.0,-0.9,68,,*3,MVP-12
1939,26,STL,NL,153,669,64,1,0,0,-7,57,5.7,21,79,8.0,0.538,0.5,8.1,-0.8,79,,*3,ASMVP-2
1940,27,STL,NL,155,666,60,0,0,-2,-7,50,5.0,23,73,7,0.533,0.532,7.7,-1.0,75,$15000.00,*3,ASMVP-2
1941,28,STL,NL,126,547,35,0,0,4,-6,33,3.4,19,52,5.4,0.528,0.522,5,-0.2,48,,*3,ASMVP-9
1942,29,NYG,NL,142,607,40,0,0,3,-6,36,4,19,55,6.0,0.529,0.525,5.8,-0.5,52,,*3,ASMVP-5
,,,,,,,,,,,,,,,,,,,,,,,
1946,33,NYG,NL,101,444,42,0,0,5,-5,43,4.7,16,59,6.3,0.546,0.529,5.8,0.0,54,,3,ASMVP-16
1947,34,NYG,NL,154,664,48,0,0,3,-7,45,4.5,26,71,7.1,0.529,0.527,6.8,-0.4,68,,*3,ASMVP-3
1948,35,NYG,NL,152,658,45,-1,0,2,-7,38,3.8,26,64,6.5,0.526,0.524,6.4,-1,62,,*3,ASMVP-17
1949,36,NYG,NL,106,442,7,-1,0,4,-5,5,0.5,17,23,2,0.505,0.503,1.9,-0.1,19,$35000.00,3,AS
1949,36,NYY,AL,13,28,1,0,0,0,0,0,0.0,1,1,0.1,0.503,0.50,0.1,0.0,1,,/3,AS
1950,37,NYY,AL,90,305,14,0,1,0,-3,12,1.1,9,21,2.0,0.512,0.507,2.0,-0.3,21,$26250.00,3,MVP-17
1951,38,NYY,AL,113,373,2,0,0,1,-4,-2,-0.2,11,10,0.9,0.498,0.499,0.8,-0.3,9,$26500.00,3,MVP-30
1952,39,NYY,AL,78,150,2,-1,-1,1,-1,0,0,5,5,0.5,0.500,0.500,0.3,0.0,4,$20900.00,3,
1953,40,NYY,AL,81,118,-1,-1,1,0,-1,-2,-0.2,4,2,0.2,0.498,0.499,0.2,-0.1,2,$17000.00,3,AS
15 Seasons,15 Seasons,15 Seasons,,1884,7370,505,-3,0,18,-77,442,44.7,253,695,70.9,0.524,0.521,69.3,-6.5,677,$140650.00,,
,,,,,,,,,,,,,,,,,,,,,,,
STL (6 yrs),STL (6 yrs),STL (6 yrs),,854,3581,304,1,0,-1,-38,267,26.5,118,385,39.0,0.532,0.53,39.3,-4.4,386,$15000.00,,
NYG (5 yrs),NYG (5 yrs),NYG (5 yrs),,655,2815,183,-2,-1,17,-30,167,17.5,105,272,28.2,0.527,0.523,26.5,-1.4,255,$35000.00,,
NYY (5 yrs),NYY (5 yrs),NYY (5 yrs),,375,974,18,-2,1,2,-10,9,1,30,39,3.7,0.502,0.5,3.4,-0.7,37,$90650.00,,
