Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1921,22,PIT,NL,1,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.403,0.499,-0.1,0.0,-1,,/9,
1922,23,PIT,NL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.500,0.500,0.0,0.0,0,,,
1923,24,PIT,NL,11,46,-1,-1,0,0,-1,-3,-0.3,1,-1,-0.1,0.48,0.498,-0.1,-0.1,-1,,7/8,
1924,25,PIT,NL,117,515,29,4,0,4,-5,31,3.1,15,47,4.7,0.527,0.5,4.4,-0.2,43,,*79/8,MVP-8
1925,26,PIT,NL,153,701,48,4,0,5,-7,50,4.6,20,71,7,0.531,0.529,6.3,-0.2,66,$6000.00,*98,MVP-2
1926,27,PIT,NL,157,694,18,3,0,10,-6,25,2.5,21,46,4.6,0.516,0.516,4,0.4,36,$10000.00,*879,
1927,28,PIT,NL,85,330,6,2,0,1,-2,7,1,10,17,1.8,0.509,0.505,1.7,-0.2,16,,897,
1928,29,CHC,NL,133,581,11,5,0,3,-6,13,1.2,18,31,3.0,0.510,0.508,3,-0.3,28,,*97/8,
1929,30,CHC,NL,139,596,34,5,0,2,-6,35,3.1,18,53,4.9,0.523,0.519,4.8,-0.4,51,,*97,
1930,31,CHC,NL,156,741,39,2,0,11,-7,45,3.8,21,66,5.9,0.525,0.524,5.1,0.3,55,$17000.00,*97,
1931,32,CHC,NL,154,710,31,-1,0,-2,-5,23,2.2,20,43,4.3,0.515,0.514,4.7,-1,45,,*98,MVP-12
1932,33,CHC,NL,110,489,5,0,0,0,-4,1,0.0,15,16,1.6,0.501,0.501,2,-0.4,16,,*98,
1933,34,CHC,NL,70,294,11,0,0,-1,-3,7,0.8,9,17,1.8,0.512,0.505,1.9,-0.4,17,,789,
1934,35,CHC,NL,142,608,21,-1,0,-2,-2,17,1.6,19,36,3.6,0.512,0.510,3.7,-0,37,,*8/9,ASMVP-16
1935,36,CHC,NL,45,177,-2,0,0,0,-1,-2,-0.2,5,3,0,0.495,0.499,0.3,0.0,3,,8/9,
1935,36,CIN,NL,62,253,-3,0,0,-4,-1,-9,-0.8,8,-1,0.0,0.486,0.495,0.4,-0.5,3,,8/97,
1936,37,CIN,NL,144,623,23,-1,0,-2,-4,17,1.6,20,37,3.8,0.512,0.510,3.9,-0.6,39,,*897,
1937,38,CIN,NL,117,449,-8,-1,0,-8,-3,-20,-2.2,15,-6,-0.6,0.482,0.487,0.2,-1.2,2,$10000.00,*879,
1938,39,BRO,NL,82,290,3,0,0,-3,-3,-3,-0.4,9,7,0.6,0.496,0.498,1.0,-0.6,9,,14,
18 Seasons,18 Seasons,18 Seasons,,1879,8100,265,19,0,14,-65,233,21.2,246,479,47,0.512,0.51,46.1,-5.5,465,$43000.00,,
CHC (8 yrs),CHC (8 yrs),CHC (8 yrs),,949,4196,151,9,0,11,-33,138,12.5,126,264,26,0.514,0.512,25.0,-2.4,253,$17000.00,,
PIT (7 yrs),PIT (7 yrs),PIT (7 yrs),,525,2289,99,12,0,20,-21,111,10.5,68,179,17.5,0.521,0.518,15.7,-0.2,159,$16000.00,,
CIN (3 yrs),CIN (3 yrs),CIN (3 yrs),,323,1325,12,-2,0,-14,-8,-12,-1.4,43,31,3.1,0.496,0.499,4.5,-2,45,$10000.00,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,82,290,3,0,0,-3,-3,-3,-0.4,9,7,0.6,0.496,0.498,1,-0.6,9,,,
