Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1984,24,MIN,AL,128,583,-16,0,0,30,1,15,1.6,19,33,3.4,0.512,0.510,0.3,3.3,4,,*8,RoY-3
1985,25,MIN,AL,161,744,-9,1,3,10,2,6,0.7,23,30,2.9,0.504,0.504,2.0,1.2,20,$130000.00,*8,MVP-21
1986,26,MIN,AL,161,723,40,-1,1,-7,2,35,3.6,23,58,5.7,0.52,0.521,6.5,-0.5,65,$255000.00,*8,ASMVP-6GGSS
1987,27,MIN,AL,157,668,27,0,1,-8,1,21,2.1,23,44,4.2,0.513,0.5,5.0,-0.7,52,$465000.00,*8/D,ASMVP-3GGSS
1988,28,MIN,AL,158,691,43,1,1,6,2,53,5.6,23,76,8,0.535,0.534,7.1,1.0,70,$1090000.00,*8,ASMVP-3GGSS
1989,29,MIN,AL,159,684,23,1,1,-4,2,23,2.6,24,48,4.9,0.516,0.515,5,-0.1,51,$2000000.00,*8/D,ASMVP-7GGSS
1990,30,MIN,AL,146,615,16,0,0,-11,1,7,1,22,29,2.8,0.505,0.504,4.1,-1.0,39,$2816667.00,*8/79D456,AS
1991,31,MIN,AL,152,661,19,2,-2,-1,2,20,2.1,23,43,4.3,0.513,0.512,5,0.1,44,$3166667.00,*89,ASMVP-7GG
1992,32,MIN,AL,160,696,33,3,3,3,3,44,4.7,26,70,7.1,0.529,0.528,6.9,0.6,67,$2966667.00,*8/D456,ASMVP-2GGSS
1993,33,MIN,AL,156,682,16,3,1,-29,-1,-10,-1.0,25,15,1.4,0.494,0.494,4.4,-3.1,44,$5300000.00,*89D/7,AS
1994,34,MIN,AL,108,482,19,1,1,6,-5,22,2.0,18,39,3.6,0.518,0.512,3.1,0,33,$5300000.00,*9D/8,ASMVP-7SS
1995,35,MIN,AL,137,602,22,3,0,-8,-6,11,1.0,22,33,3,0.507,0.506,3.9,-1.4,41,$6300000.00,*9D/8456,ASMVP-21
12 Seasons,12 Seasons,12 Seasons,,1783,7831,234,13,8,-14,4,245,25.7,271,516,51.1,0.514,0.51,53.0,-0.3,530,$29790001.00,,
