Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1947,23,CLE,AL,29,33,-4,0,0,0,0,-4,-0.4,1,-3,-0.4,0.485,0.497,-0.3,0.0,-3,$5000.00,/436,
1948,24,CLE,AL,121,499,19,1,3,11,-3,32,3.2,14,47,4.6,0.526,0.520,3.5,0.8,36,,*89,MVP-29
1949,25,CLE,AL,147,650,22,-1,2,0,-3,20,2.0,19,39,3.8,0.51,0.512,3.8,-0.3,39,,*89,AS
1950,26,CLE,AL,142,609,45,2,2,4,-1,52,4.9,19,71,6.7,0.534,0.5,6.2,0.3,67,$6000.00,*8,ASMVP-8
1951,27,CLE,AL,134,551,40,3,2,4,-1,48,4.8,17,65,6,0.536,0.530,6.0,0.4,61,,*8,AS
1952,28,CLE,AL,140,611,41,3,1,5,-1,49,5.2,19,68,7.1,0.538,0.532,7,0.5,63,$14000.00,*8,ASMVP-12
1953,29,CLE,AL,149,617,26,1,3,-6,-1,23,2,19,42,4.2,0.516,0.514,4.9,-0.8,48,$12000.00,*8,AS
1954,30,CLE,AL,153,673,22,1,2,10,-1,34,3.6,20,54,5.7,0.524,0.523,5,0.9,44,$25000.00,*8,ASMVP-2
1955,31,CLE,AL,131,560,16,2,2,0,-1,19,2.0,17,36,3.7,0.515,0.512,3.7,0.0,36,$30000.00,*8,AS
1956,32,CHW,AL,140,619,22,2,3,5,-1,31,3.1,19,50,4.9,0.522,0.519,4.3,0.5,45,,*8,
1957,33,CHW,AL,119,477,17,0,1,-9,-1,7,0.7,15,22,2.2,0.507,0.505,3.3,-1,31,$36000.00,*8,
1958,34,CLE,AL,89,276,10,1,0,-3,-1,7,0.7,8,15,2,0.508,0.504,1.9,-0.5,19,$22000.00,8/79,
1959,35,DET,AL,18,64,-3,-1,1,-4,-1,-8,-0.8,2,-6,-0.6,0.456,0.50,-0.3,-0.5,-2,,7/9,
1959,35,CHW,AL,21,60,-2,0,0,-3,-1,-5,-0.5,2,-3,-0.4,0.475,0.497,0.0,-0.4,0,$36000.00,9/387,
13 Seasons,13 Seasons,13 Seasons,,1533,6299,269,15,21,13,-13,306,30.6,190,496,49.6,0.520,0.518,48.0,-0.1,483,$186000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CLE (10 yrs),CLE (10 yrs),CLE (10 yrs),,1235,5079,236,13,17,24,-10,280,28.1,153,433,43.5,0.523,0.520,40.8,1.4,409,$114000.00,,
CHW (3 yrs),CHW (3 yrs),CHW (3 yrs),,280,1156,37,2,4,-7,-2,33,3.2,35,69,6.7,0.512,0.511,7.5,-1.0,76,$72000.00,,
DET (1 yr),DET (1 yr),DET (1 yr),,18,64,-3,-1,1,-4,-1,-8,-0.8,2,-6,-0.6,0.456,0.495,-0.3,-0.5,-2,,,
