Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1927,21,PIT,NL,150,683,11,-1,0,1,-4,6,0.6,20,26,2.7,0.504,0.504,2.6,-0.4,25,,*87/4,MVP-6
1928,22,PIT,NL,152,719,9,-1,0,-2,-4,3,0.2,20,23,2.2,0.502,0.502,2.6,-0.6,25,,*87,
1929,23,PIT,NL,151,725,16,0,0,4,-3,16,1.5,21,37,3.5,0.51,0.509,3.2,0.1,33,,*8,MVP-5
1930,24,PIT,NL,68,274,-1,0,0,2,-1,-1,-0.1,8,8,0.7,0.499,0.5,0.6,0.1,6,,8,
1931,25,PIT,NL,154,726,7,-1,0,6,-3,9,0.8,20,30,3,0.506,0.506,2.5,0.3,24,$12000.00,*8/4,MVP-15
1932,26,PIT,NL,134,599,14,-1,0,6,-2,18,1.7,18,35,3.6,0.513,0.511,3,0.4,29,$11000.00,*8,MVP-13
1933,27,PIT,NL,121,526,-11,0,0,-1,-4,-16,-2,16,0,-0.2,0.485,0.489,-0.1,-0.6,1,$12500.00,*78,
1934,28,PIT,NL,140,650,-16,0,0,0,-2,-18,-1.8,19,1,0.1,0.487,0.489,0,-0.2,1,,*8,
1935,29,PIT,NL,122,562,-3,0,0,5,-2,1,0.1,16,17,1.8,0.501,0.501,1.3,0.4,12,,*8,
1936,30,PIT,NL,106,444,4,0,0,0,-1,4,0.3,14,18,1.8,0.503,0.502,1.8,-0.1,18,$9000.00,8,
1937,31,PIT,NL,129,582,8,0,0,2,-2,9,0.8,18,27,2.7,0.507,0.505,2.5,0,25,,*8,
1938,32,PIT,NL,147,659,4,0,0,3,-1,5,0.4,21,26,2.6,0.504,0.503,2.4,0.1,23,$11000.00,*8,ASMVP-21
1939,33,PIT,NL,112,410,-10,1,0,0,-1,-10,-1.2,13,3,0.3,0.49,0.493,0.3,-0.2,3,,8/5,
1940,34,PIT,NL,72,172,-9,0,0,-2,-1,-12,-1.3,6,-6,-0.6,0.483,0.492,-0.4,-0.3,-4,,8/7,
1941,35,PIT,NL,3,6,0,0,0,0,0,0,0,0,1,0.1,0.511,0.5,0.1,0,1,,/8,
1941,35,BSN,NL,19,53,3,0,0,0,0,3,0.3,2,5,0.5,0.516,0.502,0.5,0,5,,8/79,
1941,35,CIN,NL,55,175,-7,0,0,-3,-2,-11,-1.3,6,-5,-0.6,0.478,0.492,-0.3,-0.5,-2,,98,
1942,36,PHI,NL,101,315,-6,0,0,0,0,-6,-0.7,10,4,0.3,0.493,0.496,0.4,-0.1,4,,8,
,,,,,,,,,,,,,,,,,,,,,,,
1944,38,BRO,NL,15,17,0,0,0,-2,0,-2,-0.2,1,-1,-0.1,0.488,0.499,0.1,-0.2,1,,/8,
1944,38,PIT,NL,19,16,1,0,0,-2,0,-2,-0.2,1,-1,-0.1,0.492,0.499,0.1,-0.2,1,,/87,
1945,39,PIT,NL,23,20,-1,0,0,0,0,-1,-0.1,1,-1,-0.1,0.494,0.499,-0.1,0,-1,,/79,
18 Seasons,18 Seasons,18 Seasons,,1993,8333,15,-4,0,17,-33,-4,-2.1,250,246,24.1,0.499,0.501,23.1,-2.1,229,$55500.00,,
PIT (17 yrs),PIT (17 yrs),PIT (17 yrs),,1803,7773,24,-4,0,22,-30,12,-0.2,232,244,24.1,0.5,0.501,22.5,-1.3,222,$55500.00,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,15,17,0,0,0,-2,0,-2,-0.2,1,-1,-0.1,0.488,0.499,0.1,-0.2,1,,,
CIN (1 yr),CIN (1 yr),CIN (1 yr),,55,175,-7,0,0,-3,-2,-11,-1.3,6,-5,-0.6,0.478,0.492,-0.3,-0.5,-2,,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,101,315,-6,0,0,0,0,-6,-0.7,10,4,0.3,0.493,0.496,0.4,-0.1,4,,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,19,53,3,0,0,0,0,3,0.3,2,5,0.5,0.516,0.502,0.5,0,5,,,
