Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1938,20,CLE,AL,1,2,0,0,0,0,0,0,0.0,0,0,0.0,0.504,0.500,0.0,0.0,0,$1050.00,/5,
1939,21,CLE,AL,53,256,-6,0,0,3,4,1,0.1,8,9,0.9,0.502,0.500,0.6,0.6,6,$4200.00,6,
1940,22,CLE,AL,155,706,13,1,0,15,10,39,3.8,23,62,6.0,0.52,0.523,4.5,2.5,47,$5000.00,*6,ASMVP-5
1941,23,CLE,AL,148,681,8,1,0,6,10,24,2.4,22,47,4.5,0.516,0.5,3.9,1.6,41,$10000.00,*6,ASMVP-17
1942,24,CLE,AL,147,604,14,-4,0,6,10,26,2.8,17,43,5,0.519,0.517,3.8,1.7,37,$25000.00,*6,ASMVP-10
1943,25,CLE,AL,152,650,26,-1,0,18,10,53,6.0,19,71,7.9,0.540,0.537,6,3.3,53,$25000.00,*6/2,ASMVP-10
1944,26,CLE,AL,150,681,35,1,0,9,10,56,6,19,74,8.0,0.541,0.538,7.0,2.1,65,$25000.00,*6/2,ASMVP-6
1945,27,CLE,AL,97,402,14,-1,0,4,6,24,2.6,12,35,3.9,0.528,0.517,3,1.2,31,$25000.00,6,MVP-8
1946,28,CLE,AL,140,571,12,-1,0,2,9,23,2.5,18,40,4.2,0.518,0.515,4.0,1.3,38,$25000.00,*6,MVP-10
1947,29,CLE,AL,150,624,22,1,0,19,10,52,5.6,18,70,7.5,0.538,0.535,5.4,3.1,51,$25000.00,*6,ASMVP-3
1948,30,CLE,AL,152,676,58,-1,1,20,10,88,8.5,19,107,10.4,0.556,0.553,8.4,3,87,$35000.00,*6/2,ASMVP-1
1949,31,CLE,AL,134,561,3,-1,-3,10,6,15,1.5,16,32,3.1,0.511,0.509,2.1,1.6,22,$60000.00,2,MVP-14
1950,32,CLE,AL,81,295,-5,0,-1,3,4,0,0.0,9,9,0.9,0.500,0.500,0.6,0.7,6,$60000.00,6/345,
1951,33,BOS,AL,82,313,-1,0,0,3,3,5,0.4,10,14,1.4,0.506,0.503,1,0.7,11,$20000.00,65/3,
1952,34,BOS,AL,4,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.48,0.5,-0.1,0,-1,$35000.00,/56,
15 Seasons,15 Seasons,15 Seasons,,1646,7025,193,-7,-3,118,103,404,42.2,210,614,63,0.526,0.523,50.4,23.4,496,$380250.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CLE (13 yrs),CLE (13 yrs),CLE (13 yrs),,1560,6709,195,-7,-3,115,99,400,41.9,200,600,61.7,0.527,0.524,49.4,22.7,485,$325250.00,,
BOS (2 yrs),BOS (2 yrs),BOS (2 yrs),,86,316,-2,0,0,3,3,4,0.4,10,14,1.3,0.504,0.503,1,0.7,10,$55000.00,,
