Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1961,22,CHC,NL,4,12,-2,0,0,-1,0,-3,-0.3,0,-2,-0.2,0.429,0.498,-0.2,-0.1,-2,$4800.00,/8,
1962,23,CHC,NL,123,477,-4,2,1,-8,0,-9,-0.9,18,9,0.9,0.493,0.494,1.7,-0.8,17,$8000.00,8,
1963,24,CHC,NL,148,588,-4,0,3,9,-6,2,0.3,22,24,2.6,0.50,0.501,1.5,0.4,16,$9500.00,*9,
1964,25,CHC,NL,52,231,-5,1,1,-1,-2,-6,-0.6,8,2,0.2,0.487,0.5,0.2,-0.3,3,$12000.00,9/8,MVP-10
1964,25,STL,NL,103,464,31,2,2,6,-5,35,4.0,16,52,6,0.538,0.524,4.9,0.1,46,,7/98,MVP-10
1965,26,STL,NL,155,697,11,2,3,8,-8,16,1.7,25,40,4.2,0.511,0.511,3,0.0,32,$20000.00,*7/98,
1966,27,STL,NL,156,678,4,9,1,2,-8,8,1,24,31,3.4,0.506,0.505,3.1,-0.6,30,$27500.00,*79,MVP-27
1967,28,STL,NL,159,724,24,5,2,4,-8,26,3.2,24,50,5.6,0.519,0.519,5,-0.4,46,$40000.00,*7,ASMVP-7
1968,29,STL,NL,159,712,18,8,2,5,-8,26,3.5,23,48,5.8,0.520,0.520,4.9,-0.2,44,$65000.00,*7,MVP-6
1969,30,STL,NL,157,710,9,7,2,-5,-8,5,0.7,23,28,3.0,0.504,0.504,3.4,-1.3,33,$80000.00,*7,
1970,31,STL,NL,155,729,6,6,1,-9,-8,-4,-0.3,23,18,1.9,0.497,0.497,2.7,-2,28,$85000.00,*7/9,
1971,32,STL,NL,157,721,25,5,3,-14,-8,11,1.3,23,34,4,0.508,0.508,5.1,-2.5,48,$110000.00,*7/9,ASMVP-13
1972,33,STL,NL,153,676,11,5,1,-13,-7,-4,-0.3,21,17,1.7,0.497,0.50,3.1,-2.2,30,$100000.00,*7,ASMVP-15
1973,34,STL,NL,160,727,5,9,1,-7,-6,1,-0.1,22,23,2.1,0.501,0.501,2.9,-1.6,30,$110000.00,*7,MVP-6
1974,35,STL,NL,153,702,15,9,2,-5,-6,15,1.5,21,36,3.5,0.510,0.510,4.0,-1.3,41,$135000.00,*7,ASMVP-2
1975,36,STL,NL,136,574,4,5,1,-5,-5,0,-0,19,19,1.8,0.500,0.500,2.3,-1.2,24,$180000.00,*7,ASMVP-21
1976,37,STL,NL,133,544,4,4,-2,-3,-5,-2,-0,18,16,2,0.498,0.499,1.7,-0.9,19,,*7,MVP-25
1977,38,STL,NL,141,521,-12,-4,1,-4,-4,-23,-2.5,17,-6,-0.9,0.483,0.485,-0.5,-0.9,-2,$150000.00,*7,
1978,39,STL,NL,92,317,-20,2,0,-5,-3,-25,-3,10,-15,-1.8,0.469,0.482,-1.4,-0.8,-10,,7,
1979,40,STL,NL,120,436,0,1,0,-4,-3,-7,-0.7,14,8,1,0.494,0.496,1.0,-0.8,11,,7,AS
19 Seasons,19 Seasons,19 Seasons,,2616,11240,121,78,25,-51,-108,63,8.4,370,433,45.3,0.503,0.503,49,-16.8,484,$1136800.00,,
STL (16 yrs),STL (16 yrs),STL (16 yrs),,2289,9932,135,73,20,-50,-100,79,9.9,321,400,41.8,0.504,0.504,45.6,-16.0,450,$1102500.00,,
CHC (4 yrs),CHC (4 yrs),CHC (4 yrs),,327,1308,-15,4,5,-1,-9,-15,-1.5,49,33,3.6,0.495,0.498,3.3,-0.8,34,$34300.00,,
