Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1923,20,NYY,AL,13,29,4,0,0,-1,0,3,0.3,1,4,0.4,0.521,0.502,0.5,-0.1,5,$2400.00,/3,
1924,21,NYY,AL,10,13,2,0,0,0,0,2,0.1,0,2,0.2,0.514,0.501,0.2,0.0,2,$2750.00,/39,
1925,22,NYY,AL,126,497,14,1,0,4,-6,14,1.3,19,33,3.2,0.51,0.508,2.8,-0.2,29,$3750.00,*3/97,MVP-24
1926,23,NYY,AL,155,697,44,0,0,6,-7,43,4.2,25,69,6.8,0.527,0.5,6.2,-0.1,63,$6500.00,*3,MVP-10
1927,24,NYY,AL,155,717,103,-1,0,5,-7,100,9.3,25,125,12,0.560,0.557,11.3,-0.2,120,$8000.00,*3,MVP-1
1928,25,NYY,AL,154,678,78,-3,0,4,-7,71,6.9,25,96,9.4,0.545,0.542,9,-0.3,92,$25000.00,*3,
1929,26,NYY,AL,154,694,58,1,0,3,-7,54,5,25,80,7.6,0.533,0.531,7.3,-0.4,77,$25000.00,*3,
1930,27,NYY,AL,154,703,95,-3,0,-4,-7,81,7.0,25,106,9.6,0.546,0.543,10,-1.0,110,$25000.00,*3/7,
1931,28,NYY,AL,155,738,85,-1,0,-8,-7,69,6.3,26,95,8.8,0.540,0.539,9.5,-1.4,103,$25000.00,*3/9,MVP-2
1932,29,NYY,AL,156,708,75,-3,0,-4,-7,61,5.4,26,87,7.9,0.535,0.534,8.3,-1.1,90,$25000.00,*3,MVP-2
1933,30,NYY,AL,152,687,65,-3,0,-7,-7,49,4.5,25,74,6.9,0.530,0.528,7.6,-1,81,$25000.00,*3,ASMVP-4
1934,31,NYY,AL,154,690,93,0,0,3,-7,89,7.9,26,114,10.4,0.552,0.549,10.2,-0.4,111,$25000.00,*3/6,ASMVP-5
1935,32,NYY,AL,149,673,67,-1,0,9,-7,69,6.2,25,94,8.7,0.54,0.539,7.9,0.1,85,$23000.00,*3,ASMVP-5
1936,33,NYY,AL,155,719,88,-1,0,0,-7,80,6.8,25,105,9.1,0.544,0.542,9.2,-0.6,105,$23000.00,*3,ASMVP-1
1937,34,NYY,AL,157,700,73,0,0,-6,-7,60,5,25,85,7.7,0.534,0.5,8.3,-1,91,$31000.00,*3,ASMVP-4
1938,35,NYY,AL,157,689,30,1,0,-2,-7,22,2.1,25,47,4.3,0.513,0.512,4.5,-1,49,$31000.00,*3,ASMVP-19
1939,36,NYY,AL,8,33,-4,0,0,0,0,-4,-0.4,1,-3,-0.3,0.453,0.498,-0.3,0.0,-3,$36000.00,/3,AS
17 Seasons,17 Seasons,17 Seasons,,2164,9665,972,-11,0,2,-100,863,78.5,349,1212,112.4,0.536,0.534,112.3,-9.0,1210,$342400.00,,
