Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1956,22,CHW,AL,152,583,-20,5,2,3,9,-2,-0.2,18,16,1.5,0.499,0.499,1.2,1.2,13,$6000.00,*6,MVP-25RoY-1
1957,23,CHW,AL,143,640,-14,6,2,11,8,12,1.2,19,31,3.1,0.509,0.508,2.0,2.0,20,$12000.00,*6,
1958,24,CHW,AL,145,604,-10,6,1,18,9,23,2.3,19,41,4.2,0.52,0.515,2.3,2.9,23,$18000.00,*6,ASGG
1959,25,CHW,AL,152,686,-14,10,1,8,9,14,1.3,20,34,3.3,0.510,0.5,2.6,1.7,26,$25000.00,*6,ASMVP-2GG
1960,26,CHW,AL,153,670,-12,9,2,27,9,36,3.6,20,56,6,0.525,0.524,2.9,3.8,29,$18750.00,*6,ASMVP-21GG
1961,27,CHW,AL,156,672,-13,5,1,9,9,11,0.9,21,32,2.9,0.507,0.507,2,1.8,22,$28500.00,*6,ASMVP-12GG
1962,28,CHW,AL,153,622,-26,3,2,11,9,0,-0,19,19,1.7,0.500,0.500,0.7,2.0,7,$35000.00,*6,ASGG
1963,29,BAL,AL,146,652,-14,7,0,7,9,8,0.7,19,27,2.5,0.506,0.506,2,1.6,20,$35000.00,*6,ASMVP-23
1964,30,BAL,AL,146,641,1,9,0,13,9,32,3.3,19,51,5.2,0.525,0.522,4.0,2.3,38,$35000.00,*6,ASMVP-28GG
1965,31,BAL,AL,144,629,-9,5,0,15,9,20,2.1,19,38,4.0,0.516,0.514,2.4,2.6,23,$35000.00,*6,
1966,32,BAL,AL,151,707,-6,7,1,10,9,21,2.1,20,42,4.2,0.516,0.515,3.3,2,31,$32500.00,*6,MVP-9GG
1967,33,BAL,AL,134,587,-16,3,1,-4,8,-9,-1.3,18,10,1,0.492,0.494,1.3,0.3,14,$32500.00,*6,
1968,34,CHW,AL,155,664,-11,1,0,12,9,11,1.1,22,33,3.4,0.509,0.51,2.1,2.6,21,$38000.00,*6,MVP-14GG
1969,35,CHW,AL,156,681,-3,6,1,10,9,23,2.4,23,46,4.7,0.517,0.516,3.8,2.0,36,$38000.00,*6,
1970,36,CHW,AL,146,616,12,5,1,0,8,26,2.6,21,47,4.8,0.519,0.517,5.0,0.8,47,$38000.00,*6,ASMVP-12GG
1971,37,BOS,AL,125,541,-22,2,1,-8,7,-19,-2,18,-1,-0.5,0.482,0.486,0.5,-0.1,7,$38000.00,*6,AS
1972,38,BOS,AL,110,474,-1,1,1,-4,6,3,0,16,19,2,0.503,0.502,2.7,0.2,24,$100000.00,*6,ASMVP-18
1973,39,BOS,AL,132,561,-19,3,1,11,8,5,0.7,20,25,2.6,0.504,0.503,1.4,2.2,14,$100000.00,*6,
18 Seasons,18 Seasons,18 Seasons,,2599,11230,-197,92,18,149,154,215,21,350,565,55.8,0.509,0.509,42.2,31.8,416,$665250.00,,
CHW (10 yrs),CHW (10 yrs),CHW (10 yrs),,1511,6438,-112,55,13,109,89,154,15.0,200,355,35.2,0.511,0.510,24.6,20.7,246,$257250.00,,
BAL (5 yrs),BAL (5 yrs),BAL (5 yrs),,721,3216,-45,31,1,41,44,73,6.8,95,168,16.4,0.511,0.51,12.9,8.9,126,$170000.00,,
BOS (3 yrs),BOS (3 yrs),BOS (3 yrs),,367,1576,-41,6,3,-2,22,-12,-1.4,54,43,4.2,0.496,0.497,4.6,2.2,45,$238000.00,,
