Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1930,23,CHW,AL,6,26,-1,0,0,-1,0,-1,-0.1,1,0,0.0,0.486,0.499,0.1,-0.1,1,$4200.00,/6,
1931,24,CHW,AL,96,331,-14,1,0,-12,5,-19,-1.8,12,-7,-0.6,0.481,0.489,0.5,-0.6,5,$4200.00,6/4,
1932,25,CHW,AL,139,532,-8,-1,0,-2,7,-4,-0.4,20,16,1.5,0.50,0.498,1.7,0.5,18,$4200.00,645,
1933,26,CHW,AL,151,671,21,-3,0,0,10,29,2.8,25,54,5.1,0.518,0.5,5.1,1.0,54,$5000.00,*6,MVP-21
1934,27,CHW,AL,118,516,4,1,0,-11,8,1,0.0,19,20,2,0.501,0.500,3.0,-0.3,31,$7500.00,*6/4,
1935,28,CHW,AL,153,656,20,0,0,17,10,47,4.3,25,72,6.7,0.529,0.528,5,2.5,55,$7000.00,*6,MVP-15
1936,29,CHW,AL,138,618,42,0,0,6,9,57,5,22,79,6.9,0.535,0.530,6.5,1.3,73,$12000.00,*6,ASMVP-2
1937,30,CHW,AL,154,665,17,0,0,16,10,43,3.9,24,67,6.2,0.526,0.524,5,2.5,51,$18500.00,*6,MVP-17
1938,31,CHW,AL,81,339,-4,-1,0,5,5,6,0.5,12,18,1.7,0.506,0.503,1.2,1.0,13,$15000.00,6,
1939,32,CHW,AL,148,633,12,0,0,1,10,22,2.1,23,45,4.2,0.514,0.513,4.1,1.1,44,$13500.00,*6,ASMVP-33
1940,33,CHW,AL,150,640,24,-1,0,2,10,35,3.3,22,57,5.4,0.522,0.520,5.2,1,54,$13500.00,*6,ASMVP-10
1941,34,CHW,AL,154,678,13,0,0,6,10,29,2.9,23,52,5.1,0.519,0.518,5,1.7,46,$14000.00,*6,AS
1942,35,CHW,AL,142,613,-1,2,0,-1,9,9,1.0,18,27,2.7,0.507,0.506,2.8,1.0,28,$14000.00,*6,
1943,36,CHW,AL,155,677,33,3,0,3,10,50,5.6,19,69,7.6,0.536,0.535,7.2,2,66,$11000.00,*6,ASMVP-2
,,,,,,,,,,,,,,,,,,,,,,,
1945,38,CHW,AL,18,70,7,0,0,-1,1,7,0.8,2,9,1.0,0.545,0.505,1.1,0.0,10,$11000.00,6,
1946,39,CHW,AL,149,659,15,0,0,11,10,37,4.0,20,56,5.9,0.527,0.525,4.7,2.4,45,$12000.00,*6,ASMVP-12
1947,40,CHW,AL,139,573,19,0,0,0,9,28,2.9,17,44,4.6,0.522,0.519,4.7,0.9,44,$16000.00,*6/5,ASMVP-10
1948,41,CHW,AL,139,594,15,0,-1,-1,4,18,1.7,17,35,3.4,0.512,0.511,3.5,0.3,36,$17000.00,56,MVP-22
1949,42,CHW,AL,142,619,26,-4,-1,2,10,33,3.2,18,51,5,0.523,0.52,4.8,1.1,49,$17000.00,*6,MVP-22
1950,43,CHW,AL,50,144,-8,2,0,1,1,-4,-0.4,4,0,0,0.492,0.498,-0.1,0.2,-1,$18000.00,63/4,
20 Seasons,20 Seasons,20 Seasons,,2422,10254,234,0,-2,41,150,422,41.4,343,765,74.4,0.517,0.516,70.6,19,724,$234600.00,,
