Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1910,20,PIT,NL,2,8,2,0,0,1,0,3,0.3,0,3,0.3,0.638,0.502,0.2,0.1,2,,/7,
1911,21,PIT,NL,129,503,-4,1,0,9,-4,1,0.0,16,17,1.6,0.501,0.501,0.8,0.4,8,,*87,
1912,22,PIT,NL,150,690,8,2,0,9,-8,10,1.0,20,30,3.0,0.51,0.507,2.2,0.1,21,,*7/8,
1913,23,PIT,NL,154,692,5,9,0,5,-8,11,1.2,20,31,3.2,0.508,0.5,2.7,-0.3,26,,*78,
1914,24,PIT,NL,156,664,1,2,0,5,-8,0,-0.2,20,20,2,0.500,0.500,1.5,-0.5,15,,*7,
1915,25,PIT,NL,140,628,2,3,0,7,-7,5,0.4,18,23,2.4,0.504,0.503,2,-0.1,16,,*7,
1916,26,PIT,NL,154,680,13,8,0,9,-5,25,3,20,45,5.1,0.520,0.519,4.0,0.6,36,$5000.00,*87,
1917,27,PIT,NL,155,668,19,3,0,8,-4,25,3.1,20,45,5.1,0.520,0.519,4,0.5,37,,*8,
1918,28,PIT,NL,126,549,9,8,0,8,-3,22,2.6,16,38,4.2,0.521,0.516,3.3,0.5,30,,*8,
1919,29,PIT,NL,66,275,6,1,0,0,-2,5,0.5,8,13,1.4,0.509,0.504,1.5,-0.3,13,,8,
1920,30,PIT,NL,130,567,4,9,0,-2,-3,8,0.8,17,25,2.7,0.507,0.506,3.0,-1,27,,*8,
1921,31,PIT,NL,140,626,16,5,0,6,-4,23,2.2,18,41,4.2,0.517,0.514,3.7,0.2,35,,*8,
1922,32,PIT,NL,155,732,25,12,0,-1,-4,32,3.1,21,53,5.1,0.52,0.519,5.2,-0.4,54,,*8/7,
1923,33,PIT,NL,153,699,19,9,0,6,-4,30,2.9,20,51,5.0,0.519,0.518,4.4,0.2,44,,*8,
1924,34,PIT,NL,149,683,8,7,0,9,-4,20,2,20,40,4.0,0.514,0.5,3.2,0,31,,*8,MVP-18
1925,35,PIT,NL,133,620,25,6,0,0,-3,27,2.5,18,45,4.2,0.519,0.516,4.3,-0.4,45,,*8,MVP-11
1926,36,PIT,NL,86,370,-21,0,0,0,-2,-23,-2.4,11,-11,-1.3,0.473,0.485,-1.2,-0,-11,$16500.00,8,
1926,36,BRO,NL,27,113,-4,0,0,0,-1,-5,-0.5,3,-1,-0.1,0.483,0.497,-0.1,-0.1,-1,,8,
1927,37,BRO,NL,144,623,-5,3,0,7,-6,-1,-0.2,19,18,1.8,0.499,0.499,1.2,0,11,,*98/7,MVP-20
1928,38,BRO,NL,108,351,-9,1,0,0,-3,-10,-1.1,11,1,0,0.49,0.494,0.1,-0.4,1,,89/7,
1929,39,BRO,NL,19,27,0,0,0,0,0,0,0,1,1,0.1,0.498,0.5,0.1,0,0,,/89,
20 Seasons,20 Seasons,20 Seasons,,2476,10768,117,88,0,86,-84,208,21.1,318,526,54,0.509,0.509,45.6,-0.1,439,$21500.00,,
PIT (17 yrs),PIT (17 yrs),PIT (17 yrs),,2178,9654,135,83,0,79,-74,224,22.9,284,508,52.3,0.511,0.51,44.5,0.3,428,$21500.00,,
BRO (4 yrs),BRO (4 yrs),BRO (4 yrs),,298,1114,-18,5,0,7,-10,-16,-1.8,34,18,1.7,0.494,0.497,1.2,-0.4,11,,,
