Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1926,17,NYG,NL,35,61,1,0,0,0,0,1,0.1,2,3,0.3,0.502,0.501,0.3,-0.1,3,,7,
1927,18,NYG,NL,82,180,-2,0,0,-3,-1,-6,-0.7,6,-1,-0.1,0.492,0.496,0.3,-0.4,2,,87,
1928,19,NYG,NL,124,500,25,0,0,4,-5,24,2.3,15,39,3.9,0.52,0.515,3.6,-0.2,35,,*9/4758,
1929,20,NYG,NL,150,675,61,0,0,7,-7,61,5.4,20,81,7.4,0.536,0.5,6.9,0.0,74,,*9/48,MVP-11
1930,21,NYG,NL,148,648,52,-1,0,8,-7,52,4.4,20,72,6,0.530,0.528,5.8,0.1,64,,*9,
1931,22,NYG,NL,138,580,37,-1,0,6,-4,38,3.7,18,55,5.6,0.528,0.524,5,0.1,49,,*89,
1932,23,NYG,NL,154,673,62,0,0,4,-7,58,6,21,79,7.9,0.538,0.536,7.5,-0.3,75,,*9,MVP-10
1933,24,NYG,NL,152,661,29,0,0,8,-7,31,3.3,20,51,5.5,0.523,0.521,5,0.1,42,,*98,
1934,25,NYG,NL,153,671,57,1,0,2,-7,53,5.2,20,74,7.3,0.534,0.532,7.1,-0.5,72,,*98,ASMVP-5
1935,26,NYG,NL,152,683,49,-1,0,9,-6,51,5.0,20,71,7.1,0.533,0.531,6.2,0.3,62,,*95,ASMVP-20
1936,27,NYG,NL,150,660,63,-1,0,2,-7,57,5.6,21,79,7.8,0.537,0.535,7.5,-1,77,,*9,ASMVP-6
1937,28,NYG,NL,151,654,40,-1,0,6,-3,43,4.2,21,64,6.4,0.529,0.527,5.8,0.3,58,$17500.00,95,ASMVP-7
1938,29,NYG,NL,150,654,61,0,0,6,0,67,6.6,21,88,8.9,0.55,0.542,8.3,0.5,82,,*59,ASMVP-4
1939,30,NYG,NL,125,508,45,0,0,-1,-4,40,3.9,17,57,5.7,0.533,0.525,5.9,-0.6,58,$17500.00,95,ASMVP-11
1940,31,NYG,NL,151,647,31,0,0,3,-5,29,3,22,51,5.2,0.520,0.5,4.9,-0,48,,*95,AS
1941,32,NYG,NL,148,634,37,0,0,-6,-7,23,2.4,22,45,4.6,0.517,0.515,5.3,-1,51,,*9/7,ASMVP-19
1942,33,NYG,NL,152,664,47,0,0,-2,-7,37,4.1,21,58,6.3,0.528,0.526,6.6,-1.1,60,,*9,ASMVP-3
1943,34,NYG,NL,125,485,20,0,0,-3,-5,11,1.3,15,27,2.8,0.510,0.508,3.2,-1,30,,*9/5,ASMVP-20
1944,35,NYG,NL,120,494,40,0,0,0,-5,35,3.7,16,51,5.3,0.531,0.523,5.3,-0.5,51,,*9/5,ASMVP-16
1945,36,NYG,NL,135,534,33,0,0,0,-6,27,2.9,17,44,4.5,0.52,0.517,4.5,-0.5,44,,*9,MVP-13
1946,37,NYG,NL,31,78,-10,0,0,0,-1,-11,-1.3,3,-8,-0.9,0.46,0.492,-0.9,-0.1,-8,$35000.00,9,
1947,38,NYG,NL,4,4,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.472,0.499,-0.1,0,-1,,,
22 Seasons,22 Seasons,22 Seasons,,2730,11348,775,-5,0,50,-100,720,70.6,358,1078,107.8,0.526,0.524,103.7,-6,1027,$70000.00,,
