Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1925,22,PHA,AL,134,474,6,1,0,-1,4,10,1.0,18,28,2.7,0.507,0.506,2.8,0.3,29,$4500.00,*2,MVP-10
1926,23,PHA,AL,120,452,0,1,0,-1,4,4,0.4,17,21,2.1,0.503,0.503,2.2,0.3,22,$8000.00,*2,MVP-18
1927,24,PHA,AL,126,507,21,0,0,1,4,26,2.5,19,45,4.4,0.52,0.515,4.3,0.5,44,$9000.00,*2,MVP-4
1928,25,PHA,AL,131,571,18,0,0,-3,4,19,1.9,21,41,4.1,0.514,0.5,4.3,0.2,43,$10000.00,*2,MVP-1
1929,26,PHA,AL,135,606,23,-1,0,-1,5,26,2.4,22,48,5,0.518,0.515,4.7,0.3,49,$12000.00,*2,
1930,27,PHA,AL,130,561,30,2,0,2,4,38,3.4,21,60,5.5,0.526,0.521,5,0.6,57,$16000.00,*2,
1931,28,PHA,AL,122,522,35,0,0,0,4,38,4,20,58,5.5,0.529,0.522,5.4,0.4,58,$18667.00,*2,MVP-9
1932,29,PHA,AL,139,626,31,1,0,1,5,37,3.4,23,60,5.6,0.525,0.521,6,0.5,59,$18667.00,*2/7,
1933,30,PHA,AL,130,542,43,0,0,-1,4,46,4.4,20,67,6.3,0.534,0.527,6.4,0.3,68,$18667.00,*2,MVP-15
1934,31,DET,AL,129,523,18,0,0,1,4,23,2.1,20,43,4.0,0.516,0.513,4.0,0.5,42,$20000.00,*2,ASMVP-1
1935,32,DET,AL,115,522,32,-1,0,0,4,35,3.2,19,54,5.0,0.528,0.520,5.1,0,54,$20000.00,*2,ASMVP-7
1936,33,DET,AL,44,178,7,0,0,-1,1,7,0.6,6,13,1.2,0.514,0.504,1.3,0.0,14,$36000.00,2,
1937,34,DET,AL,27,124,7,0,0,1,1,9,0.8,4,13,1.2,0.53,0.505,1.1,0.2,12,$36000.00,2,
13 Seasons,13 Seasons,13 Seasons,,1482,6208,271,2,0,-2,48,320,29.5,231,551,52.1,0.520,0.515,52.4,4.4,552,$227501.00,,
,,,,,,,,,,,,,,,,,,,,,,,
PHA (9 yrs),PHA (9 yrs),PHA (9 yrs),,1167,4861,208,3,0,-3,38,246,22.9,181,427,40.8,0.520,0.516,40.9,3,430,$115501.00,,
DET (4 yrs),DET (4 yrs),DET (4 yrs),,315,1347,64,-1,0,1,10,74,6.6,49,123,11.4,0.521,0.514,11.5,1.0,122,$112000.00,,
