Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1951,19,NYY,AL,96,386,6,-1,2,0,-4,3,0.3,12,15,1.5,0.503,0.502,1.4,-0.4,15,$7500.00,9/8,
1952,20,NYY,AL,142,626,42,2,1,0,-1,43,4.6,19,62,6.5,0.533,0.528,6.4,-0.2,62,$10000.00,*89/5,ASMVP-3
1953,21,NYY,AL,127,540,31,3,3,5,-1,40,4.1,17,57,5.8,0.53,0.525,5.3,0.4,52,$17500.00,*8/976,ASMVP-22
1954,22,NYY,AL,146,649,42,5,2,-1,-1,47,4.9,19,66,6.9,0.534,0.5,7.1,-0.2,68,$21000.00,*8/649,ASMVP-15
1955,23,NYY,AL,147,638,58,5,1,10,-1,74,7.6,19,94,10,0.551,0.546,8.4,1.1,84,$25000.00,*8/6,ASMVP-5
1956,24,NYY,AL,150,652,84,6,2,5,-1,97,9.3,20,117,11.3,0.562,0.558,11,0.5,111,$32000.00,*8,ASMVP-1
1957,25,NYY,AL,144,623,84,6,1,1,-1,92,9,19,111,11.3,0.566,0.559,11.3,-0.1,110,$60000.00,*8,ASMVP-1
1958,26,NYY,AL,150,654,64,6,1,-5,-1,65,6.7,19,85,8.7,0.546,0.542,9,-0.7,90,$65000.00,*8,ASMVP-5
1959,27,NYY,AL,144,640,40,4,0,4,-1,48,4.7,19,66,6.6,0.534,0.530,6.3,0.3,62,$70000.00,*8,ASMVP-17
1960,28,NYY,AL,153,643,43,4,-1,-1,-1,45,4.4,20,65,6.3,0.530,0.529,6.7,-0.3,66,$60000.00,*8,ASMVP-2
1961,29,NYY,AL,153,646,80,6,2,1,-1,89,8.5,20,109,10.5,0.557,0.554,10.6,-0,108,$70000.00,*8,ASMVP-2
1962,30,NYY,AL,123,502,58,3,1,-15,-1,46,4.4,15,61,6,0.537,0.528,7.6,-1.8,76,$90000.00,*89,ASMVP-1GG
1963,31,NYY,AL,65,213,22,0,-1,1,0,22,2.3,7,28,2.9,0.536,0.51,2.9,0.0,28,$100000.00,8,AS
1964,32,NYY,AL,143,567,46,1,-1,-15,-2,31,3.0,17,48,4.8,0.523,0.520,6.6,-2.0,63,$100000.00,*879,ASMVP-2
1965,33,NYY,AL,122,435,16,0,-1,-6,-5,4,0.4,13,18,1.8,0.504,0.503,2.5,-1.2,23,$100000.00,7,ASMVP-25
1966,34,NYY,AL,108,393,31,0,-1,-8,-1,22,2,13,35,3.6,0.523,0.515,4.7,-1.2,43,$100000.00,1,MVP-19
1967,35,NYY,AL,144,553,30,0,0,-4,-7,20,2.0,18,38,3.9,0.52,0.514,4.6,-1.5,41,$100000.00,*3,AS
1968,36,NYY,AL,144,547,24,0,0,-10,-7,8,0.7,19,26,2.7,0.507,0.506,4.1,-2,36,$100000.00,*3,AS
18 Seasons,18 Seasons,18 Seasons,,2401,9907,803,50,12,-37,-34,794,79.5,305,1099,110.3,0.534,0.53,116.4,-9.6,1136,$1128000.00,,
