Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1992,23,LAD,NL,21,74,-1,0,0,-1,1,-1,-0.1,2,1,0.1,0.495,0.499,0.2,0.0,2,,2,
1993,24,LAD,NL,149,602,39,-5,0,8,9,51,5.2,19,70,7.0,0.535,0.532,6.0,1.8,62,$126000.00,*2/3,ASMVP-9RoY-1SS
1994,25,LAD,NL,107,441,20,0,-1,-2,6,23,2.3,14,37,3.6,0.52,0.514,3.8,0.4,39,$600000.00,*2,ASMVP-6SS
1995,26,LAD,NL,112,475,46,1,-2,-2,7,50,4.8,15,64,6.2,0.543,0.5,6.4,0.5,66,$900000.00,*2,ASMVP-4SS
1996,27,LAD,NL,148,631,46,-6,-2,-8,9,39,3.5,19,59,5,0.526,0.524,6.4,-0.1,67,$2700000.00,*2,ASMVP-2SS
1997,28,LAD,NL,152,633,70,-2,-3,-2,8,71,6.8,20,91,8.7,0.546,0.543,9,0.5,93,$7000000.00,*2/D,ASMVP-2SS
1998,29,LAD,NL,37,161,5,-1,0,-1,2,5,0,5,10,0.9,0.513,0.503,1.1,0.1,11,$8000000.00,2,ASMVP-14SS
1998,29,FLA,NL,5,19,-1,-1,0,0,0,-1,-0.1,1,-1,-0.1,0.473,0.499,-0,0.0,-1,,/2,ASMVP-14SS
1998,29,NYM,NL,109,446,38,-1,-1,0,6,43,4.1,14,56,5.4,0.539,0.526,5.5,0.5,56,,2/D,ASMVP-14SS
1999,30,NYM,NL,141,593,27,0,-3,-3,8,28,2.5,18,47,4.3,0.519,0.517,4.6,0.4,50,$7171428.00,*2/D,ASMVP-7SS
2000,31,NYM,NL,136,545,38,-1,-2,-3,7,39,3.5,17,56,5.1,0.527,0.522,5.5,0,59,$12071429.00,*2/D,ASMVP-3SS
2001,32,NYM,NL,141,573,38,-3,-2,-11,8,30,2.7,18,47,5,0.520,0.518,5.6,-0.4,58,$13571429.00,*2/D,ASMVP-13SS
2002,33,NYM,NL,135,541,24,-1,-4,-12,7,14,1.3,17,31,3.0,0.511,0.51,4.3,-0.6,43,$10571429.00,*2/D,ASSS
2003,34,NYM,NL,68,273,10,0,-1,1,4,13,1.3,9,22,2.1,0.519,0.508,2.0,0.5,21,$15571429.00,2/3,
2004,35,NYM,NL,129,528,5,-3,-3,-11,-1,-13,-1.5,16,3,0.2,0.490,0.492,1.3,-1.3,14,$16071429.00,32/D,AS
2005,36,NYM,NL,113,442,2,-1,0,-18,6,-12,-1.2,14,2,0.1,0.490,0.493,2.0,-1.3,20,$16071429.00,2/D,AS
2006,37,SDP,NL,126,439,14,-3,-1,2,5,18,2,14,31,3.0,0.514,0.511,2.8,1,29,$1250000.00,2/D,
2007,38,OAK,AL,83,329,-1,-2,-1,0,-7,-11,-1,12,1,0.1,0.487,0.493,0.1,-0.6,1,$8500000.00,D,
16 Seasons,16 Seasons,16 Seasons,,1912,7745,418,-29,-27,-63,86,385,35.9,242,627,59.6,0.520,0.516,66,1.5,690,$120176002.00,,
NYM (8 yrs),NYM (8 yrs),NYM (8 yrs),,972,3941,181,-10,-18,-57,45,141,12.6,123,264,24.6,0.51,0.511,30.8,-1.8,321,$91100002.00,,
LAD (7 yrs),LAD (7 yrs),LAD (7 yrs),,726,3017,224,-13,-7,-8,42,238,22.8,93,331,32.0,0.532,0.527,32.8,3.2,339,$19326000.00,,
OAK (1 yr),OAK (1 yr),OAK (1 yr),,83,329,-1,-2,-1,0,-7,-11,-1.1,12,1,0.1,0.487,0.493,0.1,-0.6,1,$8500000.00,,
SDP (1 yr),SDP (1 yr),SDP (1 yr),,126,439,14,-3,-1,2,5,18,1.6,14,31,3,0.514,0.511,2.8,0.7,29,$1250000.00,,
FLA (1 yr),FLA (1 yr),FLA (1 yr),,5,19,-1,-1,0,0,0,-1,-0.1,1,-1,-0.1,0.473,0.499,-0.1,0,-1,,,
