Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1972,22,PHI,NL,13,40,-1,0,0,0,0,-1,-0.1,1,1,0.1,0.495,0.500,0.0,0.1,1,$13500.00,5/4,
1973,23,PHI,NL,132,443,-3,2,-1,5,3,5,0.4,14,19,1.8,0.504,0.503,1.3,0.8,15,$15000.00,*5/436,
1974,24,PHI,NL,162,686,46,1,1,18,4,71,7.6,22,93,9.7,0.55,0.547,7.7,2.4,75,$35000.00,*5,ASMVP-6
1975,25,PHI,NL,158,674,30,2,-1,15,5,52,5.5,22,74,7.7,0.536,0.5,5.9,2.2,58,$65000.00,*56,MVP-16
1976,26,PHI,NL,160,705,40,0,0,10,4,54,5.9,22,76,8,0.537,0.537,6.8,1.6,66,$120000.00,*5,ASMVP-3GG
1977,27,PHI,NL,154,667,41,2,-1,20,4,66,6.8,21,88,8.9,0.545,0.543,7,2.6,68,$560000.00,*5/64,ASMVP-10GG
1978,28,PHI,NL,145,616,19,2,1,12,4,38,4,20,58,6.2,0.530,0.526,4.7,1.8,46,$560000.00,*5/6,GG
1979,29,PHI,NL,160,675,41,4,-1,7,4,54,5.7,22,76,7.9,0.536,0.535,7,1.2,69,$560000.00,*5/6,ASMVP-13GG
1980,30,PHI,NL,150,652,47,-1,2,11,3,62,6.7,22,84,8.9,0.545,0.542,7.6,1.6,72,$560000.00,*5,ASMVP-1GGSS
1981,31,PHI,NL,102,434,44,1,-1,9,2,55,6.2,15,70,7.7,0.560,0.538,6.6,1.3,61,$560000.00,*5,ASMVP-1GGSS
1982,32,PHI,NL,148,631,41,1,0,4,3,48,5.2,21,69,7.4,0.535,0.532,6.8,1,65,$1533333.00,*5,ASMVP-6GGSS
1983,33,PHI,NL,154,669,40,-3,0,5,3,44,4.6,22,66,7,0.531,0.530,6.3,0.8,62,$1785670.00,*5/6,ASMVP-3GGSS
1984,34,PHI,NL,151,632,36,-4,-1,10,2,44,4.8,22,66,7.0,0.532,0.53,5.7,1.4,55,$2023208.00,*5/36,ASMVP-7GGSS
1985,35,PHI,NL,158,645,34,-3,0,0,-5,26,2.8,22,48,5.0,0.518,0.517,5.0,-0.6,48,$2130300.00,6,
1986,36,PHI,NL,160,657,38,-1,0,0,0,37,3.9,22,59,6.2,0.525,0.524,6.1,0.0,59,$2136666.00,*53,ASMVP-1GGSS
1987,37,PHI,NL,147,613,30,0,-2,10,2,40,4,21,61,6.1,0.528,0.525,5,1.2,51,$2127333.00,*5/36,ASMVP-14
1988,38,PHI,NL,108,451,5,-3,-1,0,1,3,0.2,15,18,1.8,0.503,0.502,1.9,0.1,18,$2250000.00,5/3,
1989,39,PHI,NL,42,172,1,-1,0,-8,1,-8,-0.9,6,-2,-0.4,0.479,0.495,0.5,-0.8,5,,5,AS
18 Seasons,18 Seasons,18 Seasons,,2404,10062,527,-1,-7,127,42,689,73.6,333,1021,106.8,0.531,0.529,91.8,18.4,894,$17035010.00,,
