Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1904,26,CIN,NL,140,596,10,-2,0,2,0,10,1.2,19,29,3.1,0.508,0.507,2.9,0.3,27,$3000.00,*4,
1905,27,CIN,NL,149,683,9,-2,0,9,0,17,1.8,20,37,3.9,0.512,0.511,2.9,1.0,28,,*4,
1906,28,CIN,NL,146,640,14,0,0,5,0,19,2.2,19,39,4.3,0.52,0.514,3.8,0.5,34,,*4,
1907,29,CIN,NL,156,672,-1,-1,0,5,0,4,0.4,21,24,2.6,0.503,0.5,2.2,0.6,19,,*4,
1908,30,CIN,NL,135,588,0,1,0,0,0,1,0.0,18,19,2,0.501,0.501,2.0,0.0,19,,*4,
1909,31,CIN,NL,57,196,-2,0,0,1,1,0,0.0,6,6,0.7,0.500,0.500,1,0.2,5,,45,
1910,32,STL,NL,151,687,17,-1,0,-3,0,13,2,20,32,3.4,0.509,0.509,3.7,-0.3,35,,*4,
1911,33,STL,NL,138,625,6,0,0,13,0,18,1.8,18,37,3.7,0.514,0.512,3,1.3,24,,*4,MVP-6
1912,34,STL,NL,120,529,16,0,0,-6,0,10,1.0,16,26,2.6,0.509,0.506,3.3,-0.6,32,,*4,MVP-16
1913,35,STL,NL,121,495,15,-1,0,1,0,16,1.7,15,31,3.3,0.514,0.511,3.1,0.1,30,,*4,
1914,36,STL,NL,148,633,15,-1,0,6,0,20,2.1,19,39,4.1,0.516,0.514,3.5,1,33,,*4,
1915,37,STL,NL,107,436,3,0,0,3,0,5,0.5,13,19,2.0,0.506,0.504,2,0.3,16,,*4,
1916,38,STL,NL,18,14,1,0,0,0,0,1,0.1,0,1,0.2,0.506,0.501,0.2,0.0,1,,/4,
13 Seasons,13 Seasons,13 Seasons,,1586,6794,103,-7,0,36,1,133,14.3,205,339,35.6,0.509,0.508,32.4,4,302,$3000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
STL (7 yrs),STL (7 yrs),STL (7 yrs),,803,3419,73,-4,0,14,1,83,8.7,102,185,19.1,0.511,0.509,18.0,1.5,171,,,
CIN (6 yrs),CIN (6 yrs),CIN (6 yrs),,783,3375,30,-3,0,22,1,50,5.6,103,154,16.5,0.507,0.507,14.3,2.7,132,$3000.00,,
