Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1949,30,NYG,NL,36,93,-1,0,0,0,-1,-2,-0.2,4,2,0.2,0.495,0.499,0.2,-0.1,2,$5000.00,9/35,
1950,31,NYG,NL,110,432,18,0,1,6,-5,19,1.8,16,36,3.5,0.518,0.512,3.0,0.1,30,$6000.00,79,
1951,32,NYG,NL,151,657,40,4,-1,7,-7,43,4.4,24,68,6.9,0.53,0.527,6.3,0.0,61,$10000.00,*739,MVP-3
1952,33,NYG,NL,46,136,3,-1,0,0,-1,1,0.1,5,6,0.6,0.503,0.5,0.7,-0.2,6,$25000.00,7/89,ASMVP-31
1953,34,NYG,NL,124,502,29,-1,-3,7,-5,27,2.6,19,46,4,0.522,0.517,3.9,0.1,39,$25000.00,*79,MVP-15
1954,35,NYG,NL,135,512,5,0,-2,13,-6,10,1.0,19,30,2.9,0.508,0.507,2,0.7,17,$25000.00,*7/935,
1955,36,NYG,NL,51,173,-4,1,0,4,-2,-2,-0,7,5,0.4,0.496,0.499,0.0,0.1,0,$25000.00,7/9,
1956,37,CHC,NL,111,388,6,0,-2,10,-4,11,0.9,15,25,2.4,0.511,0.507,2,0.5,16,$16500.00,7,
8 Seasons,8 Seasons,8 Seasons,,764,2893,96,4,-8,47,-31,109,10.3,109,217,21.3,0.514,0.512,17.3,1.2,170,$137500.00,,
,,,,,,,,,,,,,,,,,,,,,,,
NYG (7 yrs),NYG (7 yrs),NYG (7 yrs),,653,2505,90,4,-6,37,-27,98,9.4,94,192,18.9,0.515,0.513,15.7,1,155,$121000.00,,
CHC (1 yr),CHC (1 yr),CHC (1 yr),,111,388,6,0,-2,10,-4,11,0.9,15,25,2,0.511,0.507,1.6,0.5,16,$16500.00,,
