Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1896,21,PHI,NL,39,178,4,0,0,-2,0,2,0.2,6,8,0.8,0.505,0.501,1.0,-0.2,10,,3,
1897,22,PHI,NL,127,577,40,-1,0,3,-2,40,3.2,19,59,5.2,0.526,0.520,5.0,0.1,56,,*3O/5,
1898,23,PHI,NL,147,641,26,0,0,-12,2,15,1.4,22,37,3.7,0.51,0.509,4.9,-1.0,49,,*4/3,
1899,24,PHI,NL,77,337,29,-1,0,1,0,30,2.6,11,41,3.8,0.534,0.5,3.7,0.1,40,,4/O,
1900,25,PHI,NL,102,471,23,0,0,6,1,31,2.7,15,46,4,0.527,0.517,3.8,0.6,40,$2600.00,*4/5,
1901,26,PHA,AL,131,582,73,-2,0,0,1,73,6.4,20,94,8.4,0.549,0.539,8,0.2,94,$4000.00,*46,
1902,27,PHA,AL,1,4,0,0,0,0,0,0,0,0,0,0.0,0.478,0.500,0.0,0.0,0,$7000.00,/4,
1902,27,CLE,AL,86,381,36,0,0,4,0,41,3.8,13,54,5.1,0.545,0.524,5,0.4,50,,4,
1903,28,CLE,AL,125,525,39,0,0,17,0,56,5.9,19,74,8.0,0.548,0.537,6.2,1.8,57,$7000.00,*4/35,
1904,29,CLE,AL,140,594,59,0,0,-7,3,55,6.3,21,76,8.6,0.546,0.540,9.6,-0.6,83,$7000.00,46/3,
1905,30,CLE,AL,65,271,14,-1,0,4,0,17,2.0,10,27,3.1,0.531,0.513,2.6,0,23,$7000.00,4/3,
1906,31,CLE,AL,152,655,45,-2,0,20,1,65,7.6,23,87,10.0,0.550,0.547,7.6,2.6,67,$8500.00,*45/6,
1907,32,CLE,AL,137,558,19,0,0,27,0,46,5.5,20,66,7.6,0.54,0.534,4.3,3.3,39,,*4/3,
1908,33,CLE,AL,157,663,24,-1,0,20,0,43,5.4,23,66,7.9,0.535,0.534,5.3,2.6,46,$12000.00,*4/3,
1909,34,CLE,AL,128,524,26,-1,0,12,0,37,4,19,56,6.5,0.536,0.5,5.1,1,44,$12000.00,*4/3,
1910,35,CLE,AL,159,678,65,-2,0,-1,0,62,7.0,25,87,9.8,0.545,0.544,10.0,-0,88,$12000.00,*43,
1911,36,CLE,AL,90,353,20,-1,0,-4,-1,13,1.3,13,26,2.7,0.515,0.508,3.1,-0.5,30,,34,MVP-13
1912,37,CLE,AL,117,499,29,3,0,1,-1,33,3.3,19,52,5.3,0.529,0.521,5.1,0.1,51,,43,
1913,38,CLE,AL,137,525,20,-2,0,10,0,29,3.2,20,48,5.3,0.524,0.520,4.2,1.1,38,$9000.00,*4,MVP-11
1914,39,CLE,AL,121,468,-7,-1,0,-6,-1,-15,-2,18,3,0.1,0.49,0.489,0.9,-0.9,9,,43,
1915,40,PHA,AL,129,521,0,1,0,-4,1,-3,-0.4,20,17,1.7,0.50,0.498,2.2,-0.4,21,,*46/35,
1916,41,PHA,AL,113,455,-10,0,0,-6,0,-16,-2.0,17,1,-0.2,0.483,0.488,0.6,-0.8,7,,*4/37,
21 Seasons,21 Seasons,21 Seasons,,2480,10460,576,-11,0,83,4,653,67.9,372,1025,107.4,0.528,0.522,98.3,10.1,942,$88100.00,,
CLE (13 yrs),CLE (13 yrs),CLE (13 yrs),,1614,6694,391,-8,0,97,1,481,53.9,242,722,79.9,0.534,0.528,68.8,12,625,$74500.00,,
PHI (5 yrs),PHI (5 yrs),PHI (5 yrs),,492,2204,122,-2,0,-4,2,118,10,74,191,17.6,0.521,0.514,18.3,-0,195,$2600.00,,
PHA (4 yrs),PHA (4 yrs),PHA (4 yrs),,374,1562,63,-1,0,-10,2,54,4.0,57,111,9.8,0.51,0.509,11.1,-1.1,122,$11000.00,,
