Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1947,19,PHA,AL,7,4,0,0,0,0,0,0,-0.1,0,0,0.0,0.494,0.500,0.0,0.0,0,,/4,
1948,20,PHA,AL,3,14,-2,0,0,-1,0,-2,-0.2,0,-2,-0.2,0.425,0.499,-0.1,-0.1,-1,,/4,
1949,21,PHA,AL,88,296,-7,0,0,4,4,1,0.1,9,9,0.9,0.50,0.500,0.5,0.7,5,,4,
1950,22,CHW,AL,130,504,-28,0,1,1,6,-20,-1.9,15,-5,-0.4,0.485,0.5,-0.6,0.7,-6,,*4,
1951,23,CHW,AL,147,682,16,-2,1,7,7,29,2.9,20,49,5,0.520,0.518,4.0,1.4,42,,*4,ASMVP-17
1952,24,CHW,AL,152,700,-5,0,1,8,7,11,1.1,20,31,3.1,0.508,0.507,2,1.6,23,,*4,ASMVP-7
1953,25,CHW,AL,154,692,-6,1,2,6,7,10,1,20,31,3.1,0.507,0.506,2.5,1.3,25,,*4,AS
1954,26,CHW,AL,155,706,7,3,1,11,6,28,3.0,20,48,5.1,0.519,0.519,4,1.9,37,,*4,ASMVP-9
1955,27,CHW,AL,154,709,9,1,1,12,6,29,3.0,20,49,5.1,0.519,0.518,3.8,1.9,37,,*4,ASMVP-7
1956,28,CHW,AL,154,721,-8,5,0,-4,6,-1,-0.1,21,20,1.9,0.500,0.500,2.2,0.3,23,,*4,ASMVP-14
1957,29,CHW,AL,155,718,23,7,5,15,5,56,5.8,20,76,7.9,0.539,0.537,6.3,2,61,,*4,ASMVP-4GG
1958,30,CHW,AL,155,698,3,2,1,7,5,19,1.9,20,39,4,0.513,0.513,3.2,1.3,32,,*4,ASMVP-8
1959,31,CHW,AL,156,717,11,1,2,21,5,40,4.0,20,60,6.0,0.527,0.53,4.0,2.6,39,$45000.00,*4,ASMVP-1GG
1960,32,CHW,AL,150,684,0,0,2,16,5,22,2.1,20,42,4.0,0.516,0.514,2.5,2.1,26,$47000.00,*4,ASMVP-18GG
1961,33,CHW,AL,159,696,-26,0,0,4,4,-18,-2.2,21,3,-0.1,0.488,0.488,-0.3,0.7,-1,,*4,AS
1962,34,CHW,AL,157,684,-14,1,-1,6,4,-3,-1,21,18,1.5,0.498,0.498,1,1.0,11,,*4,
1963,35,CHW,AL,137,582,-19,-1,0,10,4,-6,-0.8,18,12,0.9,0.495,0.496,-0.1,1.4,2,,*4,ASMVP-26
1964,36,HOU,NL,133,502,-6,1,0,-5,3,-6,-0.6,19,13,1.4,0.495,0.496,1.8,-0.1,18,,*4,
1965,37,HOU,NL,21,42,-1,-1,1,0,0,-1,-0.1,2,1,0.0,0.494,0.499,0.0,0.1,0,,/534,
19 Seasons,19 Seasons,19 Seasons,,2367,10351,-53,19,16,120,83,185,18.3,307,492,49.0,0.508,0.508,36.8,21,372,$92000.00,,
CHW (14 yrs),CHW (14 yrs),CHW (14 yrs),,2115.0,9493,-37,18,15.00,121.00,76.00,194.00,19.2,277.00,471,46.9,0.51,0.5,34.7,20,350.000,92000.000,,
PHA (3 yrs),PHA (3 yrs),PHA (3 yrs),,98,314,-9,0,0.0,3.00,4.00,-2.00,-0,9.00,7,0.7,0.498,0.5,0.4,1,4.000,,,
HOU (2 yrs),HOU (2 yrs),HOU (2 yrs),,154.0,544,-7,0,1.00,-4.00,3.00,-7.00,-0.7,20.00,14,1.4,0.50,0.5,2,0,18.000,,,
