Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1958,20,SFG,NL,148,643,19,-3,-1,0,-8,7,0.7,24,31,3.1,0.505,0.505,3.2,-0.9,31,$9500.00,*3,MVP-9RoY-1
1959,21,SFG,NL,151,648,28,1,-1,-6,-9,13,1.3,24,37,3.8,0.509,0.508,4.5,-1.6,43,$17000.00,*37/5,ASMVP-19
1960,22,SFG,NL,151,615,26,2,-2,1,-8,19,2.0,23,42,4.3,0.51,0.513,4.3,-0.9,42,$27000.00,73,AS
1961,23,SFG,NL,152,637,44,1,-3,0,-9,33,3.3,25,58,5.7,0.522,0.5,5.8,-1.0,58,$30000.00,379,ASMVP-2
1962,24,SFG,NL,162,677,23,1,-3,-7,-9,6,0.7,26,32,3,0.504,0.504,3.9,-1.6,39,$47000.00,*3/79,ASMVP-15
1963,25,SFG,NL,156,629,46,1,-1,-11,-9,26,3.1,24,50,5.6,0.519,0.518,7,-2.2,61,$48000.00,*3/7,AS
1964,26,SFG,NL,142,588,34,-1,-1,-4,-8,19,2,22,41,4.5,0.515,0.513,4.9,-1.3,46,$53000.00,*3/7,AS
1965,27,SFG,NL,33,40,-4,0,0,0,0,-4,-0.4,2,-2,-0.2,0.488,0.498,-0,0.0,-2,$53000.00,/37,
1966,28,SFG,NL,19,54,1,-1,0,1,-1,1,0.1,2,3,0.3,0.506,0.501,0.2,0.0,2,$45000.00,/73,MVP-13
1966,28,STL,NL,123,509,16,-3,-1,-1,-7,4,0.6,18,22,2.4,0.504,0.503,2.4,-0.8,23,,*3,MVP-13
1967,29,STL,NL,151,644,41,2,-1,4,-9,38,4.5,23,60,6.8,0.528,0.526,6.2,-1,57,$53000.00,*3,ASMVP-1
1968,30,STL,NL,157,656,4,-1,0,0,-9,-6,-0.5,22,16,2,0.495,0.495,1.6,-1.0,16,$83000.00,*3,
1969,31,ATL,NL,154,636,6,0,-1,12,-9,8,1.0,22,30,3.2,0.506,0.51,1.8,0.4,18,$83000.00,*3,MVP-36
1970,32,ATL,NL,148,627,25,-3,-1,3,-8,15,1.7,21,37,3.8,0.511,0.510,3.4,-0.5,34,$80000.00,*3,
1971,33,ATL,NL,71,276,6,-3,-2,-1,-4,-4,-0.4,9,6,0.6,0.494,0.497,0.6,-0.5,6,,3,
1972,34,ATL,NL,28,91,2,-1,0,0,-1,0,0,3,3,0.3,0.501,0.500,0,-0.1,3,,3,
1972,34,OAK,AL,3,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.472,0.499,-0.1,0.0,-1,$90000.00,,
1973,35,BOS,AL,142,608,13,-4,-3,0,-13,-7,-0.6,22,14,1.5,0.494,0.495,1.4,-1.3,14,,*D,MVP-15
1974,36,KCR,AL,33,117,-5,0,-1,0,-2,-9,-1.0,4,-4,-0.5,0.471,0.494,-0.5,-0.3,-4,,D,
17 Seasons,17 Seasons,17 Seasons,,2124,8698,325,-9,-22,-11,-123,160,18.2,315,475,50.2,0.508,0.508,50.4,-13.8,486,$718500.00,,
SFG (9 yrs),SFG (9 yrs),SFG (9 yrs),,1114,4531,218,3,-12,-27,-61,122,13.0,170,292,30.4,0.512,0.511,33.3,-9.4,319,$329500.00,,
ATL (4 yrs),ATL (4 yrs),ATL (4 yrs),,401,1630,39,-7,-4,14,-22,20,2.4,56,75,7.9,0.505,0.505,6.1,-0.6,62,$163000.00,,
STL (3 yrs),STL (3 yrs),STL (3 yrs),,431,1809,61,-2,-2,2,-25,35,4.5,63,99,11,0.509,0.508,10.2,-2.2,96,$136000.00,,
KCR (1 yr),KCR (1 yr),KCR (1 yr),,33,117,-5,0,-1,0,-2,-9,-1,4,-4,-0.5,0.471,0.494,-0.5,-0.3,-4,,,
BOS (1 yr),BOS (1 yr),BOS (1 yr),,142,608,13,-4,-3,0,-13,-7,-0.6,22,14,1.5,0.494,0.495,1.4,-1.3,14,,,
OAK (1 yr),OAK (1 yr),OAK (1 yr),,3,3,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.472,0.499,-0.1,0,-1,$90000.00,,
