Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1978,23,SDP,NL,159,668,-9,4,1,3,10,10,1.1,21,32,3.3,0.507,0.507,2.8,1.5,28,,*6,RoY-2
1979,24,SDP,NL,156,649,-35,5,1,14,10,-4,-0.5,21,17,1.6,0.497,0.497,0.0,2.7,3,,*6,
1980,25,SDP,NL,158,712,-16,8,2,21,11,25,2.8,23,48,5.1,0.52,0.518,2.7,3.5,27,,*6,GG
1981,26,SDP,NL,110,507,-18,1,0,4,7,-6,-0.6,16,10,1.0,0.494,0.5,0.4,1.3,7,,*6,ASGG
1982,27,STL,NL,140,567,-11,4,3,21,9,27,3.1,19,46,5,0.522,0.519,2.5,3.5,25,$450000.00,*6,ASMVP-13GG
1983,28,STL,NL,159,626,-12,5,1,12,10,16,1.6,21,37,3.8,0.511,0.511,3,2.3,26,$1100000.00,*6,ASMVP-21GG
1984,29,STL,NL,124,484,2,3,3,14,8,30,3,17,46,5.0,0.527,0.520,3.3,2.5,32,$1200000.00,*6,ASGG
1985,30,STL,NL,158,615,2,4,1,20,10,38,4.3,21,59,6.4,0.527,0.526,4,3.4,39,$1440000.00,*6,ASMVP-18GG
1986,31,STL,NL,153,609,-1,6,2,16,10,32,3.5,21,53,5.6,0.523,0.522,3.8,2.8,37,$1940000.00,*6,ASGG
1987,32,STL,NL,158,706,10,6,1,14,10,40,4.1,23,63,6.4,0.526,0.526,4.9,2.4,50,$1940000.00,*6,ASMVP-2GGSS
1988,33,STL,NL,153,669,1,10,0,18,10,38,4.3,22,60,6.6,0.529,0.527,4.5,3,43,$2340000.00,*6,ASGG
1989,34,STL,NL,155,664,-2,5,1,32,10,46,5.2,21,67,7,0.535,0.533,3.6,4.8,35,$2240000.00,*6,ASGG
1990,35,STL,NL,143,592,-14,5,2,14,9,16,1.8,19,35,3.6,0.512,0.51,1.9,2.5,21,$1975000.00,*6,ASGG
1991,36,STL,NL,150,641,10,5,1,3,9,29,3.0,20,49,5.1,0.521,0.519,4.6,1.4,46,$2225000.00,*6,ASMVP-20GG
1992,37,STL,NL,132,590,4,4,2,13,8,30,3.4,17,47,5.1,0.526,0.521,3.6,2.5,34,$2000000.00,*6,ASMVP-22GG
1993,38,STL,NL,141,603,-5,3,2,4,8,12,1.3,19,31,3.1,0.509,0.508,2.5,1.3,27,$3000000.00,*6,
1994,39,STL,NL,98,433,-12,1,2,12,6,9,0.8,13,22,2.1,0.509,0.505,0.9,2,10,$3000000.00,*6,AS
1995,40,STL,NL,44,182,-14,0,-1,0,2,-12,-1,6,-6,-0.7,0.472,0.492,-0.7,0,-6,$3000000.00,6,AS
1996,41,STL,NL,82,261,2,-1,0,4,3,9,0.8,8,17,1.6,0.511,0.506,1.2,0.7,13,$3500000.00,6,AS
19 Seasons,19 Seasons,19 Seasons,,2573,10778,-117,79,23,239,162,386,42,348,734,76.9,0.517,0.516,48.8,44.2,495,$31350000.00,,
STL (15 yrs),STL (15 yrs),STL (15 yrs),,1990,8242,-39,61,19,196,123,360,39.2,266,627,65.9,0.52,0.519,43,35.2,431,$31350000.00,,
SDP (4 yrs),SDP (4 yrs),SDP (4 yrs),,583,2536,-78,18,5,43,39,26,2.8,81,107,11,0.505,0.505,5.8,9.1,65,,,
