Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1978,21,MIL,AL,125,556,-6,3,0,5,5,8,0.9,19,27,2.7,0.507,0.505,2.2,1.2,22,$21000.00,46/D5,RoY-2
1979,22,MIL,AL,140,645,22,4,2,4,4,36,3.7,21,58,5.6,0.526,0.522,5.3,0.9,54,$65000.00,*46/D,MVP-20
1980,23,MIL,AL,111,512,17,5,0,-4,4,22,2.3,16,38,3.8,0.52,0.513,4.2,0.0,42,$210000.00,46/D5,AS
1981,24,MIL,AL,64,284,1,1,1,-1,-1,1,0.1,9,10,1.0,0.502,0.5,1.1,-0.3,11,$320000.00,8D/9,
1982,25,MIL,AL,160,751,33,6,2,-4,3,40,4.1,23,63,6,0.525,0.525,6.7,-0.1,67,$435000.00,*5/D6,MVP-12
1983,26,MIL,AL,152,682,9,4,0,8,2,23,2.5,22,45,4.6,0.516,0.515,4,1.2,37,,*5/D,
1984,27,MIL,AL,13,49,-4,0,1,1,0,-3,-0,2,-1,-0.1,0.477,0.498,-0.3,0.1,-2,,/5D,
1985,28,MIL,AL,140,642,10,3,-1,3,2,17,1.8,20,37,3.7,0.512,0.511,3,0.5,34,$950000.00,*5/D,AS
1986,29,MIL,AL,105,482,3,5,0,-1,1,8,0.9,15,24,2.3,0.508,0.505,2.4,0.0,25,$1160000.00,5D/7,
1987,30,MIL,AL,118,542,44,6,0,0,-4,46,4.4,17,63,6.0,0.537,0.527,6.0,-0.4,63,$1260000.00,D54,MVP-5SS
1988,31,MIL,AL,154,691,25,7,-1,1,-3,29,3.2,22,52,5.2,0.520,0.519,5.1,-0,50,$1400000.00,5D/4,ASMVP-8SS
1989,32,MIL,AL,155,696,30,-1,0,2,0,31,3.5,23,55,6,0.521,0.520,5.4,0.3,53,$2100000.00,*5D4,
1990,33,MIL,AL,103,458,14,4,0,-2,0,16,1.7,16,32,3.2,0.517,0.51,3.5,-0.3,33,$2600000.00,43/D5,
1991,34,MIL,AL,158,752,39,2,-1,0,-12,29,3.1,24,53,5.3,0.519,0.518,5.4,-1.3,52,$3243333.00,*D3,ASMVP-11
1992,35,MIL,AL,158,701,31,4,1,-1,-12,22,2.4,25,47,4.8,0.515,0.514,4.9,-1.4,48,$3453333.00,D3,ASMVP-10
1993,36,TOR,AL,160,725,43,6,0,-1,-15,33,3.2,26,58,5.6,0.520,0.520,5.9,-1.7,59,$3650000.00,*D3,ASMVP-2SS
1994,37,TOR,AL,115,516,28,6,-1,-1,-10,20,1.9,19,39,3.6,0.516,0.512,3.8,-1,41,$4025000.00,*D/3,ASMVP-18
1995,38,TOR,AL,130,598,3,2,0,0,-12,-7,-1,21,14,1.3,0.495,0.496,1.3,-1,14,$4500000.00,*D,
1996,39,MIN,AL,161,729,20,5,1,0,-15,11,1.3,27,37,3.7,0.506,0.506,3.5,-1.2,37,$2025000.00,*D3,MVP-13SS
1997,40,MIN,AL,135,597,0,3,2,0,-12,-7,-1,22,15,1.5,0.495,0.496,1.5,-1.1,15,$3500000.00,*D3,
1998,41,MIN,AL,126,559,-10,5,-1,-2,-11,-20,-1.9,20,1,0.1,0.49,0.488,0,-1.2,2,$4250000.00,*D/3,
21 Seasons,21 Seasons,21 Seasons,,2683,12167,351,78,5,8,-88,354,37.4,411,765,76,0.513,0.512,75.6,-6.9,757,$39167666.00,,
MIL (15 yrs),MIL (15 yrs),MIL (15 yrs),,1856,8443,269,52,5,12,-13,325,34,276,602,60,0.518,0.5,59,0,589,$17217666.00,,
MIN (3 yrs),MIN (3 yrs),MIN (3 yrs),,422,1885,10,13,2,-2,-38,-17,-1.1,69,53,5.2,0.496,0.497,5.3,-3.5,54,$9775000.00,,
TOR (3 yrs),TOR (3 yrs),TOR (3 yrs),,405,1839,73,14,-1,-2,-37,46,4.4,66,111,10.5,0.511,0.51,11.1,-3.9,114,$12175000.00,,
