Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1926,23,PIT,NL,144,618,37,-1,0,4,-6,34,3.4,19,53,5.3,0.524,0.521,4.9,-0.3,49,,*9/7,MVP-12
1927,24,PIT,NL,155,709,51,-1,0,5,-7,48,4.8,21,69,6.9,0.531,0.530,6.5,-0.3,64,,*93,MVP-1
1928,25,PIT,NL,152,698,51,-1,0,5,-7,48,4.7,20,69,6.8,0.53,0.530,6.4,-0.3,64,,*93,MVP-15
1929,26,PIT,NL,151,704,35,-1,0,4,-7,31,2.8,21,52,4.8,0.519,0.5,4.6,-0.3,48,,*9/3,
1930,27,PIT,NL,145,666,33,-1,0,1,-7,26,2.2,20,46,4,0.516,0.514,4.2,-0.5,45,,*9/87,
1931,28,PIT,NL,150,647,29,-1,0,8,-7,29,2.9,20,49,5.0,0.520,0.518,4,0.1,41,,*93/7,
1932,29,PIT,NL,154,697,41,-1,0,1,-7,34,3,21,54,5.5,0.522,0.521,5.4,-0.6,53,$13750.00,*98,MVP-4
1933,30,PIT,NL,154,694,28,0,0,0,-7,21,2.2,20,41,4.4,0.515,0.515,5,-0.9,41,$15000.00,*9,AS
1934,31,PIT,NL,146,677,49,-1,0,-2,-7,39,3.8,19,59,5.8,0.526,0.524,6.0,-0.9,60,$13500.00,*9,ASMVP-2
1935,32,PIT,NL,139,623,25,0,0,3,-6,22,2.2,19,41,4.1,0.516,0.513,3.8,-0.3,38,,*9,ASMVP-24
1936,33,PIT,NL,148,665,50,-1,0,6,-7,48,4.7,21,69,6.9,0.532,0.529,6.3,-0,63,$14000.00,*9,MVP-5
1937,34,PIT,NL,154,690,31,0,0,0,-7,24,2.3,21,45,4.6,0.516,0.515,4.6,-0.8,45,,*9/3,ASMVP-8
1938,35,PIT,NL,148,680,-3,0,0,2,-7,-8,-1.1,21,13,1.2,0.49,0.495,1.1,-0.6,11,$16500.00,*9/8,
1939,36,PIT,NL,125,507,13,1,0,-3,-5,6,0.5,16,23,2.3,0.505,0.504,2.7,-0.9,25,,*9,
1940,37,PIT,NL,89,261,1,0,0,-4,-2,-5,-1,9,4,0.4,0.494,0.5,0.8,-1,8,,9/3,
1941,38,BRO,NL,11,44,-2,0,0,0,0,-3,-0.3,2,-1,-0.2,0.473,0.498,-0.2,-0,-1,,/9,
1941,38,BSN,NL,95,341,7,0,0,-2,-4,1,0.0,12,13,1.3,0.501,0.501,1.5,-0.7,15,,97/38,
1942,39,BSN,NL,114,404,6,0,0,-3,-4,-1,-0.2,13,12,1.2,0.499,0.499,1.6,-1,15,,9,
1943,40,BRO,NL,82,267,10,0,0,0,-3,8,0.9,9,16,1.7,0.511,0.505,1.8,-0.3,16,,9/7,
1944,41,BRO,NL,83,164,4,0,0,-2,-1,0,0.0,5,5,0.5,0.50,0.500,0.8,-0.4,7,$3000.00,9/7,
1944,41,NYY,AL,9,9,0,0,0,0,0,0,0.0,0,0,0.0,0.50,0.500,0.0,0.0,0,,,
1945,42,NYY,AL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.530,0.500,0.0,0,0,,,
20 Seasons,20 Seasons,20 Seasons,,2549,10766,496,-5,0,23,-109,404,38.7,327,732,72.8,0.516,0.514,71.3,-10,709,$75750.00,,
PIT (15 yrs),PIT (15 yrs),PIT (15 yrs),,2154,9536,472,-6,0,30,-97,399,38.2,287,687,68.3,0.518,0.517,65.9,-7,656,$72750.00,,
BRO (3 yrs),BRO (3 yrs),BRO (3 yrs),,176,475,11,0,0,-2,-5,5,0.6,15,21,2.1,0.503,0.503,2.4,-0.7,23,$3000.00,,
NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),,10,10,0,0,0,0,0,0,0.0,0,0,0.0,0.500,0.500,0.0,0.0,0,,,
BSN (2 yrs),BSN (2 yrs),BSN (2 yrs),,209,745,13,0,0,-5,-8,0,-0.1,25,25,2.4,0.500,0.500,3.1,-1.6,30,,,
