Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1940,21,BRO,NL,84,361,0,1,0,1,6,7,0.7,12,19,2.0,0.509,0.505,1.9,0.7,18,,6,MVP-26
1941,22,BRO,NL,152,674,-24,-1,0,13,10,-2,-0.3,22,21,2.0,0.499,0.499,0.6,2.5,8,,*6,
1942,23,BRO,NL,151,656,0,0,0,21,10,31,3.5,21,52,5.7,0.52,0.522,3.3,3.6,31,,*6,ASMVP-25
,,,,,,,,,,,,,,,,,,,,,,,
1946,27,BRO,NL,152,644,13,-1,0,9,10,31,3.5,24,55,6,0.523,0.522,5.0,2.2,46,,*6,ASMVP-6
1947,28,BRO,NL,142,589,18,-1,0,11,10,38,3.9,23,61,6.2,0.527,0.524,5,2.1,50,$12500.00,*6,ASMVP-8
1948,29,BRO,NL,151,655,2,6,-1,6,10,22,2,25,48,4.9,0.515,0.514,4.3,1.7,42,,*6,ASMVP-6
1949,30,BRO,NL,155,742,16,3,1,12,10,44,4.3,26,70,7.0,0.529,0.527,6,2.3,58,,*6,ASMVP-5
1950,31,BRO,NL,141,633,-1,3,2,5,9,18,1.7,23,41,4.0,0.513,0.511,3.7,1.4,36,$35000.00,*6/5,ASMVP-24
1951,32,BRO,NL,154,711,6,4,0,5,10,24,2.4,25,49,5.0,0.516,0.516,4.6,1.5,44,,*6,ASMVP-15
1952,33,BRO,NL,149,660,4,9,-1,3,9,24,2.6,24,48,5.0,0.518,0.516,4.8,1,45,,*6,ASMVP-8
1953,34,BRO,NL,140,625,7,8,1,7,8,30,2.8,23,53,5,0.521,0.518,4.6,1.4,46,$33500.00,*6,ASMVP-11
1954,35,BRO,NL,141,661,20,5,-1,6,9,39,3.8,23,62,6.0,0.528,0.52,5.6,1.5,55,,*6,ASMVP-9
1955,36,BRO,NL,145,652,4,4,-3,7,9,21,1.8,23,44,4.2,0.515,0.513,3.7,1.4,37,,*6,MVP-9
1956,37,BRO,NL,147,648,-12,4,1,5,8,6,0.2,23,29,2.6,0.504,0.504,2.6,1.2,24,,*65,MVP-8
1957,38,BRO,NL,103,378,-22,0,1,11,2,-8,-1,14,7,0.5,0.492,0.495,-0.6,1.4,-5,$35000.00,56,
1958,39,LAD,NL,59,181,0,-1,0,-5,2,-4,-1,7,3,0,0.493,0.497,0.8,-0.4,8,$30000.00,65,
16 Seasons,16 Seasons,16 Seasons,,2166,9470,31,43,-1,117,132,322,31.6,340,662,66.3,0.516,0.514,55.7,25.6,545,$146000.00,,
