Year,Age,Tm,Lg,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
1964,25,MLN,NL,15,10,0,10,6,4,-0,-0,99.9,4,-4,-0.4,0.350,0.100,-0.1,-2.0,0,$0.50,,
1965,26,MLN,NL,74,41,1,32,4,4,0,-0,100.8,4,-2,-0.2,0.880,-0.100,0.5,5.0,0,$0.50,,
1966,27,ATL,NL,50,28,0,32,6,4,-0,-0,101.6,4,-10,-1.1,1.06,-0.100,-0.7,-5.0,0,$0.49,,
1967,28,ATL,NL,207,46,20,64,3,4,-0,0,99.0,4,24,2.9,1.400,-0.1,4.9,44.0,1,$0.52,,
1968,29,ATL,NL,256,37,34,83,3,3,0,0,101.3,4,13,2,1.500,-0.100,4.0,35.0,1,$0.51,,
1969,30,ATL,NL,284,40,35,93,3,4,0,0,101.4,4,29,3.5,2.040,-0.100,6,56.0,1,$0.52,,ASCYA-2MVP-9
1970,31,ATL,NL,229,34,32,124,5,5,-0,0,105,5,1,0.1,2.700,-0.100,2.2,26.0,1,$0.50,,
1971,32,ATL,NL,268,42,36,112,4,4,-0,0,106.4,5,22,2.7,2.490,-0.100,5,47.0,1,$0.52,,
1972,33,ATL,NL,282,38,36,112,4,4,-0,0,106.2,5,26,3.1,1.630,-0.200,5.4,51.0,1,$0.52,,
1973,34,ATL,NL,245,42,30,103,4,4,-0,0,106.2,5,20,2.3,1.190,-0.100,4.4,40.0,1,$0.51,,
1974,35,ATL,NL,302,41,39,91,3,4,0,0,102.7,4,45,5.4,1.920,-0.100,7.9,71,1,$0.53,,CYA-3
1975,36,ATL,NL,275,39,37,115,4,4,-1,0,102.8,5,37,4,2.760,-0.100,6.8,62.0,1,$0.53,,AS
1976,37,ATL,NL,270,38,37,116,4,4,-1,0,106.1,5,36,4.4,4.330,-0.10,6.7,59.0,1,$0.53,,
1977,38,ATL,NL,330,44,43,166,5,4,-1,0,111.9,6,54,6.3,3.260,-0.200,8.9,85.0,1,$0.54,,
1978,39,ATL,NL,334,44,42,129,3,4,-0,0,111.4,5,57,7.2,2.250,-0.100,10.0,87.0,1,$0.54,,ASCYA-6MVP-17GG
1979,40,ATL,NL,342,44,44,160,4,4,-1,0,108,5,39,4.6,,-0.100,7,70.0,1,$0.53,,CYA-6MVP-20GG
1980,41,ATL,NL,275,40,38,119,4,4,0,0,102.3,4,9,1.0,2.200,-0.100,3.4,32.0,1,$0.51,$1042667.00,GG
1981,42,ATL,NL,139,22,22,56,4,4,-0,0,100.1,4,4,0.5,,-0.100,1.7,17.0,1,$0.50,1325367,
1982,43,ATL,NL,234,35,35,106,4,4,-0,0,102.7,5,9,1.1,,-0.100,3.1,32.0,1,$0.51,$1259166.00,ASCYA-5GG
1983,44,ATL,NL,201,34,33,94,4,4,-0,0,106.8,5,8,0.9,0.810,-0.100,2.7,26,1,$0.51,$800000.00,GG
1984,45,NYY,AL,215.2,32,31,85,3.55,4.36,-0.24,0.14,95.8,4.55,25,2.8,0.32,-0.1,4.6,44,0.586,0.517,$550000.00,AS
1985,46,NYY,AL,220,33,33,110,4.5,4.51,0.16,0.16,98,4.42,-2,-0.2,,-0.1,1.8,19,0.495,0.499,$600000.00,
1986,47,CLE,AL,210.1,34,32,126,5.39,4.62,-0.29,0.15,99.3,5.02,-9,-0.9,2.08,-0.1,1,12,0.473,0.494,$300000.00,
1987,48,CLE,AL,123.2,22,22,83,6.04,4.95,-0.32,0.17,102,5.55,-7,-0.6,,-0.1,0.4,6,0.471,0.496,,
1987,48,TOR,AL,12,3,3,11,8.25,4.75,0.33,0.17,98.7,4.53,-5,-0.4,,0,-0.3,-4,0.359,0.497,$93400.00,
1987,48,ATL,NL,3,1,1,5,15,5.02,-0.37,0.19,112,6.25,-3,-0.2,,0,-0.2,-3,0.266,0.499,,
24 Seasons,24 Seasons,24 Seasons,,5404,864,716,2337,3.89,4.18,-0.18,0.1,104.1,4.65,418,50.8,1.27,-2.6,97.2,913,0.559,0.515,$5970600.00,
ATL (21 yrs),ATL (21 yrs),ATL (21 yrs),,4622.1,740,595,1922,3.74,4.11,-0.19,0.1,105,4.63,416,50.2,1.27,-2.2,89.8,836,0.568,0.518,$4427200.00,
CLE (2 yrs),CLE (2 yrs),CLE (2 yrs),,334,56,54,209,5.63,4.74,-0.3,0.16,100.3,5.22,-16,-1.6,2.08,-0.2,1.4,18,0.472,0.495,$300000.00,
NYY (2 yrs),NYY (2 yrs),NYY (2 yrs),,435.2,65,64,195,4.03,4.44,-0.04,0.15,96.9,4.48,23,2.6,0.32,-0.2,6.4,63,0.54,0.508,$1150000.00,
TOR (1 yr),TOR (1 yr),TOR (1 yr),,12,3,3,11,8.25,4.75,0.33,0.17,98.7,4.53,-5,-0.4,,0,-0.3,-4,0.359,0.497,$93400.00,
