Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1941,23,NYY,AL,133,548,-3,1,0,20,9,27,2.7,19,46,4.5,0.520,0.517,2.5,2.9,26,$5000.00,*6,MVP-20
1942,24,NYY,AL,144,613,3,3,0,21,10,36,3.9,18,54,5.7,0.527,0.524,3.4,3.4,33,$7500.00,*6,ASMVP-19
,,,,,,,,,,,,,,,,,,,,,,,
1946,28,NYY,AL,126,520,-15,1,0,8,8,3,0.3,16,19,1.8,0.502,0.5,1.0,1.8,10,,*6,
1947,29,NYY,AL,153,623,1,1,0,9,10,21,2.2,18,39,4,0.515,0.514,3.1,2.0,30,,*6,
1948,30,NYY,AL,128,539,-12,3,1,1,9,2,0.2,16,17,1.7,0.501,0.501,2,1.0,16,,*6,MVP-33
1949,31,NYY,AL,153,712,-9,2,-2,9,10,10,1,19,29,2.9,0.507,0.506,2.0,1.9,20,,*6,MVP-2
1950,32,NYY,AL,155,735,27,0,1,11,10,50,4.7,21,71,6.7,0.530,0.529,6,2.1,60,$32000.00,*6,ASMVP-1
1951,33,NYY,AL,144,630,-3,1,0,10,9,17,1.7,19,37,3.6,0.512,0.511,2.5,2.0,27,$65000.00,*6,ASMVP-11
1952,34,NYY,AL,152,673,-3,3,1,19,10,30,3.3,20,51,5.3,0.522,0.521,3.2,3.2,32,,*6,ASMVP-14
1953,35,NYY,AL,134,506,7,-2,0,9,8,22,2.3,16,38,3.9,0.517,0.514,2.9,2,29,,*6,ASMVP-6
1954,36,NYY,AL,127,373,-19,1,-1,3,6,-10,-1.2,11,1,0,0.491,0.493,-0.2,0.9,-1,$40000.00,*6/4,
1955,37,NYY,AL,81,181,-1,3,0,-3,3,1,0.1,6,7,0.7,0.502,0.50,1.0,0.0,10,$38000.00,6/4,
1956,38,NYY,AL,31,66,-3,0,0,-1,1,-3,-0.3,2,-1,-0.1,0.491,0.498,0.0,0.0,0,$30000.00,6,
13 Seasons,13 Seasons,13 Seasons,,1661,6719,-30,16,1,116,103,205,21.0,200,406,40.8,0.513,0.512,28.5,22.9,290,$217500.00,,
