Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1920,21,PIT,NL,17,57,-2,-1,0,-4,1,-6,-0.7,2,-5,-0.5,0.458,0.496,-0.1,-0.4,-1,,6,
1921,22,PIT,NL,7,20,-1,0,0,0,0,-1,-0.1,1,-1,-0.1,0.484,0.499,-0.1,0.0,0,,/56,
1922,23,PIT,NL,142,616,-19,4,0,-14,5,-24,-2.3,19,-5,-0.4,0.48,0.486,0.9,-0.8,9,,*56,
1923,24,PIT,NL,153,661,22,2,0,-3,5,26,2.5,20,46,4.5,0.516,0.5,4.8,0.2,49,,*5/6,
1924,25,PIT,NL,142,596,0,-1,0,4,5,8,0.7,18,26,3,0.505,0.505,2.3,0.8,22,,*5,
1925,26,PIT,NL,150,658,9,0,0,4,5,18,1.6,20,38,3.7,0.511,0.511,3,0.8,34,,*5/6,MVP-8
1926,27,PIT,NL,152,639,8,-1,0,-2,5,11,1,20,31,3.0,0.507,0.507,3.3,0.3,33,,*5/6,MVP-13
1927,28,PIT,NL,149,633,11,-1,0,4,5,20,1.9,20,39,3.9,0.513,0.512,4,0.9,35,,*5/6,MVP-7
1928,29,PIT,NL,144,640,11,-1,0,1,4,16,1.5,19,35,3.5,0.511,0.510,3.5,0.5,34,,*5,MVP-6
1929,30,PIT,NL,130,596,11,-1,0,-2,3,12,1.1,18,30,2.8,0.508,0.507,3.1,0.1,32,,*5,MVP-7
1930,31,PIT,NL,130,572,25,-1,0,1,3,28,2.4,18,46,4.2,0.519,0.515,4.1,0,45,,*5,
1931,32,PIT,NL,155,677,8,-1,0,-6,4,5,0.4,21,26,2.6,0.504,0.503,3.3,-0.3,32,$14000.00,*5,MVP-13
1932,33,PIT,NL,135,556,15,-1,0,-5,3,12,1.1,17,29,2.9,0.51,0.507,3.5,-0.3,34,$13000.00,*5,MVP-8
1933,34,PIT,NL,154,676,4,0,0,1,3,7,0.7,20,27,2.9,0.505,0.505,2.9,0.4,26,$13000.00,*5,ASMVP-8
1934,35,PIT,NL,119,468,-1,0,0,-8,2,-7,-1,14,7,0.7,0.494,0.5,1.5,-1,15,,*5,AS
1935,36,PIT,NL,57,220,-5,0,0,-3,1,-7,-0.7,7,0,0.0,0.488,0.496,0.3,-0,3,$16500.00,5/3,
,,,,,,,,,,,,,,,,,,,,,,,
1937,38,PIT,NL,5,12,-2,0,0,0,0,-2,-0.2,0,-1,-0.1,0.466,0.499,-0.1,0,-1,,/5,
17 Seasons,17 Seasons,17 Seasons,,1941,8297,93,-1,0,-32,55,115,10.2,253,369,36.3,0.506,0.506,40.1,2.1,401,$56500.00,,
