Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1912,20,BSN,NL,26,102,-7,0,0,-1,2,-6,-0.6,3,-3,-0.3,0.476,0.496,-0.2,0.1,-2,$1200.00,6,
1913,21,BSN,NL,143,659,-11,0,0,0,10,-1,-0.1,19,18,1.8,0.499,0.499,1.8,1.1,18,$1800.00,*6,MVP-3
1914,22,BSN,NL,156,663,-11,0,0,26,11,26,2.9,20,46,5.0,0.52,0.519,2.1,4.2,20,$3500.00,*6,MVP-2
1915,23,BSN,NL,149,578,-4,1,0,9,10,16,1.8,18,33,3.7,0.513,0.5,2.8,2.2,24,$6000.00,*6,
1916,24,BSN,NL,155,680,-2,3,0,15,10,26,3.2,20,45,5,0.521,0.520,3.4,3.2,30,,*6,
1917,25,BSN,NL,142,613,7,1,0,5,10,22,2.7,18,40,4.5,0.519,0.517,4,1.8,35,,*6,
1918,26,BSN,NL,11,42,2,0,0,-2,1,0,0,1,2,0.2,0.503,0.500,0.4,-0.2,4,,6,
1919,27,BSN,NL,131,529,9,-1,0,5,9,22,2.5,16,38,4.2,0.520,0.516,4,1.6,33,,*6,
1920,28,BSN,NL,134,534,-1,0,0,2,9,10,1.1,16,27,2.9,0.509,0.507,2.7,1.2,25,,*6,
1921,29,PIT,NL,153,686,-7,3,0,16,10,21,2.1,20,42,4.2,0.514,0.514,2.7,2.6,26,,*6,
1922,30,PIT,NL,155,746,-10,1,0,-7,10,-6,-0.6,21,14,1.5,0.496,0.496,2.2,0,21,,*64,
1923,31,PIT,NL,141,633,-19,0,0,14,9,4,0.4,19,23,2.3,0.503,0.502,0.9,2.3,9,,*6,
1924,32,PIT,NL,152,639,-14,0,0,24,5,15,1.5,20,35,3.5,0.51,0.510,1.1,2.9,11,,*4,MVP-7
1925,33,CHC,NL,75,305,-19,0,0,5,5,-9,-0.9,9,0,0.0,0.488,0.494,-0.4,0.9,-5,,6,
1926,34,BRO,NL,78,266,-10,0,0,1,5,-4,-1,8,4,0.4,0.495,0.5,0.3,1,3,,64,
1927,35,STL,NL,9,31,-2,0,0,1,1,-1,-0.1,1,1,0.1,0.494,0.5,-0.1,0.2,-1,,/6,
1928,36,STL,NL,112,413,-17,0,0,10,7,-1,-0.1,13,12,1.2,0.5,0.5,0.2,1.7,2,,*6/4,MVP-10
1929,37,BSN,NL,146,633,-16,-1,0,13,10,6,0.5,20,26,2.5,0.504,0.503,1.4,2.1,13,,*6/4,MVP-15
1930,38,BSN,NL,142,628,-21,-1,0,3,9,-9,-0.9,19,10,1.1,0.494,0.495,0.9,1.1,7,,*6/5,
1931,39,BSN,NL,145,636,-15,-1,0,-2,10,-9,-1,19,11,1,0.494,0.494,1.3,0.7,12,,*64,MVP-10
1932,40,BSN,NL,149,635,-29,0,0,2,5,-22,-2.4,20,-3,-0.3,0.484,0.486,-0.5,0.7,-5,,*4,MVP-17
1933,41,BSN,NL,143,533,-22,0,0,-6,4,-23,-2.8,16,-7,-1,0.481,0.484,-0.2,-0.2,-1,,*4,MVP-12
,,,,,,,,,,,,,,,,,,,,,,,
1935,43,BSN,NL,23,71,-8,0,0,-3,1,-11,-1.1,2,-9,-0.9,0.453,0.493,-0.6,-0.2,-6,,4,
23 Seasons,23 Seasons,23 Seasons,,2670,11255,-229,4,0,130,161,66,7.6,339,405,42.9,0.503,0.504,29.8,30.8,275,$12500.00,,
BSN (15 yrs),BSN (15 yrs),BSN (15 yrs),,1795,7536,-130,2,0,66,109,47,5.9,228,275,29.7,0.504,0.504,22.9,19.3,209,$12500.00,,
PIT (4 yrs),PIT (4 yrs),PIT (4 yrs),,601,2704,-51,3,0,47,35,34,3.4,79,113,11.5,0.506,0.506,6.9,8.2,66,,,
STL (2 yrs),STL (2 yrs),STL (2 yrs),,121,444,-19,0,0,11,8,-1,-0.2,14,13,1.2,0.499,0.5,0.2,1.8,2,,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,78,266,-10,0,0,1,5,-4,-0.5,8,4,0.4,0.495,0.497,0.3,0.6,3,,,
CHC (1 yr),CHC (1 yr),CHC (1 yr),,75,305,-19,0,0,5,5,-9,-0.9,9,0,0,0.488,0.494,-0.4,0.9,-5,,,
