Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1946,23,PIT,NL,144,579,9,0,0,-1,-3,5,0.5,22,27,2.8,0.504,0.503,2.9,-0.5,28,$5000.00,*87,MVP-30
1947,24,PIT,NL,152,666,58,0,0,6,-7,58,5.8,26,83,8.3,0.538,0.535,7.7,-0.1,77,$15000.00,*7,MVP-6
1948,25,PIT,NL,156,670,37,-2,-1,6,-7,33,3.4,26,60,6.1,0.52,0.521,5.5,-0.1,54,$35000.00,*7,ASMVP-7
1949,26,PIT,NL,152,667,68,-1,0,-4,-7,57,5.5,26,83,8.1,0.537,0.5,8.6,-1.1,86,$50000.00,*7,ASMVP-4
1950,27,PIT,NL,150,672,46,1,-1,-7,-7,33,3.1,24,57,6,0.522,0.520,6.4,-1.5,64,$65000.00,*7,ASMVP-5
1951,28,PIT,NL,151,670,68,1,0,-6,-7,57,5.6,24,81,8.1,0.538,0.535,9,-1.4,87,$65000.00,73,ASMVP-10
1952,29,PIT,NL,149,633,31,0,1,-5,-7,19,2,24,43,4.5,0.514,0.513,5.1,-1.3,48,$90000.00,*7,ASMVP-23
1953,30,PIT,NL,41,175,5,0,1,2,-2,6,0.5,7,12,1.2,0.514,0.503,1,0.0,10,$75000.00,7,AS
1953,30,CHC,NL,117,491,21,0,-1,-15,-5,-1,-0.2,18,18,1.6,0.500,0.500,3.2,-2.0,33,,*7,AS
1954,31,CHC,NL,147,643,18,2,-3,-4,-6,7,0.6,24,31,2.9,0.505,0.504,3.5,-1.2,35,$65000.00,*7,
1955,32,CLE,AL,113,390,7,-1,-1,-12,-3,-11,-1.1,12,1,0.2,0.490,0.493,1.4,-2,13,$50000.00,7,
10 Seasons,10 Seasons,10 Seasons,,1472,6256,370,0,-5,-40,-62,263,25.7,233,496,49,0.518,0.517,54.4,-10.7,536,$515000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
PIT (8 yrs),PIT (8 yrs),PIT (8 yrs),,1095,4732,323,0,0,-9,-47,267,26.4,179,446,44.7,0.525,0.523,46.3,-6.0,455,$400000.00,,
CHC (2 yrs),CHC (2 yrs),CHC (2 yrs),,264,1134,39,1,-4,-19,-11,6,0.4,42,49,4.6,0.502,0.502,6.7,-3.2,68,$65000.00,,
CLE (1 yr),CLE (1 yr),CLE (1 yr),,113,390,7,-1,-1,-12,-3,-11,-1,12,1,0.2,0.490,0.493,1.4,-1.6,13,$50000.00,,
