Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1912,19,CHW,AL,23,74,0,1,0,-1,1,1,0.1,3,4,0.4,0.506,0.501,0.5,0.0,5,,2,
1913,20,CHW,AL,129,447,-10,-1,0,4,8,1,0.1,17,18,1.9,0.501,0.501,1.5,1.3,14,,*2,MVP-20
1914,21,CHW,AL,136,460,2,3,0,4,8,16,1.8,17,34,3.7,0.51,0.512,3.4,1.3,29,,*2,MVP-6
1915,22,CHW,AL,135,499,5,-3,0,4,8,15,1.7,19,34,3.6,0.513,0.5,3.2,1.4,30,,*2,
1916,23,CHW,AL,129,474,-7,2,0,6,8,9,1.1,18,27,3,0.509,0.507,2.3,1.7,21,,*2,
1917,24,CHW,AL,140,509,-3,0,0,4,8,8,1.0,19,27,3.0,0.507,0.506,3,1.4,23,,*2,
1918,25,CHW,AL,108,387,-12,0,0,2,5,-5,-1,15,10,1.0,0.495,0.497,0.8,0.9,8,,*2,
1919,26,CHW,AL,131,464,-1,-1,0,2,6,6,0.7,17,23,2.5,0.505,0.504,2,1.0,21,,*2,
1920,27,CHW,AL,151,577,-4,2,0,5,7,10,1.0,22,32,3.1,0.507,0.506,2.6,1.2,27,$10000.00,*2,
1921,28,CHW,AL,128,473,-18,0,0,4,5,-9,-0.9,18,9,0.9,0.493,0.494,0.4,0.9,4,$10000.00,*2,
1922,29,CHW,AL,142,538,1,2,0,5,5,13,1.2,20,33,3.3,0.509,0.508,2.8,1,28,$10000.00,*2,MVP-3
1923,30,CHW,AL,123,444,-24,1,0,5,4,-14,-1.5,17,2,0.2,0.488,0.491,-0.3,0.8,-3,$15000.00,*2,
1924,31,CHW,AL,57,183,-11,-2,0,0,2,-12,-1.1,7,-5,-0.4,0.48,0.493,-0.4,0.2,-5,$15000.00,2,
1925,32,CHW,AL,125,416,-4,1,0,2,4,3,0.3,16,19,1.9,0.502,0.502,1.7,0.5,17,$15000.00,*2,MVP-12
1926,33,CHW,AL,82,261,-6,1,0,0,2,-3,-0,10,7,0.7,0.496,0.5,0.7,0,7,$15000.00,2,
1927,34,CHW,AL,16,30,-2,0,0,0,0,-2,-0.2,1,0,0.0,0.491,0.5,0.0,0.0,0,$15000.00,2,
1928,35,CHW,AL,2,2,1,0,0,0,0,1,0.1,0,1,0.1,0.6,0.5,0.1,0.0,1,$25000.00,/2,
1929,36,NYG,NL,5,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.488,0.500,-0.1,0.0,-1,,/2,
18 Seasons,18 Seasons,18 Seasons,,1762,6240,-94,6,0,46,80,38,4.5,235,274,28.6,0.503,0.503,23.8,13.7,227,$130000.00,,
CHW (17 yrs),CHW (17 yrs),CHW (17 yrs),,1757,6238,-93,6,0,46,80,39,4.5,235,274,28.6,0.503,0.503,23.9,13.7,228,$130000.00,,
NYG (1 yr),NYG (1 yr),NYG (1 yr),,5,2,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.488,0.5,-0.1,0,-1,,,
