Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1981,21,PHI,NL,13,6,-1,0,0,-1,0,-1,-0.2,0,-1,-0.1,0.489,0.499,-0.1,-0.1,-1,,/64,
1982,22,CHC,NL,156,687,-9,4,2,6,3,7,0.9,23,30,3.1,0.505,0.505,2.3,1.1,24,,*54,RoY-6
1983,23,CHC,NL,158,699,-9,4,1,13,6,14,1.4,23,37,3.7,0.51,0.510,2.3,2.0,24,,*4/6,GG
1984,24,CHC,NL,156,700,39,0,1,12,6,58,6.3,22,80,8.6,0.541,0.5,7.1,2.0,68,,*4,ASMVP-1GGSS
1985,25,CHC,NL,153,673,24,6,2,-4,6,33,3.5,22,55,6,0.523,0.522,6.2,0.2,59,$505000.00,*4/6,ASMVP-13GGSS
1986,26,CHC,NL,154,682,1,1,1,3,6,12,1.2,22,34,3.5,0.509,0.508,3,0.9,31,$665000.00,*4,ASGG
1987,27,CHC,NL,132,587,11,3,-1,-13,5,5,1,19,24,2.4,0.504,0.503,3.7,-0.9,37,$760000.00,*4,ASGG
1988,28,CHC,NL,155,679,8,1,-1,8,5,21,2.4,22,44,4.7,0.516,0.515,4,1.5,36,$840000.00,*4,ASGGSS
1989,29,CHC,NL,157,672,31,1,2,-2,5,37,4.0,21,59,6.1,0.527,0.526,6.3,0.3,60,$950000.00,*4,ASMVP-4GGSS
1990,30,CHC,NL,155,675,38,4,1,0,4,47,5.1,21,68,7.1,0.532,0.531,6.8,0.6,68,$1550000.00,*4,ASMVP-4GGSS
1991,31,CHC,NL,158,684,33,3,1,6,5,46,4.9,21,68,7.0,0.532,0.531,6.3,1,62,,*4,ASMVP-17GGSS
1992,32,CHC,NL,158,687,36,1,1,9,4,52,5.8,20,72,8,0.537,0.536,6.7,1.5,63,$2150000.00,*4,ASMVP-12SS
1993,33,CHC,NL,117,503,10,5,0,-1,3,18,1.9,15,33,3.4,0.516,0.51,3.3,0.3,34,$5975000.00,*4,AS
1994,34,CHC,NL,57,247,-5,-1,0,6,2,2,0.2,8,10,0.9,0.504,0.501,0.3,0.8,3,$5975000.00,4,
,,,,,,,,,,,,,,,,,,,,,,,
1996,36,CHC,NL,150,621,-4,1,1,15,4,17,1.3,19,36,3.2,0.511,0.510,1.9,1.7,21,$2300000.00,*4,
1997,37,CHC,NL,135,480,-12,1,1,3,3,-5,-0.6,15,10,0.8,0.497,0.497,0.6,1,7,$3250000.00,*4/D,
16 Seasons,16 Seasons,16 Seasons,,2164,9282,192,33,11,60,66,362,39,295,657,68.0,0.518,0.517,60.4,14,597,$24920000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CHC (15 yrs),CHC (15 yrs),CHC (15 yrs),,2151,9276,193,33,11,61,66,363,39,295,658,68.1,0.519,0.518,60.5,13.6,597,$24920000.00,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,13,6,-1,0,0,-1,0,-1,-0.2,0,-1,-0.1,0.49,0.499,-0,-0.1,-1,,,
