Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1945,22,STL,NL,137,597,-17,3,0,6,-5,-13,-1.4,19,6,0.5,0.490,0.491,-0.1,0.2,0,$4800.00,*76/4,
1946,23,STL,NL,142,650,-11,0,0,4,6,-1,-0.2,23,22,2.2,0.499,0.499,1.7,1.2,18,$5500.00,*45/6,ASMVP-26
1947,24,STL,NL,151,711,-31,0,0,4,7,-21,-2.1,26,5,0.4,0.49,0.487,0.0,1.2,1,$9000.00,*4/57,
1948,25,STL,NL,119,438,-10,1,0,2,5,-2,-0.3,17,15,1.5,0.498,0.5,1.4,0.7,13,$12000.00,4,AS
1949,26,STL,NL,151,702,-9,0,0,9,7,8,0.7,26,34,3,0.506,0.505,2.5,1.7,25,$16000.00,*46/58,ASMVP-10
1950,27,STL,NL,153,693,-15,2,1,0,7,-5,-0.7,25,20,1.8,0.496,0.497,2,0.7,20,$20000.00,*46/5,AS
1951,28,STL,NL,135,602,-1,1,-1,8,6,13,1,22,35,3.5,0.510,0.509,2.9,1.4,27,$23500.00,*4/6,AS
1952,29,STL,NL,152,673,11,2,0,8,7,27,2.8,24,51,5.3,0.519,0.518,5,1.6,43,$27000.00,*45/6,ASMVP-10
1953,30,STL,NL,146,627,31,2,-2,6,6,43,4.1,24,67,6.4,0.529,0.526,6.0,1.1,61,$31000.00,*4,ASMVP-4
1954,31,STL,NL,148,679,6,2,0,11,6,24,2.3,24,48,4.7,0.517,0.515,3.7,1.7,37,$45000.00,*4,ASMVP-13
1955,32,STL,NL,145,615,-8,-1,0,11,5,7,0.4,23,30,2.8,0.505,0.505,1.9,2,19,$45000.00,*4,AS
1956,33,STL,NL,40,168,0,0,0,-3,1,-1,-0.2,6,5,0,0.497,0.499,0.9,-0.2,8,$42000.00,4,
1956,33,NYG,NL,92,368,-2,-1,-1,5,3,4,0.2,14,18,1.7,0.505,0.50,1.4,0.7,13,,4,
1957,34,NYG,NL,57,269,6,0,1,1,2,9,0.9,9,18,1.8,0.517,0.506,1.8,0.2,18,$42000.00,4,ASMVP-3
1957,34,MLN,NL,93,426,11,2,0,8,3,24,2.4,15,39,3.9,0.527,0.516,3.3,1.1,32,,4/8,ASMVP-3
1958,35,MLN,NL,106,465,-13,1,0,9,4,1,0,17,18,1.7,0.501,0.500,0.8,1.3,8,$46000.00,*4,
1959,36,MLN,NL,5,3,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,0.461,0.499,-0,-0.1,-1,$40000.00,/4,
1960,37,MLN,NL,68,246,-5,1,0,-4,2,-6,-0.7,9,3,0,0.490,0.496,0.7,-0.2,7,$37500.00,4,
1961,38,STL,NL,72,133,-2,1,1,-3,1,-3,-0.3,5,3,0.2,0.50,0.50,0.5,-0,5,$30000.00,4,
1962,39,STL,NL,98,153,-3,1,-1,-2,1,-4,-0.5,6,1,0.1,0.495,0.497,0.3,-0.1,3,$18000.00,4/5,
1963,40,STL,NL,6,6,-2,0,0,0,0,-1,-0.2,0,-1,-0.1,0.473,0.499,-0.1,0.0,-1,$15000.00,,
19 Seasons,19 Seasons,19 Seasons,,2216,9224,-65,14,-2,79,73,100,8.5,334,434,42.3,0.505,0.50,35.9,15.2,355,$509300.00,,
STL (15 yrs),STL (15 yrs),STL (15 yrs),,1795,7447,-61,11,-1,62,60,70,5.9,270,340,33.1,0.504,0.50,28.0,12.2,278,$343800.00,,
MLN (4 yrs),MLN (4 yrs),MLN (4 yrs),,272,1140,-8,4,0,12,8,17,1.5,42,58,5.7,0.506,0.504,4.7,2,46,$123500.00,,
NYG (2 yrs),NYG (2 yrs),NYG (2 yrs),,149,637,4,-1,0,6,5,13,1.1,23,36,3.5,0.509,0.504,3.2,1,31,$42000.00,,
