Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1967,21,KCA,AL,35,135,-5,0,0,-1,-2,-7,-1.0,4,-3,-0.5,0.474,0.494,-0.4,-0.3,-2,$4800.00,79/8,
1968,22,OAK,AL,154,614,24,-1,2,8,-7,26,3.0,21,47,5.2,0.521,0.520,4.4,0.0,39,$8100.00,*98/7,MVP-17
1969,23,OAK,AL,152,678,64,-1,1,8,-7,66,7.0,22,88,9.2,0.55,0.544,8.5,0.1,80,$20000.00,*98,ASMVP-5
1970,24,OAK,AL,149,514,14,-4,0,0,-5,5,0.4,18,22,2.2,0.503,0.5,2.3,-0.7,22,$47000.00,*98,
1971,25,OAK,AL,150,642,29,3,1,11,-6,38,4.2,22,59,6,0.529,0.527,5.2,0.5,48,$45000.00,*9/8,ASMVP-14
1972,26,OAK,AL,135,573,32,-1,1,0,-2,30,3.5,20,50,5.7,0.527,0.522,6,-0.4,50,$55000.00,*89,ASMVP-18
1973,27,OAK,AL,151,629,45,1,1,10,-6,51,6,23,74,7.8,0.536,0.533,6.6,0.7,63,$70000.00,*9/D8,ASMVP-1
1974,28,OAK,AL,148,604,38,1,1,-2,-7,32,3.6,22,54,5.7,0.524,0.522,6,-0.9,56,$135000.00,*9D/8,ASMVP-4
1975,29,OAK,AL,157,669,30,1,1,15,-7,40,4.4,24,64,6.7,0.527,0.526,5.1,1.0,49,$140000.00,*9/D,ASMVP-5
1976,30,BAL,AL,134,558,34,5,-1,-3,-5,29,3.3,20,49,5.3,0.524,0.520,5.7,-0.9,52,$200000.00,*98D,MVP-16
1977,31,NYY,AL,146,606,33,0,2,-6,-7,23,2.4,22,45,4.5,0.516,0.514,5.1,-1,50,$525000.00,*9D,ASMVP-8
1978,32,NYY,AL,139,581,25,-3,1,-3,-7,14,1.5,21,34,4,0.510,0.509,3.9,-1.0,37,$525000.00,9D,ASMVP-17
1979,33,NYY,AL,131,537,31,-3,-2,-5,-5,16,1.7,19,35,3.5,0.512,0.51,4.0,-0.9,40,$525000.00,*9/D,ASMVP-24
1980,34,NYY,AL,143,601,47,0,1,-13,-8,27,2.9,21,48,4.8,0.519,0.517,6.1,-2.1,61,$525000.00,9D,ASMVP-2SS
1981,35,NYY,AL,94,382,7,-1,-1,-3,-5,-3,-0.3,13,11,1.0,0.497,0.498,1.4,-0.9,13,$588000.00,9D,AS
1982,36,CAL,AL,153,621,33,-1,2,-18,-5,11,1,21,32,3.1,0.507,0.507,5.1,-2.4,50,$1103000.00,*9/D,ASMVP-6SS
1983,37,CAL,AL,116,458,-16,-2,0,-6,-7,-32,-3.3,16,-16,-1.8,0.471,0.479,-1,-1.4,-10,$975000.00,D9,AS
1984,38,CAL,AL,143,584,-8,-1,1,0,-12,-19,-2.0,20,1,-0,0.486,0.487,-0.1,-1.3,0,$975000.00,*D/9,AS
1985,39,CAL,AL,143,541,17,-3,-1,-13,-8,-7,-0.7,18,11,1.1,0.495,0.495,2.4,-2.0,24,$1058894.00,9D,
1986,40,CAL,AL,132,517,9,-1,-1,0,-11,-5,-0.4,18,13,1.2,0.496,0.497,1.3,-1.1,13,$1102946.00,*D/9,
1987,41,OAK,AL,115,374,-5,0,1,-4,-8,-16,-1.6,13,-3,-0.4,0.486,0.49,0.1,-1.2,1,,D9,
21 Seasons,21 Seasons,21 Seasons,,2820,11418,477,-10,10,-23,-137,319,35.4,396,714,74.0,0.512,0.512,77.2,-16.4,738,$8627740.00,,
OAK (10 yrs),OAK (10 yrs),OAK (10 yrs),,1346,5432,265,-1,10,46,-56,264,29.2,187,452,48.1,0.522,0.521,43.7,-1.2,406,$524900.00,,
CAL (5 yrs),CAL (5 yrs),CAL (5 yrs),,687,2721,35,-7,1,-37,-43,-52,-5.2,93,41,3.5,0.492,0.494,7.5,-8.1,78,$5214840.00,,
NYY (5 yrs),NYY (5 yrs),NYY (5 yrs),,653,2707,143,-7,2,-29,-32,77,8.1,95,172,17.2,0.512,0.51,20.3,-6.1,201,$2688000.00,,
BAL (1 yr),BAL (1 yr),BAL (1 yr),,134,558,34,5,-1,-3,-5,29,3.3,20,49,5.3,0.524,0.52,5.7,-0.9,52,$200000.00,,
