Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1948,21,PHI,NL,117,530,18,3,2,4,-1,26,2.6,20,45,4.6,0.522,0.516,4.2,0.3,41,$3900.00,*87,ASMVP-11RoY-3
1949,22,PHI,NL,154,728,-8,-1,1,6,-1,-3,-0.4,26,24,2.2,0.498,0.498,1.7,0.5,17,$10000.00,*8,MVP-23
1950,23,PHI,NL,151,670,7,1,3,4,-1,14,1.2,25,39,3.8,0.51,0.509,3.5,0.3,34,$10000.00,*8,
1951,24,PHI,NL,154,712,22,3,4,12,-1,40,4.1,25,65,6.6,0.527,0.5,5.6,1.2,53,$14000.00,*8,ASMVP-7
1952,25,PHI,NL,154,702,4,2,2,2,-1,9,0.9,25,34,3,0.506,0.506,3.3,0.1,32,$20000.00,*8,
1953,26,PHI,NL,156,702,17,1,5,19,-1,41,3.9,25,67,6.4,0.526,0.525,5,1.7,48,$17000.00,*8,ASMVP-19
1954,27,PHI,NL,153,703,24,0,4,19,-1,46,5,25,71,7.0,0.531,0.529,5.2,1.8,52,$21000.00,*8,MVP-19
1955,28,PHI,NL,140,644,35,0,2,6,-1,43,4.0,22,65,6.3,0.531,0.527,6,0.4,59,$22500.00,*8,MVP-14
1956,29,PHI,NL,154,718,16,0,2,16,-1,33,3.1,25,58,5.6,0.523,0.522,4.4,1.4,41,$27000.00,*8,MVP-30
1957,30,PHI,NL,156,729,11,-1,1,20,-1,30,3.0,25,55,5.5,0.521,0.520,3.6,2.0,35,$29000.00,*8/9,
1958,31,PHI,NL,152,725,38,3,2,4,-1,46,4.7,24,71,7.1,0.531,0.529,6.8,0,67,$30000.00,*8,ASMVP-7
1959,32,PHI,NL,153,660,-14,-1,1,-17,-1,-32,-3.4,25,-8,-1,0.478,0.479,1.0,-1.8,9,$38439.00,*8,
1960,33,CHC,NL,151,672,17,2,2,2,-4,19,2.0,24,44,4.5,0.514,0.51,4.3,-0.2,42,$35000.00,*87,
1961,34,CHC,NL,109,368,-3,0,0,-12,-1,-17,-1.8,14,-3,-0.4,0.484,0.489,0.9,-1.4,10,$32500.00,87,
1962,35,NYM,NL,135,473,15,-3,0,-8,-3,3,0.3,18,20,2.1,0.502,0.502,2.8,-1.0,28,$29000.00,89/74,AS
15 Seasons,15 Seasons,15 Seasons,,2189,9736,199,9,31,77,-18,298,29,348,646,63.9,0.514,0.513,58,5.4,569,$339339.00,,
,,,,,,,,,,,,,,,,,,,,,,,
PHI (12 yrs),PHI (12 yrs),PHI (12 yrs),,1794,8223,170,9,29,95,-10,293,28.2,292,584,57.7,0.517,0.515,49.9,8.0,489,$242839.00,,
CHC (2 yrs),CHC (2 yrs),CHC (2 yrs),,260,1040,14,2,2,-11,-5,3,0.2,38,41,4.1,0.501,0.503,5.3,-1.6,52,$67500.00,,
NYM (1 yr),NYM (1 yr),NYM (1 yr),,135,473,15,-3,0,-8,-3,3,0.3,18,20,2.1,0.502,0.502,2.8,-1,28,$29000.00,,
