Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1929,23,SLB,AL,64,181,-5,0,0,-1,2,-5,-0.5,7,2,0.2,0.493,0.497,0.3,0.0,3,$10000.00,2,
1930,24,SLB,AL,101,372,-6,-1,0,1,3,-3,-0.3,14,11,1.1,0.497,0.498,1.0,0.4,10,$10000.00,2,
1931,25,SLB,AL,117,445,10,0,0,-1,4,13,1.2,17,29,2.8,0.51,0.507,2.9,0.3,30,$10000.00,*2,
1932,26,SLB,AL,126,514,11,0,0,1,4,15,1.4,19,35,3.2,0.511,0.5,3.2,0.5,34,$9000.00,*2,MVP-13
1933,27,SLB,AL,22,85,-2,1,0,0,1,-1,-0.1,3,3,0,0.497,0.500,0.2,0.1,3,$7000.00,2,ASMVP-12
1933,27,BOS,AL,118,495,5,0,0,1,4,10,0.9,19,28,2.7,0.508,0.506,3,0.5,27,,*2,ASMVP-12
1934,28,BOS,AL,132,509,2,0,0,1,4,8,1,19,27,2.5,0.506,0.505,2.5,0.5,26,$9500.00,*2,AS
1935,29,BOS,AL,133,536,5,-2,0,0,4,7,0.6,20,27,2.5,0.505,0.504,3,0.4,27,$10000.00,*2,AS
1936,30,BOS,AL,121,480,9,0,0,2,4,15,1.3,17,32,2.8,0.510,0.508,2.7,0.5,30,$11000.00,*2,AS
1937,31,BOS,AL,18,80,2,0,0,0,1,2,0.2,3,5,0.5,0.512,0.501,0.5,0.1,5,$12000.00,2,AS
1937,31,WSH,AL,86,332,-14,0,0,0,3,-11,-1.1,12,1,0.1,0.488,0.494,0.1,0,1,,2,AS
1938,32,WSH,AL,135,495,9,1,0,1,4,15,1.4,18,33,3,0.510,0.508,2.9,0.5,32,$11000.00,*2,AS
1939,33,WSH,AL,87,323,0,0,0,-3,3,0,0.0,12,11,1.1,0.500,0.50,1.3,0.0,14,$11000.00,2,
1940,34,WSH,AL,103,376,-1,0,0,-3,3,-1,-0.1,13,12,1.2,0.499,0.499,1.4,0.1,15,$8500.00,2,
1941,35,WSH,AL,21,82,2,0,0,-1,1,2,0.2,3,4,0.4,0.508,0.501,0.5,0.0,5,$8500.00,2,
1941,35,SLB,AL,100,375,-7,0,0,2,3,-1,-0,13,12,1.1,0.499,0.499,0.9,0.5,10,,2,
1942,36,SLB,AL,99,312,-14,0,0,0,3,-12,-1,9,-3,-0,0.487,0.492,-0.4,0.3,-3,$7500.00,2,MVP-21
1943,37,SLB,AL,74,247,-4,0,0,2,2,1,0.1,7,8,0.8,0.501,0.501,0.6,0.5,6,$8000.00,2,
1944,38,WSH,AL,99,387,2,0,0,-2,3,4,0,11,15,1.5,0.504,0.503,1.8,0.1,17,$8000.00,2,AS
1945,39,WSH,AL,91,335,6,-1,0,-4,3,4,0.4,10,13,1.4,0.504,0.502,1.8,-0.2,17,$9000.00,2,MVP-23
,,,,,,,,,,,,,,,,,,,,,,,
1947,41,WSH,AL,37,115,4,0,0,1,1,6,0.6,3,9,1.0,0.517,0.504,0.9,0.2,8,,2,
18 Seasons,18 Seasons,18 Seasons,,1884,7076,13,-2,0,-3,58,66,5.9,248,314,29.8,0.503,0.502,30.4,5.5,317,$160000.00,,
WSH (8 yrs),WSH (8 yrs),WSH (8 yrs),,659,2445,7,1,0,-11,20,17,1.8,81,98,9.6,0.503,0.502,10.8,1.0,109,$56000.00,,
SLB (8 yrs),SLB (8 yrs),SLB (8 yrs),,703,2531,-16,-1,0,4,21,7,0.5,89,96,9.1,0.501,0.501,8.7,2.6,92,$61500.00,,
BOS (5 yrs),BOS (5 yrs),BOS (5 yrs),,522,2100,22,-1,0,4,17,42,3.7,78,119,11.1,0.507,0.505,10.9,1.9,115,$42500.00,,
