Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1979,20,OAK,AL,89,398,-6,-1,1,-14,-2,-22,-2.2,14,-9,-0.9,0.475,0.486,0.6,-1.6,6,,78/9,
1980,21,OAK,AL,158,722,41,9,2,18,-6,64,6.7,23,87,8.8,0.542,0.540,6.9,1.4,69,,*7/D,ASMVP-10
1981,22,OAK,AL,108,493,26,3,0,22,-4,47,5.2,16,63,6.7,0.55,0.532,4.3,2.0,41,$185000.00,*7,MVP-2GGSS
1982,23,OAK,AL,149,656,27,11,2,11,-5,45,4.7,22,67,6.7,0.531,0.5,5.7,0.5,56,$535000.00,*78/D,ASMVP-10
1983,24,OAK,AL,145,622,30,12,0,10,-5,47,4.9,21,68,7,0.533,0.530,5.9,0.6,58,$800000.00,*7/8D,ASMVP-24
1984,25,OAK,AL,142,597,34,8,0,1,-4,40,4.1,20,60,6.0,0.529,0.525,6,-0.4,59,$950000.00,*7/8,AS
1985,26,NYY,AL,143,654,47,18,0,13,1,80,8,21,101,9.9,0.556,0.549,8.6,1.5,87,$1470000.00,*8/7D,ASMVP-3SS
1986,27,NYY,AL,153,701,24,12,-1,7,1,42,4.3,22,64,6.3,0.527,0.526,6,0.8,57,$1570000.00,*87/D,AS
1987,28,NYY,AL,95,440,28,3,0,8,-3,35,3.4,14,49,4.7,0.536,0.521,4.0,0.6,41,$1670000.00,87D,AS
1988,29,NYY,AL,140,647,27,17,0,3,-5,42,4.5,20,62,6.3,0.531,0.527,6.0,-0.1,59,$1770000.00,*7/8D,ASMVP-18
1989,30,NYY,AL,65,293,9,2,1,15,-2,24,2.6,10,34,3.6,0.539,0.516,2.0,1,19,$2120000.00,7,MVP-9
1989,30,OAK,AL,85,381,23,8,-1,10,-3,36,3.9,13,49,5,0.545,0.523,4.1,0.7,40,,7/D,MVP-9
1990,31,OAK,AL,136,594,61,6,-1,16,-6,77,8.0,21,97,9.9,0.559,0.55,8.4,1.1,81,$2350000.00,*7D,ASMVP-1SS
1991,32,OAK,AL,134,578,31,5,0,-6,-5,25,2.6,21,46,4.6,0.519,0.516,5.2,-1.1,51,$3250000.00,*7D,AS
1992,33,OAK,AL,117,500,33,5,0,3,-4,36,3.9,19,55,5.6,0.533,0.523,5.3,-0.1,52,$3250000.00,7/D,
1993,34,OAK,AL,90,407,41,5,0,-9,-4,33,3.2,14,48,4.5,0.535,0.520,5.6,-1.4,57,$3550000.00,7D,
1993,34,TOR,AL,44,203,-3,4,0,-2,-2,-2,-0.2,7,5,0.5,0.496,0.499,0.7,-0,7,,7,
1994,35,OAK,AL,87,376,14,3,0,10,-4,24,2.2,14,38,3.5,0.525,0.514,2.6,0.7,28,$4800000.00,7D8,
1995,36,OAK,AL,112,487,26,-2,-1,-5,-5,13,1.2,18,31,2.9,0.51,0.507,3.5,-1,36,$3800000.00,7D,
1996,37,SDP,NL,148,602,17,-2,0,-7,-5,4,0,19,22,1.9,0.503,0.502,2.8,-1.4,29,$3250000.00,*798,
1997,38,SDP,NL,88,365,11,4,-1,-5,-2,8,0.6,11,19,1.7,0.509,0.505,2.3,-0.8,24,$3045000.00,78/9D,
1997,38,ANA,AL,32,144,-5,2,0,-1,-2,-7,-0.6,5,-1,-0.1,0.48,0.496,0,-0.3,0,,D7/8,
1998,39,OAK,AL,152,670,4,6,1,-6,-5,-1,0,25,24,2.3,0.499,0.499,2.9,-1,30,$1150000.00,*78,
1999,40,NYM,NL,121,526,23,0,1,-15,-4,5,0.3,16,21,1.9,0.504,0.503,3.4,-1.9,36,$1900000.00,*7/D,
2000,41,NYM,NL,31,124,-4,0,0,-5,-1,-9,-0.9,4,-6,-0.6,0.471,0.495,-0.1,-0.6,0,$2000000.00,7,
2000,41,SEA,AL,92,395,-5,2,0,4,-3,-2,-0.1,15,13,1.3,0.498,0.499,0.9,0.1,9,$460000.00,7/D,
2001,42,SDP,NL,123,465,4,3,-1,-10,-4,-8,-0.9,14,7,0.5,0.494,0.495,1.5,-1.4,16,$300000.00,7/D,
2002,43,BOS,AL,72,222,-1,0,0,-1,-2,-4,-0.4,8,4,0.4,0.495,0.498,0.6,-0.3,6,$350000.00,7/D89,
2003,44,LAD,NL,30,84,-2,1,0,2,-1,0,0,3,3,0.2,0.5,0.5,0,0.1,1,,7,
25 Seasons,25 Seasons,25 Seasons,,3081,13346,555,144,3,65,-97,671,69,449,1120,111.2,0.522,0.518,105.2,-2.3,1055,$44525000.00,,
OAK (14 yrs),OAK (14 yrs),OAK (14 yrs),,1704,7481,387,79,3,59,-63,464,48.4,260,723,72.7,0.528,0.522,66.9,0.4,664,$24620000.00,,
NYY (5 yrs),NYY (5 yrs),NYY (5 yrs),,596,2735,134,52,0,46,-9,223,22.8,87,310,30.9,0.538,0.53,26.3,4.1,264,$8600000.00,,
SDP (3 yrs),SDP (3 yrs),SDP (3 yrs),,359,1432,32,5,-2,-22,-11,3,-0.3,44,48,4.1,0.501,0.5,6.6,-3.5,69,$6595000.00,,
NYM (2 yrs),NYM (2 yrs),NYM (2 yrs),,152,650,19,0,1,-20,-5,-5,-0.7,20,15,1.3,0.497,0.501,3.3,-2.5,36,$3900000.00,,
BOS (1 yr),BOS (1 yr),BOS (1 yr),,72,222,-1,0,0,-1,-2,-4,-0.4,8,4,0.4,0.495,0.498,0.6,-0.3,6,$350000.00,,
LAD (1 yr),LAD (1 yr),LAD (1 yr),,30,84,-2,1,0,2,-1,0,0,3,3,0.2,0.5,0.5,0,0.1,1,,,
ANA (1 yr),ANA (1 yr),ANA (1 yr),,32,144,-5,2,0,-1,-2,-7,-0.6,5,-1,-0.1,0.48,0.496,0,-0.3,0,,,
SEA (1 yr),SEA (1 yr),SEA (1 yr),,92,395,-5,2,0,4,-3,-2,-0.1,15,13,1.3,0.498,0.499,0.9,0.1,9,$460000.00,,
TOR (1 yr),TOR (1 yr),TOR (1 yr),,44,203,-3,4,0,-2,-2,-2,-0.2,7,5,0.5,0.496,0.499,0.7,-0.3,7,,,
