Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1955,20,PIT,NL,124,501,-11,-4,-1,1,-5,-19,-2.2,19,0,-0.3,0.484,0.488,-0.2,-0.6,-2,$6000.00,*98,
1956,21,PIT,NL,147,572,5,1,0,4,-6,4,0.1,22,26,2.3,0.503,0.503,2.3,-0.5,22,$7500.00,*978/45,
1957,22,PIT,NL,111,474,-18,-3,-1,24,-4,-3,-0.4,18,15,1.4,0.50,0.498,-1.1,2.0,-9,$15000.00,*98,
1958,23,PIT,NL,140,556,1,0,0,27,-6,22,2.3,21,43,4.4,0.517,0.5,1.6,2.3,16,$20000.00,*9,
1959,24,PIT,NL,105,456,-1,1,1,13,-5,10,1.0,17,26,3,0.510,0.506,1.4,0.9,14,$17500.00,*9,
1960,25,PIT,NL,144,620,18,-1,1,3,-6,15,1.6,23,39,3.9,0.512,0.510,4,-0.4,35,$17500.00,*9,ASMVP-8
1961,26,PIT,NL,146,614,43,2,1,1,-6,40,4,24,64,6.4,0.528,0.525,6.4,-0.6,64,$17500.00,*9/8,ASMVP-4GG
1962,27,PIT,NL,144,581,6,1,0,15,-6,16,1.7,22,38,3.9,0.512,0.510,2,1.0,23,$26000.00,*9,ASMVP-17GG
1963,28,PIT,NL,152,642,27,2,1,0,-6,23,2.7,24,47,5.3,0.518,0.517,5.1,-0.6,47,$26000.00,*9/8,ASMVP-14GG
1964,29,PIT,NL,155,683,35,3,2,8,-7,41,4.7,25,66,7.2,0.530,0.528,6.2,0.2,58,$26000.00,*9,ASMVP-9GG
1965,30,PIT,NL,152,642,27,3,1,17,-6,42,4.7,24,66,7.1,0.531,0.529,5.3,1,49,$34000.00,*9/8,ASMVP-8GG
1966,31,PIT,NL,154,690,36,3,2,18,-7,52,5.9,23,75,8,0.537,0.535,6.1,1.3,57,$40000.00,*9/8,ASMVP-1GG
1967,32,PIT,NL,147,632,54,5,0,4,-6,57,6.7,22,80,8.9,0.544,0.54,8.2,-0.1,75,$40000.00,*9/8,ASMVP-3GG
1968,33,PIT,NL,132,557,29,-1,1,24,-6,46,6.1,19,65,8.1,0.544,0.536,4.8,2.5,41,$45000.00,*9,GG
1969,34,PIT,NL,138,570,41,2,0,11,-6,49,5.5,19,68,7.5,0.539,0.533,6.1,0.7,57,$45000.00,*9,ASMVP-8GG
1970,35,PIT,NL,108,455,35,2,2,4,-5,38,4,16,54,5.5,0.536,0.524,4.9,0.1,49,$100000.00,9,ASMVP-12GG
1971,36,PIT,NL,132,553,30,2,0,20,-5,46,5.3,19,65,7.3,0.54,0.532,4.8,1.8,45,$125000.00,*9,ASMVP-5GG
1972,37,PIT,NL,102,413,20,4,-1,11,-4,30,3.5,13,43,4.8,0.534,0.521,3.4,1,32,$150000.00,9,ASMVP-13GG
18 Seasons,18 Seasons,18 Seasons,,2433,10211,376,21,10,205,-102,510,56.9,369,879,94.5,0.523,0.52,71.1,12.2,674,$758000.00,,
