Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1974,18,MIL,AL,107,364,-7,0,2,0,6,2,0.2,13,15,1.5,0.502,0.501,1.5,0.8,14,,6,
1975,19,MIL,AL,147,607,-6,1,1,-22,9,-17,-1.6,22,5,0.5,0.488,0.489,2.8,-1.3,27,,*6,
1976,20,MIL,AL,161,690,-20,0,0,1,11,-9,-0.9,24,16,1.5,0.49,0.494,1.5,1.4,15,,*6/,
1977,21,MIL,AL,154,663,0,4,0,-5,10,10,1.1,23,33,3.4,0.507,0.5,3.8,0.6,38,$80000.00,*6,
1978,22,MIL,AL,127,545,9,3,1,8,9,29,3.2,19,48,5,0.525,0.519,4.3,1.8,41,,*6,
1979,23,MIL,AL,149,626,-14,4,1,8,10,9,1.0,22,32,3.1,0.506,0.506,2,1.9,24,,*6,
1980,24,MIL,AL,143,647,27,6,3,6,8,50,5,21,71,7.1,0.535,0.531,6.4,1.6,64,,*6/D,ASMVP-17SS
1981,25,MIL,AL,96,411,5,1,1,19,6,32,3.6,14,46,4.9,0.538,0.522,3,2.8,27,,*6/D,MVP-17
1982,26,MIL,AL,156,704,59,8,-1,8,10,84,8.4,23,107,10.5,0.554,0.552,9.9,1.8,99,,*6/D,ASMVP-1GGSS
1983,27,MIL,AL,149,662,38,6,1,-3,9,51,5.2,22,72,7.3,0.534,0.531,7.6,0.6,75,,*6/D,ASMVP-18
1984,28,MIL,AL,160,702,24,4,-1,5,5,36,3.7,23,59,5.9,0.523,0.523,5.5,1,54,$1000000.00,*6D,
1985,29,MIL,AL,122,527,12,0,-1,-6,-3,2,0.2,18,19,2,0.501,0.501,2.6,-1.0,26,$1000000.00,78D/3,
1986,30,MIL,AL,140,595,20,5,1,-17,1,9,1.0,20,30,2.9,0.507,0.51,4.6,-1.6,47,$950000.00,*8/D3,
1987,31,MIL,AL,158,723,23,1,0,-14,1,11,1.2,23,35,3.3,0.507,0.507,4.7,-1.2,48,$1150000.00,*8/D,MVP-18
1988,32,MIL,AL,162,696,25,5,-1,2,2,33,3.6,23,56,5.7,0.521,0.521,5.5,0.5,54,$1150000.00,*8/D,MVP-11
1989,33,MIL,AL,160,690,40,3,2,-14,1,32,4,24,56,5.8,0.521,0.521,7,-1.3,71,$1150000.00,*8D,MVP-1SS
1990,34,MIL,AL,158,683,2,3,1,-7,3,2,0.2,24,26,2.5,0.501,0.501,3.5,-0.5,33,$3200000.00,*8/D,
1991,35,MIL,AL,130,571,0,0,-2,-10,1,-11,-1.0,20,9,0.9,0.492,0.493,2.0,-0.9,20,$3200000.00,*8D,
1992,36,MIL,AL,150,629,3,0,1,-12,2,-6,-0.6,24,17,1.7,0.496,0.496,3.0,-1.1,30,$3200000.00,*8D,
1993,37,MIL,AL,127,514,-8,3,-1,7,2,3,0.3,19,22,2.1,0.502,0.502,1.5,0.9,15,$2700000.00,*8/3D,
20 Seasons,20 Seasons,20 Seasons,,2856,12249,233,56,7,-48,102,351,37.4,422,773,77.3,0.513,0.511,83.1,6.8,821,$18780000.00,,
