Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1967,21,MIN,AL,137,561,8,-1,0,-1,4,10,0.9,18,28,2.8,0.508,0.507,3.2,0.1,29,$8500.00,*4,ASRoY-1
1968,22,MIN,AL,127,492,-1,1,0,-1,3,3,0.1,17,19,1.8,0.503,0.502,2.2,0.2,20,$17000.00,*4/6,AS
1969,23,MIN,AL,123,504,25,1,1,6,3,36,3.8,17,53,5.5,0.53,0.524,5.1,0.9,48,$21000.00,*4,ASMVP-10
1970,24,MIN,AL,51,204,14,-2,1,0,1,13,1.4,7,20,2.1,0.528,0.5,2.1,0.1,20,,4/3,AS
1971,25,MIN,AL,147,632,10,2,-1,-12,4,3,0.2,21,24,2,0.502,0.502,3.8,-0.9,36,,*4/5,AS
1972,26,MIN,AL,142,591,13,3,1,6,4,26,3.2,21,47,5.4,0.523,0.520,5,1.1,42,,*4,ASMVP-14
1973,27,MIN,AL,149,657,33,4,3,-1,5,44,5,23,67,7.0,0.531,0.529,7.0,0.6,68,$60000.00,*4,ASMVP-4
1974,28,MIN,AL,153,690,43,5,2,-7,5,48,5.2,23,71,7.5,0.533,0.531,8,-0.2,78,$91000.00,*4,ASMVP-7
1975,29,MIN,AL,143,617,38,7,2,4,3,54,5.8,22,76,7.9,0.540,0.535,7.5,0.8,72,$120000.00,*43/D,ASMVP-9
1976,30,MIN,AL,156,687,37,0,1,10,-8,40,4.5,24,63,6.8,0.529,0.528,5.8,0.3,54,$160000.00,*3/4,ASMVP-5
1977,31,MIN,AL,155,694,64,7,3,8,-8,73,7.5,24,97,9.7,0.547,0.545,8.9,0,89,$180000.00,*3/4D,ASMVP-1
1978,32,MIN,AL,152,651,26,7,0,-1,-8,25,2.7,23,48,5,0.518,0.517,5.1,-0.9,49,$200000.00,*3/47,ASMVP-11
1979,33,CAL,AL,110,493,18,0,2,-5,-6,10,1.1,17,27,2.6,0.509,0.51,3.1,-1.0,31,$800000.00,3/D,AS
1980,34,CAL,AL,144,612,27,-1,-1,-3,-8,13,1.5,21,34,3.4,0.510,0.509,3.8,-1.1,37,$800000.00,3D,AS
1981,35,CAL,AL,93,421,14,-1,0,8,-5,16,1.7,13,29,3.0,0.519,0.511,2.2,0.3,21,$800000.00,*3/D,AS
1982,36,CAL,AL,138,612,18,-4,3,18,-7,27,3,20,47,4.7,0.520,0.517,3.0,1.1,29,$800000.00,*3,ASMVP-26
1983,37,CAL,AL,129,536,19,0,-2,-6,-7,5,0.6,18,23,2.3,0.504,0.503,3,-1.2,29,$800000.00,3D/4,AS
1984,38,CAL,AL,93,378,1,-1,0,0,-4,-3,-0.4,13,10,1,0.496,0.498,0.9,-0.4,9,,3/D,AS
1985,39,CAL,AL,127,518,1,0,1,-9,-6,-12,-1.2,18,6,0.5,0.491,0.493,1.4,-1.5,15,$875000.00,*3,
19 Seasons,19 Seasons,19 Seasons,,2469,10550,407,26,17,14,-34,430,46.2,359,789,81.3,0.519,0.516,81.0,-1.7,776,$5732500.00,,
MIN (12 yrs),MIN (12 yrs),MIN (12 yrs),,1635,6980,309,34,13,10,9,374,40.0,239,614,63.8,0.525,0.52,63.8,2.1,604,$857500.00,,
CAL (7 yrs),CAL (7 yrs),CAL (7 yrs),,834,3570,98,-8,4,4,-43,55,6.2,120,175,17.4,0.507,0.505,17.2,-3.8,172,$4875000.00,,
