Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1880,22,TRO,NL,83,353,24,0,0,-7,3,20,1.9,12,31,3.2,0.523,0.512,3.9,-0.4,38,,*5,
1881,23,TRO,NL,85,382,7,0,0,-2,0,5,0.4,12,17,1.8,0.506,0.503,2.0,-0.2,19,$900.00,*3,
1882,24,TRO,NL,81,362,33,0,0,4,-1,36,3.2,12,48,4.5,0.54,0.520,4.2,0.2,44,$1200.00,3O5,
1883,25,NYG,NL,98,434,39,0,0,2,0,41,3.4,14,56,4.9,0.536,0.5,4.9,0.1,53,$2000.00,*3,
1884,26,NYG,NL,116,515,27,0,0,-11,0,16,1.2,17,33,3,0.513,0.509,4.2,-1.2,44,$2000.00,4O5,
1885,27,NYG,NL,110,506,55,0,0,15,0,70,6.4,16,86,8.2,0.560,0.540,7,1.4,71,$2200.00,*3,
1886,28,NYG,NL,118,526,51,-2,0,10,0,60,5,17,77,7.1,0.546,0.533,6.4,0.9,67,$3000.00,*3,
1887,29,NYG,NL,127,554,41,2,0,14,0,56,4.3,19,75,6.2,0.536,0.528,5,1.0,61,$3000.00,*3,
1888,30,NYG,NL,134,558,44,-2,0,14,0,55,5.5,19,74,7.6,0.542,0.535,6.3,1.4,60,$3000.00,*3/4,
1889,31,NYG,NL,131,591,45,-2,0,3,0,45,3.6,20,65,5.6,0.529,0.523,5.5,0.2,62,$3500.00,*3/5,
1890,32,NYI,PL,123,573,45,-3,0,19,0,61,4.7,13,75,6.0,0.537,0.528,4.4,2,56,,*3,
1891,33,NYG,NL,129,566,37,-1,0,10,0,46,3.8,19,65,6,0.531,0.525,5.1,0.8,55,$3000.00,*3,
1892,34,PHI,NL,155,686,52,-2,0,-6,0,44,3.9,23,67,6.3,0.526,0.53,7.0,-0.6,73,,*3,
1893,35,NYG,NL,135,605,27,-2,0,7,0,32,2.4,21,52,4.4,0.518,0.515,3.9,0.5,45,,*3/5,
1894,36,NYG,NL,22,95,-1,0,0,3,0,1,0.1,3,5,0.4,0.504,0.501,0.2,0.2,2,,3/O,
1894,36,STL,NL,99,439,23,-1,0,4,0,26,2,15,41,3.3,0.519,0.511,3.0,0.3,37,,*3,
1895,37,STL,NL,104,468,28,-1,0,0,0,27,2.0,16,43,3.6,0.520,0.513,3.7,0.0,43,,*3,
1896,38,STL,NL,126,537,8,-2,0,6,0,12,1.0,18,31,2.8,0.508,0.506,2.4,0.5,25,,*3,
1897,39,STL,NL,22,97,-3,0,0,-3,0,-6,-0.5,3,-3,-0.2,0.477,0.497,0.1,-0.3,0,,3,
18 Seasons,18 Seasons,18 Seasons,,1998,8847,582,-17,0,82,0,647,54.2,290,937,84.3,0.528,0.521,79.4,6.3,856,$23800.00,,
NYG (10 yrs),NYG (10 yrs),NYG (10 yrs),,1120,4950,364,-8,0,67,-1,423,35.9,165,588,53,0.533,0.525,48.7,5.2,521,$21700.00,,
STL (4 yrs),STL (4 yrs),STL (4 yrs),,351,1541,57,-4,0,7,0,59,4.3,53,112,9.5,0.513,0.509,9.1,0.5,105,,,
TRO (3 yrs),TRO (3 yrs),TRO (3 yrs),,249,1097,64,0,0,-5,2,61,5.5,36,97,9.4,0.523,0.512,10.2,-0.4,102,$2100.00,,
NYI (1 yr),NYI (1 yr),NYI (1 yr),,123,573,45,-3,0,19,0,61,4.7,13,75,6,0.537,0.528,4.4,1.6,56,,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,155,686,52,-2,0,-6,0,44,3.9,23,67,6.3,0.526,0.525,7,-0.6,73,,,
