Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,19,STL,NL,18,61,-2,-1,0,-3,1,-5,-0.6,2,-3,-0.4,0.468,0.496,0.0,-0.2,0,$1200.00,6,
1916,20,STL,NL,139,550,27,-1,0,-6,6,25,3.1,17,42,4.9,0.522,0.519,5.6,-0.1,48,$2000.00,563/4,
1917,21,STL,NL,145,588,40,-1,0,18,10,67,8.1,18,85,9.9,0.56,0.550,7.7,3.5,67,$3000.00,*6,
1918,22,STL,NL,115,466,17,-1,0,10,7,33,3.9,14,48,5.4,0.535,0.5,4.3,2.1,37,$4000.00,*6/98,
1919,23,STL,NL,138,577,30,-1,0,8,5,42,4.8,18,59,7,0.536,0.531,5.8,1.5,51,$4000.00,564/3,
1920,24,STL,NL,149,660,60,-1,0,6,3,68,7.4,19,88,9.6,0.551,0.547,9,1.0,81,$5000.00,*4,
1921,25,STL,NL,154,674,76,0,0,10,3,89,9,20,109,10.8,0.557,0.554,9.9,1.3,99,$11000.00,*4/7563,
1922,26,STL,NL,154,704,95,0,0,-13,5,87,8.0,21,108,10.0,0.552,0.549,11,-0.7,121,$18500.00,*4,
1923,27,STL,NL,107,487,54,-1,0,1,2,56,5.3,14,70,6.7,0.550,0.533,6.6,0.3,69,$18500.00,43,
1924,28,STL,NL,143,642,96,-2,0,7,5,105,10.2,19,124,12.1,0.572,0.563,11.5,1.1,117,,*4,MVP-2
1925,29,STL,NL,138,606,88,1,0,0,5,94,8.4,18,112,10.2,0.561,0.552,10.3,0,112,$33333.00,*4,MVP-1
1926,30,STL,NL,134,604,19,0,0,3,5,27,2.6,18,44,4.4,0.520,0.517,4.2,0.7,41,$33333.00,*4,MVP-18
1927,31,NYG,NL,155,684,64,-1,0,12,5,81,7.9,21,101,10.1,0.55,0.549,8.9,1.8,89,$36500.00,*4,MVP-3
1928,32,BSN,NL,140,621,80,0,0,-11,5,73,6.9,19,92,8.8,0.550,0.543,10.0,-0.7,103,$40000.00,*4,MVP-13
1929,33,CHC,NL,156,712,77,0,0,12,5,94,8,21,115,10.4,0.553,0.6,9.4,2,103,$40000.00,*4,MVP-1
1930,34,CHC,NL,42,120,0,0,0,-1,1,0,0.0,4,4,0.3,0.500,0.500,0.4,0,5,$40000.00,4,
1931,35,CHC,NL,100,419,33,0,0,3,3,39,3.9,13,52,5.2,0.540,0.524,5.0,0.6,49,$40000.00,45,
1932,36,CHC,NL,19,70,-1,0,0,0,0,-1,-0.1,2,1,0.1,0.494,0.499,0.1,0.0,1,$40000.00,9/5,
1933,37,STL,NL,46,97,6,0,0,0,1,6,0.7,3,9,1.0,0.515,0.504,1.0,0.0,9,$15000.00,4,
1933,37,SLB,AL,11,11,1,0,0,0,0,2,0.1,0,2,0.2,0.513,0.50,0.2,0,2,,,
1934,38,SLB,AL,24,31,2,0,0,0,0,2,0.2,1,4,0.3,0.509,0.501,0.3,0.0,3,$15000.00,/59,
1935,39,SLB,AL,10,27,-2,0,0,0,0,-2,-0.2,1,-1,-0.1,0.484,0.499,-0.1,0.0,-1,$15000.00,/345,
1936,40,SLB,AL,2,6,0,0,0,0,0,0,0,0,1,0.1,0.513,0.5,0.1,0,1,$18000.00,/3,
1937,41,SLB,AL,20,63,1,0,0,-2,1,0,0.0,2,2,0.2,0.499,0.500,0.4,-0,4,$18333.00,4,
23 Seasons,23 Seasons,23 Seasons,,2259,9480,861,-9,0,54,75,982,98,286,1268,127,0.544,0.5,122,14,1213,$451699.00,,
STL (13 yrs),STL (13 yrs),STL (13 yrs),,1580,6716,605,-9,0,41,56,694,70.4,202,895,91,0.545,0.539,87.1,10.9,854,$148866.00,,
SLB (5 yrs),SLB (5 yrs),SLB (5 yrs),,67,138,4,0,0,-2,0,2,0.2,5,7,0.7,0.503,0.500,0.9,-0.1,9,$66333.00,,
CHC (4 yrs),CHC (4 yrs),CHC (4 yrs),,317,1321,109,1,0,14,9,132,12.0,40,172,16.0,0.538,0.533,15,2.1,158,$160000.00,,
NYG (1 yr),NYG (1 yr),NYG (1 yr),,155,684,64,-1,0,12,5,81,7.9,21,101,10.1,0.552,0.549,8.9,1.8,89,$36500.00,,
BSN (1 yr),BSN (1 yr),BSN (1 yr),,140,621,80,0,0,-11,5,73,6.9,19,92,8.8,0.55,0.543,10,-0.7,103,$40000.00,,
