Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1960,20,CHC,NL,95,382,1,-1,-1,-5,2,-5,-0.6,14,10,0.9,0.495,0.497,1.6,-0.4,15,,5,RoY-4
1961,21,CHC,NL,154,655,20,1,-4,-15,3,6,0.5,25,31,3.0,0.504,0.503,4.6,-1.2,46,,*5,
1962,22,CHC,NL,162,679,-22,-2,-1,-5,4,-26,-2.7,26,-1,-0.1,0.48,0.483,0.3,0.0,4,$22500.00,*5/6,
1963,23,CHC,NL,162,687,19,2,-1,10,4,33,4.0,25,59,6.7,0.524,0.5,5.4,1.7,49,,*5,ASMVP-8
1964,24,CHC,NL,161,686,52,-2,0,3,3,56,6.3,25,82,9,0.538,0.538,8.5,0.8,79,,*5,ASMVP-8GG
1965,25,CHC,NL,164,704,37,-1,-1,7,4,46,5.0,26,72,7.7,0.531,0.531,7,1.2,65,,*5,ASMVP-18GG
1966,26,CHC,NL,155,672,48,1,-1,7,4,59,7,23,82,8.9,0.541,0.539,8.0,1.3,75,,*5/6,ASMVP-12GG
1967,27,CHC,NL,161,697,42,-1,-1,18,3,62,7.3,24,86,9.8,0.544,0.544,8,2.7,68,,*5,MVP-4GG
1968,28,CHC,NL,162,682,22,0,-2,6,3,30,4.0,23,53,6.4,0.523,0.523,5.3,1.5,46,,*5,ASMVP-24GG
1969,29,CHC,NL,160,687,24,0,-3,2,3,27,3.1,23,50,5.5,0.519,0.519,5.1,0.7,48,,*5,ASMVP-5
1970,30,CHC,NL,154,655,15,1,-3,3,3,19,2.1,22,41,4.2,0.513,0.512,3.8,1,38,,*5/7,
1971,31,CHC,NL,154,642,8,1,-2,-3,3,6,0.8,22,28,3,0.505,0.505,3.3,0.1,31,,*5/7,AS
1972,32,CHC,NL,133,547,25,-1,-1,1,3,27,3.2,18,45,4.9,0.523,0.52,4.7,0.6,44,,*5/476,AS
1973,33,CHC,NL,149,604,11,-1,-4,-4,4,5,0.4,20,24,2.3,0.504,0.503,2.8,-0.1,28,$110000.00,*5,AS
1974,34,CHW,AL,117,418,-16,-2,-2,-5,-2,-28,-3.1,15,-13,-1.6,0.473,0.481,-1.0,-0.8,-8,$115000.00,D45/36,
15 Seasons,15 Seasons,15 Seasons,,2243,9397,286,-6,-28,20,44,317,36.8,333,650,70.5,0.516,0.516,66.5,8.7,630,$247500.00,,
,,,,,,,,,,,,,,,,,,,,,,,
CHC (14 yrs),CHC (14 yrs),CHC (14 yrs),,2126,8979,302,-4,-25,25,47,345,40,318,663,72.1,0.518,0.518,67.5,9.5,637,$132500.00,,
CHW (1 yr),CHW (1 yr),CHW (1 yr),,117,418,-16,-2,-2,-5,-2,-28,-3.1,15,-13,-1.6,0.473,0.481,-1,-0.8,-8,$115000.00,,
