Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1917,20,NYG,NL,7,29,3,0,0,0,0,3,0.3,1,4,0.4,0.549,0.502,0.4,0.0,4,,/87,
1918,21,NYG,NL,121,532,15,-1,0,4,-6,12,1.4,16,28,3.0,0.512,0.509,2.6,-0.3,24,,*9/4,
1919,22,NYG,NL,130,561,23,0,0,3,-6,19,2.2,17,36,3.9,0.52,0.514,3.7,-0.5,33,,*9,
1920,23,NYG,NL,153,671,44,-1,0,3,-8,38,4.2,20,58,6.4,0.528,0.5,6.1,-0.6,55,,*9,
1921,24,NYG,NL,141,594,22,-1,0,4,-7,19,1.8,18,37,4,0.514,0.512,3.5,-0.4,33,,*9,
1922,25,NYG,NL,149,643,18,1,0,6,-7,18,1.8,20,38,3.8,0.512,0.511,3,0.0,32,,*9,
1923,26,NYG,NL,152,689,27,-4,0,1,-7,17,2,20,37,3.6,0.511,0.510,3.6,-0.6,36,,*9,
1924,27,NYG,NL,133,612,46,0,0,1,-6,41,4.0,18,59,5.9,0.531,0.526,6,-0.6,58,$16000.00,*9/4,MVP-5
1925,28,NYG,NL,130,584,-7,0,0,-7,-6,-20,-1.9,17,-2,-0.2,0.486,0.489,0.6,-1.2,5,$16000.00,*9/4,
1926,29,NYG,NL,95,421,6,1,0,0,-4,3,0.3,13,16,1.6,0.504,0.502,1.6,-0.5,16,,9,
10 Seasons,10 Seasons,10 Seasons,,1211,5336,198,-4,0,15,-57,151,15.7,159,310,32.2,0.514,0.512,31.0,-5,295,$32000.00,,
