Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1948,26,BRO,NL,83,320,0,-1,1,2,3,4,0.4,13,17,1.7,0.505,0.503,1.5,0.5,15,$6500.00,2,MVP-21
1949,27,BRO,NL,130,507,21,0,-1,1,4,24,2.4,20,44,4.4,0.519,0.515,4.3,0.6,43,$12500.00,*2,ASMVP-15
1950,28,BRO,NL,126,494,21,0,-3,1,4,23,2.2,19,42,4.1,0.52,0.514,4.1,0.5,41,$12500.00,*2,ASMVP-13
1951,29,BRO,NL,143,562,40,1,-4,2,5,45,4.5,21,66,6.7,0.532,0.5,6.6,0.7,64,$18500.00,*2,ASMVP-1
1952,30,BRO,NL,128,533,13,1,-4,1,4,15,1.6,20,35,4,0.513,0.510,3.6,0.6,34,$24500.00,*2,ASMVP-10
1953,31,BRO,NL,144,590,40,1,-1,7,5,52,4.9,22,74,7.0,0.535,0.531,7,1.1,67,$28500.00,*2,ASMVP-1
1954,32,BRO,NL,111,446,-16,-2,-2,1,4,-14,-2,17,3,0.1,0.487,0.491,0.1,0.5,2,$36000.00,*2,AS
1955,33,BRO,NL,123,522,30,-1,-1,2,5,35,3.3,20,54,5.2,0.529,0.522,5,0.6,52,$42000.00,*2,ASMVP-1
1956,34,BRO,NL,124,461,-8,-1,-2,-2,5,-9,-1.2,17,9,0.6,0.492,0.494,1.1,0.2,11,$42000.00,*2,AS
1957,35,BRO,NL,103,380,-12,0,-1,2,5,-6,-0.8,14,8,0.7,0.494,0.496,0.6,0.6,6,$42000.00,2,
10 Seasons,10 Seasons,10 Seasons,,1215,4815,128,-3,-18,17,45,169,15.6,183,352,34.1,0.514,0.512,33.8,6,335,$265000.00,,
