Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1899,19,CIN,NL,31,133,0,0,0,0,-1,-1,-0.1,5,4,0.4,0.497,0.499,0.4,-0.2,3,$900.00,O,
1900,20,CIN,NL,101,424,1,0,0,7,-5,2,0.2,14,17,1.6,0.502,0.501,1.0,0.2,10,,*O,
1901,21,CIN,NL,131,559,41,-1,0,-4,-7,29,2.8,18,47,4.8,0.52,0.518,5.4,-1.2,51,,*O,
1902,22,CIN,NL,140,609,32,-1,0,2,-8,25,2.7,19,45,4.9,0.520,0.5,4.7,-0.7,43,$3500.00,*O,
1903,23,DET,AL,137,602,37,-1,0,4,-7,33,3.3,20,53,6,0.526,0.522,5.4,-0.5,49,,*O,
1904,24,DET,AL,150,617,8,0,0,3,-8,3,0.2,22,25,2.7,0.503,0.502,3,-0.7,22,,*O,
1905,25,DET,AL,154,631,31,-1,0,2,-7,25,3,23,47,5.3,0.519,0.518,5.1,-0.7,45,$2700.00,*O3,
1906,26,DET,AL,145,610,19,-1,0,-4,-7,7,0.9,22,29,3.2,0.506,0.505,4,-1.3,33,,*O3,
1907,27,DET,AL,144,632,36,-1,0,0,-4,31,3.7,22,53,5.9,0.525,0.522,5.9,-0.4,53,,*O/3,
1908,28,DET,AL,152,655,37,-1,0,-9,-4,22,2.7,22,45,5.1,0.518,0.517,6.2,-1.6,53,$4000.00,*83/9,
1909,29,DET,AL,156,665,34,0,0,-2,-4,27,3.1,23,50,5.6,0.521,0.521,6.1,-1,52,,*83,
1910,30,DET,AL,154,653,19,-1,0,-3,-7,7,0.7,24,31,3.3,0.505,0.505,3.8,-1.4,34,,*98/3,
1911,31,DET,AL,146,654,50,-1,0,-8,-8,33,3.4,23,56,5.7,0.52,0.520,6.4,-1.5,64,,*9,MVP-14
1912,32,DET,AL,149,647,32,6,0,-8,-8,22,2.3,24,46,4.7,0.515,0.514,5.5,-1.6,54,$5000.00,*9/78,MVP-14
1913,33,DET,AL,153,672,37,-1,0,-3,-8,25,3,24,48,5.2,0.518,0.5,5.7,-1,51,$5000.00,*93,MVP-14
1914,34,DET,AL,157,673,40,2,0,-2,-8,31,3.5,25,56,6.2,0.523,0.522,6.7,-1.4,58,,*9,MVP-2
1915,35,DET,AL,156,693,24,1,0,-4,-8,14,1.4,25,38,4.0,0.510,0.509,4.5,-1,42,$7500.00,*9,
1916,36,DET,AL,100,368,9,-1,0,-6,-4,-1,-0.2,14,13,1.2,0.498,0.499,2.0,-1.3,18,$7500.00,3,
1917,37,DET,AL,61,113,-6,0,0,-1,-1,-8,-1.0,4,-4,-0.6,0.484,0.494,-0.4,-0,-3,$7500.00,0,
19 Seasons,19 Seasons,19 Seasons,,2517,10610,479,-3,0,-36,-116,325,34.9,374,699,75.2,0.514,0.513,80.3,-18.1,735,$43600.00,,
DET (15 yrs),DET (15 yrs),DET (15 yrs),,2114,8885,405,-1,0,-41,-94,270,29.4,317,587,63.5,0.514,0.514,68.8,-16.2,628,$39200.00,,
CIN (4 yrs),CIN (4 yrs),CIN (4 yrs),,403,1725,74,-2,0,5,-22,55,5.5,57,112,11.7,0.514,0.512,12,-2,107,$4400.00,,
