Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1915,25,WSH,AL,4,8,0,0,0,0,1,1,0.1,0,1,0.1,0.522,0.501,0.1,0.0,1,,/1,
1916,26,WSH,AL,58,215,5,0,0,2,-2,4,0.5,8,12,1.1,0.509,0.503,0.9,-0.1,10,,9/17,
1917,27,WSH,AL,155,656,15,0,0,2,-8,9,1.1,25,34,3.7,0.51,0.507,3.5,-0.8,32,,*9,
1918,28,WSH,AL,7,25,1,0,0,0,0,1,0.1,1,2,0.2,0.513,0.5,0.2,0.0,2,,/9,
1919,29,WSH,AL,141,614,16,-1,0,3,-7,12,1.4,23,34,4,0.509,0.508,3.3,-0.4,31,,*9/87,
1920,30,WSH,AL,153,687,16,3,0,7,-4,22,2.2,25,47,4.6,0.514,0.513,4,0.3,40,,*8/7,
1921,31,WSH,AL,143,630,19,1,0,4,-4,20,2,24,44,4.3,0.514,0.512,3.8,0.1,40,,*8/9,
1922,32,WSH,AL,154,692,4,2,0,-1,-4,0,-0.1,25,25,2.5,0.500,0.500,3,-0.6,26,,*8,
1923,33,WSH,AL,148,671,21,2,0,5,-7,22,2.1,24,46,4.5,0.514,0.513,4.1,-0.2,41,,*9,
1924,34,WSH,AL,154,712,14,1,0,11,-7,19,1.9,25,44,4.4,0.512,0.511,3.3,0.5,33,,*98,
1925,35,WSH,AL,152,710,14,2,0,12,-7,21,2.0,25,46,4.5,0.513,0.512,3.4,1,34,,*98,
1926,36,WSH,AL,152,704,16,-4,0,4,-7,9,0.9,25,34,3.4,0.506,0.506,3,-0.3,30,,*98,MVP-4
1927,37,WSH,AL,142,651,-6,2,0,4,-6,-6,-0.5,23,17,1.8,0.496,0.496,1.4,-0.2,13,,*9/7,
1928,38,WSH,AL,148,681,15,3,0,-3,-7,8,0.8,24,32,3.2,0.506,0.505,3.5,-1,35,,*9/7,
1929,39,WSH,AL,150,689,9,1,0,2,-7,6,0.5,25,30,3,0.504,0.503,2.8,-0.5,28,,*9,
1930,40,WSH,AL,147,669,22,0,0,11,-7,26,2.3,24,50,4.7,0.516,0.514,3.7,0.4,39,,*98,
1931,41,WSH,AL,120,460,2,0,0,2,-5,-1,-0.1,17,16,1.6,0.499,0.499,1.4,-0.2,14,,*978,
1932,42,WSH,AL,106,324,9,0,0,-1,-3,5,0.4,12,17,1.6,0.504,0.503,1.7,-0.4,18,,987,
1933,43,WSH,AL,73,89,0,-1,0,-6,-2,-8,-0.8,3,-5,-0.5,0.489,0.495,0.1,-0.7,1,,98/7,
1934,44,CLE,AL,97,365,-6,1,0,-2,-4,-11,-1.1,14,3,0.2,0.489,0.493,0.5,-0.5,4,,97,
20 Seasons,20 Seasons,20 Seasons,,2404,10252,184,13,0,56,-95,158,15.7,372,530,52.7,0.507,0.506,47.1,-4,474,,,
WSH (19 yrs),WSH (19 yrs),WSH (19 yrs),,2307,9887,191,12,0,58,-92,169,16.8,359,528,52.4,0.507,0.507,46.6,-3.5,470,,,
CLE (1 yr),CLE (1 yr),CLE (1 yr),,97,365,-6,1,0,-2,-4,-11,-1.1,14,3,0.2,0.489,0.493,0.5,-0.5,4,,,
