Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1941,20,STL,NL,12,49,5,0,0,0,-1,4,0.4,2,6,0.6,0.536,0.503,0.6,-0.1,6,$1800.00,/97,
1942,21,STL,NL,140,536,30,0,0,8,-6,31,3.5,17,48,5.3,0.525,0.522,4.4,0.1,40,$4500.00,*7/89,MVP-12
1943,22,STL,NL,157,700,59,-1,0,13,-7,65,7.2,22,86,9.4,0.55,0.545,8.0,0.7,73,$6250.00,*978,ASMVP-1
1944,23,STL,NL,146,668,57,-1,0,14,-6,65,6.8,20,85,8.8,0.547,0.5,7.3,0.9,71,$10000.00,*98,ASMVP-4
,,,,,,,,,,,,,,,,,,,,,,,
1946,25,STL,NL,156,702,65,-1,0,-2,-7,55,6.0,25,81,8.6,0.539,0.537,9,-1.1,82,$13500.00,*37,ASMVP-1
1947,26,STL,NL,149,678,31,0,0,-3,-7,21,2,25,46,4.6,0.514,0.513,4.9,-0.9,49,$31000.00,*3,ASMVP-20
1948,27,STL,NL,155,698,85,1,0,5,-6,85,8.4,26,111,11.1,0.555,0.552,11,-0.1,106,$36000.00,*987/3,ASMVP-1
1949,28,STL,NL,157,722,69,0,1,3,-6,66,6.5,27,93,9.2,0.542,0.541,8.9,-0.4,90,$50000.00,*98/73,ASMVP-2
1950,29,STL,NL,146,645,55,3,1,-2,-6,51,4.8,24,75,7.3,0.534,0.531,7.6,-0.9,77,$50000.00,3789,ASMVP-2
1951,30,STL,NL,152,678,69,-1,1,3,-7,66,6.6,25,90,9.1,0.544,0.541,9.0,-0,87,$75000.00,738/9,ASMVP-2
1952,31,STL,NL,154,678,54,-1,0,2,-3,52,5.5,25,77,8.0,0.536,0.534,8,-0.1,75,$75000.00,*837/91,ASMVP-5
1953,32,STL,NL,157,698,61,1,3,0,-8,56,5.3,25,82,7.7,0.535,0.533,7.9,-0.8,81,$75000.00,*79/8,ASMVP-8
1954,33,STL,NL,153,705,57,-3,0,-1,-8,46,4.5,25,71,6.9,0.530,0.529,7.2,-1,72,$57000.00,*937,ASMVP-6
1955,34,STL,NL,154,656,42,-2,2,4,-8,39,3.6,25,64,6,0.526,0.524,6.0,-0.6,60,$50000.00,*39/7,ASMVP-8
1956,35,STL,NL,156,682,34,3,0,2,-8,32,3.0,25,57,5.6,0.522,0.521,5.7,-0.8,54,$50000.00,*39/7,ASMVP-9
1957,36,STL,NL,134,579,45,-1,1,1,-7,39,3.9,22,61,6.1,0.531,0.525,6.2,-0.8,60,$50000.00,*3,ASMVP-2
1958,37,STL,NL,135,549,29,-1,-1,0,-6,20,2.0,21,41,4.1,0.516,0.513,4.2,-0.7,41,$60000.00,*3,ASMVP-12
1959,38,STL,NL,115,404,2,-1,-1,-7,-5,-12,-1.3,15,3,0.3,0.489,0.492,1.0,-1.2,10,$60000.00,0,AS
1960,39,STL,NL,116,376,9,0,1,0,-5,5,0.4,14,19,2,0.504,0.50,1.9,-0.6,19,$60000.00,8,ASMVP-16
1961,40,STL,NL,123,431,10,-1,0,6,-4,10,1.0,17,27,3,0.509,0.506,2.1,0.1,21,$60000.00,*7,AS
1962,41,STL,NL,135,505,22,0,-1,1,-6,16,1.7,19,35,3.6,0.512,0.510,3.5,-0.5,34,$55000.00,*79,ASMVP-10
1963,42,STL,NL,124,379,-4,2,1,3,-4,-2,-0.2,14,12,1.3,0.498,0.499,1.0,-0,10,$50000.00,7,AS
22 Seasons,22 Seasons,22 Seasons,,3026,12718,885,-4,9,50,-130,810,81.7,458,1268,128.2,0.528,0.526,125,-9.2,1218,$980050.00,,
