Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1939,20,BOS,AL,149,675,54,1,0,2,-7,49,4.5,24,73,6.7,0.530,0.528,6.5,-0.4,71,$4500.00,*9,MVP-4
1940,21,BOS,AL,144,661,54,0,0,-2,-7,46,4.3,21,67,6.3,0.530,0.526,6.4,-0.8,69,$12000.00,*79/1,ASMVP-14
1941,22,BOS,AL,143,606,101,-1,0,-3,-6,91,8.6,21,112,10.6,0.56,0.553,10.9,-0.9,115,$18000.00,*7/9,ASMVP-2
1942,23,BOS,AL,150,671,87,0,0,5,-7,85,8.8,19,104,10.6,0.559,0.6,10.1,-0.2,99,$30000.00,*7/9,ASMVP-2
,,,,,,,,,,,,,,,,,,,,,,,
1946,27,BOS,AL,150,672,87,1,0,4,-7,85,9.0,20,104,10.9,0.560,0.555,11,-0.3,100,$40000.00,*7,ASMVP-1
1947,28,BOS,AL,156,692,83,0,0,0,-7,76,8,19,95,9.9,0.551,0.549,9.9,-0.9,95,$65000.00,*7,ASMVP-2
1948,29,BOS,AL,137,638,72,4,2,0,-6,71,6.8,17,88,8.5,0.550,0.542,8,-0.6,88,$65000.00,*7,ASMVP-3
1949,30,BOS,AL,155,730,82,1,0,-1,-7,75,7.2,20,95,9.1,0.547,0.545,9.3,-0.8,96,$75000.00,*7,ASMVP-1
1950,31,BOS,AL,89,416,37,0,0,-4,-4,29,2.7,12,41,3.9,0.530,0.517,4.2,-0.7,45,$90000.00,7,ASMVP-21
1951,32,BOS,AL,148,675,56,0,4,0,-7,54,5.3,20,74,7.2,0.536,0.533,7.1,-1,73,$90000.00,*7,ASMVP-13
1952,33,BOS,AL,6,12,2,0,0,0,0,2,0.2,0,3,0.3,0.540,0.501,0,0.0,3,$85000.00,/7,
1953,34,BOS,AL,37,110,21,-1,0,-3,-1,17,1.6,3,20,2.0,0.545,0.510,2.3,-0.4,23,$85000.00,7,ASMVP-26
1954,35,BOS,AL,117,526,61,-2,0,4,-5,59,6.2,15,75,7.8,0.553,0.538,7.4,-0,71,$85000.00,*7,ASMVP-7
1955,36,BOS,AL,98,416,51,0,0,7,-4,56,5.6,13,68,7,0.557,0.535,6.1,0.4,61,$67500.00,7,ASMVP-4
1956,37,BOS,AL,136,503,50,-1,0,1,-4,46,4.6,15,62,6.1,0.534,0.528,5.9,-0.3,61,$50000.00,*7,ASMVP-6
1957,38,BOS,AL,132,547,83,-1,-1,2,-5,78,8.0,17,95,9.7,0.561,0.550,9.5,-0.4,93,$50000.00,*7,ASMVP-2
1958,39,BOS,AL,129,517,47,-1,-1,-17,-5,23,2.3,16,39,4.0,0.519,0.515,5.8,-2.4,56,$60000.00,*7,ASMVP-7
1959,40,BOS,AL,103,331,3,0,0,-11,-3,-11,-1.3,10,-1,-0.2,0.489,0.493,1.0,-1.6,11,$60000.00,7,ASMVP-26
1960,41,BOS,AL,113,390,38,0,2,-16,-4,20,1.9,12,32,3,0.518,0.51,4.8,-2.2,47,$60000.00,7,ASMVP-13
19 Seasons,19 Seasons,19 Seasons,,2292,9788,1069,1,7,-32,-95,950,94.1,294,1244,123,0.541,0.535,126.4,-13.3,1276,$1092000.00,,
