Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1979,19,MON,NL,6,0,0,0,0,0,0,0,0.0,0,0,0.0,0.507,0.500,0.0,0.0,0,,,
1980,20,MON,NL,15,27,-2,0,0,-1,0,-2,-0.2,1,-1,-0.1,0.486,0.499,0.0,-0.1,0,,/47,
1981,21,MON,NL,88,363,13,9,-1,1,-3,20,2.3,12,32,3.5,0.53,0.514,3.3,-0.2,31,$35000.00,*7/4,ASMVP-19RoY-2
1982,22,MON,NL,156,731,5,8,1,-6,-3,5,0.5,23,27,2.8,0.503,0.5,3.2,-0.9,33,$200000.00,*74,AS
1983,23,MON,NL,156,720,27,13,0,1,-5,36,3.7,23,58,6,0.525,0.524,5.8,-0.5,57,$250000.00,*7/489,ASMVP-5
1984,24,MON,NL,160,718,30,8,1,-2,2,38,4.2,23,61,6.5,0.526,0.526,7,0.0,63,$790000.00,*8/4,ASMVP-11
1985,25,MON,NL,150,665,35,12,1,7,-5,49,5,22,71,7.6,0.536,0.533,6.7,0.2,64,$1200000.00,*7,ASMVP-12
1986,26,MON,NL,151,664,32,9,1,-5,-5,31,3.3,22,53,5.5,0.522,0.521,6,-1.2,58,$1515000.00,*7,ASMVP-6SS
1987,27,MON,NL,139,627,36,9,0,7,-5,47,4.7,20,67,6.7,0.534,0.529,6.0,0.2,60,$1666333.00,*7,ASMVP-7
1988,28,MON,NL,109,488,9,5,1,7,-4,18,2.0,16,33,3.6,0.519,0.513,2.7,0.3,26,$1666333.00,7,
1989,29,MON,NL,145,618,18,7,0,-4,-5,17,1.7,20,37,3.7,0.513,0.512,4.1,-1,40,$2104889.00,*7,MVP-17
1990,30,MON,NL,130,538,13,4,1,-3,-4,10,1.2,17,28,3,0.509,0.507,3.0,-0.8,31,$2055555.00,*7,
1991,31,CHW,AL,155,709,0,7,1,7,-7,8,0.9,24,32,3.2,0.505,0.51,2.5,0.1,25,$3500000.00,*7D/89,
1992,32,CHW,AL,144,644,19,9,2,15,-6,38,4.1,23,61,6.3,0.528,0.525,4.8,1.0,46,$3500000.00,*7D/8,
1993,33,CHW,AL,115,486,25,4,0,-4,-4,21,2.0,18,39,3.8,0.518,0.513,4.3,-0.9,43,$3500000.00,*7,
1994,34,CHW,AL,101,453,2,5,-1,1,-4,3,0.3,17,20,1.8,0.503,0.502,1.8,-0.2,19,$3650000.00,*7,
1995,35,CHW,AL,133,581,11,2,1,-13,-6,-6,-1,22,16,1.5,0.496,0.497,2.9,-2,30,$3700000.00,*7D/9,
1996,36,NYY,AL,59,240,4,1,0,-2,-2,2,0,9,11,1.1,0.503,0.501,1.2,-0.3,13,$2100000.00,7/D,
1997,37,NYY,AL,74,318,12,1,1,-9,-3,2,0.2,12,14,1.4,0.502,0.501,2,-1.1,22,$1703644.00,7D,
1998,38,NYY,AL,109,382,7,0,1,-6,-7,-6,-0.5,14,9,0.9,0.50,0.497,1.4,-1.2,15,$1300000.00,D7,
1999,39,OAK,AL,58,164,-3,1,-1,1,-1,-3,-0.2,6,3,0.3,0.496,0.498,0.2,0.0,2,$600000.00,7/D8,
,,,,,,,,,,,,,,,,,,,,,,,
2001,41,MON,NL,47,97,3,1,0,-1,-1,3,0.2,3,6,1,0.505,0.502,0.6,-0.2,7,$350000.00,7,
2001,41,BAL,AL,4,12,0,0,0,1,0,1,0.1,0,1,0.1,0.513,0.500,0.0,0,0,,/7D,
2002,42,FLA,NL,98,114,-5,1,0,1,0,-4,-0.4,4,0,-0.1,0.496,0.498,-0,0.0,-1,$350000.00,7/D,
23 Seasons,23 Seasons,23 Seasons,,2502,10359,291,115,8,-7,-79,328,35.4,350,678,69.4,0.514,0.512,69.3,-8.6,685,$35736754.00,,
MON (13 yrs),MON (13 yrs),MON (13 yrs),,1452,6256,219,86,4,2,-38,272,29.0,201,473,49.2,0.520,0.518,48.2,-4.2,471,$11833110.00,,
CHW (5 yrs),CHW (5 yrs),CHW (5 yrs),,648,2873,57,26,3,5,-26,65,7.0,103,168,16.6,0.510,0.509,16.2,-1.9,163,$17850000.00,,
NYY (3 yrs),NYY (3 yrs),NYY (3 yrs),,242,940,23,2,2,-16,-12,-2,0.0,35,33,3.3,0.499,0.499,4.8,-3,49,$5103644.00,,
OAK (1 yr),OAK (1 yr),OAK (1 yr),,58,164,-3,1,-1,1,-1,-3,-0.2,6,3,0.3,0.50,0.498,0.2,0.0,2,$600000.00,,
FLA (1 yr),FLA (1 yr),FLA (1 yr),,98,114,-5,1,0,1,0,-4,-0.4,4,0,-0.1,0.496,0.498,-0.2,0,-1,$350000.00,,
BAL (1 yr),BAL (1 yr),BAL (1 yr),,4,12,0,0,0,1,0,1,0.1,0,1,0.1,0.513,0.5,0,0.1,0,,,
