Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1982,22,SDP,NL,54,209,3,1,0,0,-1,3,0.3,7,10,1.0,0.505,0.502,0.9,-0.1,9,,879,
1983,23,SDP,NL,86,334,3,3,0,5,-3,7,0.7,11,19,1.9,0.509,0.505,1.3,0.2,14,,12,
1984,24,SDP,NL,158,675,33,-4,-1,13,-5,36,4.0,23,59,6.3,0.53,0.525,4.8,0.8,46,,*9/8,ASMVP-3SS
1985,25,SDP,NL,154,671,18,1,1,12,-5,26,2.9,22,49,5.2,0.519,0.5,3.8,0.7,37,$440000.00,*9,ASMVP-23
1986,26,SDP,NL,160,701,29,5,1,12,-6,40,4.3,23,64,7,0.528,0.527,5.3,0.7,52,$540000.00,*9,ASMVP-9GGSS
1987,27,SDP,NL,157,680,49,11,1,7,-5,62,6.3,23,85,8.6,0.540,0.539,8,0.1,79,$765000.00,*9,ASMVP-8GGSS
1988,28,SDP,NL,133,578,18,1,1,-3,-3,13,1,19,32,3.4,0.511,0.509,3.8,-0.8,36,$840000.00,*98,MVP-11
1989,29,SDP,NL,158,679,25,3,1,-23,-1,5,0.4,21,27,2.5,0.504,0.504,5,-2.8,49,$1141667.00,*89,ASMVP-8GGSS
1990,30,SDP,NL,141,629,4,2,2,7,-5,9,1.1,19,28,2.9,0.507,0.506,1.9,0.3,21,$1066667.00,*9,ASGG
1991,31,SDP,NL,134,569,12,-1,1,28,-5,35,3.8,18,53,5.7,0.529,0.524,2.4,2.6,25,$2162500.00,*9,ASMVP-16GG
1992,32,SDP,NL,128,569,10,0,1,19,-5,26,3.0,16,42,4.6,0.524,0.519,2.3,2,23,$2025000.00,*9,AS
1993,33,SDP,NL,122,534,26,3,-2,-8,-4,15,1.6,16,31,3,0.513,0.509,3.7,-1.2,39,$4333333.00,*9/8,ASMVP-21
1994,34,SDP,NL,110,475,42,2,-1,-11,-4,28,2.7,15,43,4.2,0.525,0.52,5.2,-1.5,53,$3633333.00,*9/8,ASMVP-7SS
1995,35,SDP,NL,135,577,27,2,0,-18,-5,7,0.6,18,24,2.3,0.505,0.504,4.0,-2.3,42,$4658334.00,*9,ASMVP-9SS
1996,36,SDP,NL,116,498,15,-3,0,3,-4,11,0.8,15,26,2.3,0.509,0.507,2.2,-0.3,23,$4300000.00,*9,AS
1997,37,SDP,NL,149,651,44,1,2,-15,-6,26,2.4,19,46,4.3,0.517,0.516,5.9,-2.2,61,$4575000.00,*9/D,ASMVP-6SS
1998,38,SDP,NL,127,505,23,-1,0,-17,-4,2,0.0,16,18,1.6,0.501,0.501,3.4,-2,34,$4050000.00,*9/D,ASMVP-15
1999,39,SDP,NL,111,446,14,-1,-2,-2,-4,6,0,14,20,1.8,0.505,0.503,2.0,-1,22,$4400000.00,9/D,AS
2000,40,SDP,NL,36,140,2,0,1,-2,-2,0,0.0,4,4,0.4,0.500,0.500,0.6,-0.3,6,$6300000.00,9/D,
2001,41,SDP,NL,71,112,5,0,1,-2,0,3,0,3,6,0.6,0.504,0.502,0.9,-0.3,9,$2000000.00,9/D,
20 Seasons,20 Seasons,20 Seasons,,2440,10232,403,23,6,6,-78,361,36.8,325,685,69.2,0.52,0.514,67,-7.6,679,$47230834.00,,
