Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1926,22,NYY,AL,155,665,2,1,0,-7,5,2,0.2,25,27,2.7,0.501,0.501,3.4,-0.2,34,$5000.00,*4/65,MVP-10
1927,23,NYY,AL,153,660,19,-1,0,14,7,39,3.8,25,64,6.3,0.525,0.523,4.9,2.0,50,$8000.00,*46/5,MVP-11
1928,24,NYY,AL,116,464,25,2,0,-1,4,30,2.9,17,47,4.7,0.53,0.518,4.7,0.3,48,$12500.00,*4,MVP-3
1929,25,NYY,AL,147,639,51,-1,0,3,5,57,5.3,24,81,7.8,0.536,0.5,7.4,0.8,78,$12500.00,*4,
1930,26,NYY,AL,143,650,13,0,0,-4,5,13,1.2,23,37,4,0.508,0.507,3.8,0.1,41,$16000.00,45/637,
1931,27,NYY,AL,135,569,6,1,0,1,4,12,1.1,21,33,3.2,0.508,0.507,3,0.5,32,$16000.00,45,
1932,28,NYY,AL,142,603,30,-2,0,1,5,33,3,23,56,5.2,0.522,0.519,5.1,0.5,55,$12000.00,*4/5,MVP-8
1933,29,NYY,AL,139,603,26,1,0,-10,5,22,2.1,23,44,4.2,0.515,0.513,5,-0.5,54,$12000.00,*4,ASMVP-14
1934,30,NYY,AL,123,516,10,2,0,3,4,19,1.7,19,38,3.5,0.514,0.511,3.3,0.6,35,$12000.00,45,
1935,31,NYY,AL,130,544,3,1,0,0,5,9,0.7,20,29,2.7,0.506,0.505,2.8,0.4,29,$12000.00,*4/6,
1936,32,NYY,AL,150,638,11,0,0,-7,5,9,0.7,23,31,2.9,0.505,0.505,3.5,-0,38,$12000.00,*4/6,
1937,33,NYY,AL,126,518,-11,1,0,5,5,1,0.0,19,19,2,0.500,0.500,1.4,0.9,14,$15000.00,*4,
1938,34,CHC,NL,54,144,3,0,0,0,2,6,0.5,5,10,1.0,0.511,0.50,1.1,0.2,10,,6/547,
1939,35,BRO,NL,14,51,4,0,0,-1,0,4,0.3,2,5,0.5,0.525,0.502,0.6,-0.1,6,,4/5,
1939,35,NYG,NL,13,51,0,0,0,-1,0,0,0.0,2,1,0.1,0.497,0.500,0.2,-0.1,2,,5,
14 Seasons,14 Seasons,14 Seasons,,1740,7315,193,4,0,-4,59,253,24,270,523,50.0,0.514,0.511,50.5,5.2,527,$145000.00,,
,,,,,,,,,,,,,,,,,,,,,,,
NYY (12 yrs),NYY (12 yrs),NYY (12 yrs),,1659,7069,185,4,0,-2,56,244,22.8,262,507,48,0.514,0.512,48.6,5.2,508,$145000.00,,
NYG (1 yr),NYG (1 yr),NYG (1 yr),,13,51,0,0,0,-1,0,0,0.0,2,1,0.1,0.497,0.500,0.2,-0.1,2,,,
BRO (1 yr),BRO (1 yr),BRO (1 yr),,14,51,4,0,0,-1,0,4,0.3,2,5,0.5,0.525,0.502,0.6,-0.1,6,,,
CHC (1 yr),CHC (1 yr),CHC (1 yr),,54,144,3,0,0,0,2,6,0.5,5,10,1.0,0.511,0.50,1.1,0.2,10,,,
