Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1964,22,CIN,NL,12,28,-3,0,0,0,0,-3,-0.4,1,-2,-0.2,0.470,0.498,-0.3,0.0,-2,,/3,
1965,23,CIN,NL,104,307,3,-2,-1,-1,-4,-5,-0.5,12,7,0.7,0.495,0.497,0.7,-0.5,8,,3,
1966,24,CIN,NL,99,278,-5,-1,-2,-2,-3,-14,-1.5,10,-4,-0.4,0.49,0.491,-0.3,-0.5,-2,,3,
1967,25,CIN,NL,156,644,15,0,-2,-9,2,6,0.8,23,29,3.2,0.504,0.5,4.1,-0.7,38,,*53/4,ASMVP-8
1968,26,CIN,NL,160,690,21,3,-2,1,3,26,3.5,23,49,6,0.520,0.520,5.4,0.8,47,,*5,ASMVP-19
1969,27,CIN,NL,160,704,32,-1,-2,0,3,32,3.7,23,55,6.0,0.522,0.522,6,0.5,55,,*5,ASMVP-10
1970,28,CIN,NL,158,681,47,1,-2,-2,3,47,5,23,71,7.2,0.530,0.530,7.2,0.2,72,,*5/3,ASMVP-3
1971,29,CIN,NL,158,664,11,-2,-1,6,1,15,1.8,23,38,4.1,0.511,0.511,3,0.8,32,,*53,
1972,30,CIN,NL,136,576,27,1,0,5,-8,24,2.9,19,43,4.7,0.521,0.517,4.0,-0.2,38,,*3,
1973,31,CIN,NL,151,647,41,0,-1,-1,-7,32,3.3,21,53,5.3,0.523,0.521,5.4,-1.0,53,,*3,MVP-7
1974,32,CIN,NL,158,667,14,-1,-3,3,-7,5,0.5,22,27,2.5,0.504,0.503,2.2,-1,24,,*3,AS
1975,33,CIN,NL,137,574,15,-2,-1,7,-6,12,1.3,19,31,3,0.510,0.508,2.3,0.0,24,,*3,ASMVP-15
1976,34,CIN,NL,139,586,10,1,0,4,-7,7,0.8,19,26,2.6,0.506,0.51,2.1,-0.4,23,,*3,AS
1977,35,MON,NL,154,633,15,-1,-2,5,-8,9,0.9,20,30,2.8,0.506,0.506,2.3,-0.4,25,$150000.00,*3,
1978,36,MON,NL,148,590,13,1,0,6,-7,13,1.4,19,32,3.3,0.510,0.509,2.5,-0.1,26,,*3,
1979,37,MON,NL,132,537,3,-4,-2,-1,-7,-11,-1,17,6,0.5,0.491,0.493,1,-0.9,7,,*3,
1980,38,BOS,AL,151,635,6,-1,-4,-6,-9,-14,-1.3,22,8,0.7,0.490,0.491,1.3,-1.4,14,$391666.00,*3D,MVP-22
1981,39,BOS,AL,84,336,1,-2,-1,2,-5,-6,-0.7,11,6,0.4,0.492,0.496,0.3,-0.4,4,$391666.00,3D,
1982,40,BOS,AL,69,215,2,1,-1,0,-4,-3,-0.3,7,4,0.4,0.496,0.498,0.4,-0.5,5,$391666.00,D/3,
1983,41,PHI,NL,91,285,-1,-1,-1,1,-3,-6,-0.7,10,4,0.3,0.493,0.496,0.2,-0.3,4,,3,
1984,42,CIN,NL,71,149,-4,0,-1,-3,-1,-10,-1.1,5,-5,-0.6,0.484,0.493,-0.3,-0.5,-2,,3,
1985,43,CIN,NL,72,207,10,0,0,1,-2,9,1.0,7,16,1.7,0.513,0.506,1.6,-0.2,15,$225000.00,3,
1986,44,CIN,NL,77,228,-2,-1,-1,-2,-2,-8,-0.9,8,0,-0.1,0.489,0.495,0.1,-0.4,2,$275000.00,3,
23 Seasons,23 Seasons,23 Seasons,,2777,10861,267,-12,-30,13,-79,159,18,363,522,54,0.506,0.507,51,-6.6,509,$1824998.00,,
CIN (16 yrs),CIN (16 yrs),CIN (16 yrs),,1948,7630,230,-5,-19,7,-37,176,20,256,433,45.6,0.51,0.51,43.5,-2.7,426,$500000.00,,
BOS (3 yrs),BOS (3 yrs),BOS (3 yrs),,304,1186,8,-2,-6,-4,-18,-23,-2.3,41,18,1.5,0.492,0.494,2,-2.3,22,$1174998.00,,
MON (3 yrs),MON (3 yrs),MON (3 yrs),,434,1760,30,-3,-4,10,-22,11,1,57,67,6.6,0.503,0.503,5.4,-1.4,58,$150000.00,,
PHI (1 yr),PHI (1 yr),PHI (1 yr),,91,285,-1,-1,-1,1,-3,-6,-0.7,10,4,0.3,0.493,0.496,0.2,-0.3,4,,,
