Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1922,18,NYG,NL,3,9,-3,0,0,0,0,-3,-0.3,0,-2,-0.2,0.414,0.498,-0.2,0.0,-2,,/6,
1923,19,NYG,NL,96,350,-7,0,0,12,5,10,1.0,11,21,2.1,0.510,0.506,0.9,1.7,9,,65/4,
1924,20,NYG,NL,151,633,0,0,0,10,10,20,2.0,20,40,4.0,0.51,0.513,3.1,2.0,30,,*6,MVP-18
1925,21,NYG,NL,112,444,-8,1,0,-3,7,-3,-0.3,14,11,1.0,0.498,0.5,1.4,0.4,14,,*6,
1926,22,NYG,NL,111,420,15,0,0,10,7,32,3.2,13,45,5,0.529,0.520,3.5,1.7,35,,*6/9,
1927,23,NYG,NL,127,517,16,0,0,11,8,35,3.5,16,51,5.1,0.528,0.522,4,2.0,40,,*6/5,MVP-5
1928,24,NYG,NL,150,626,0,0,0,25,10,35,3,19,54,5.4,0.523,0.522,2.9,3.5,29,,*6,MVP-9
1929,25,NYG,NL,149,634,7,-1,0,25,10,42,3.8,20,61,5.7,0.526,0.524,4,3.2,36,,*6,MVP-15
1930,26,NYG,NL,116,482,15,-1,0,18,8,40,3.5,15,55,4.9,0.530,0.521,3.4,2.2,37,,*6,
1931,27,NYG,NL,145,594,7,-1,0,18,10,34,3.5,18,53,5.4,0.525,0.522,3.6,2.8,35,,*6,MVP-7
1932,28,NYG,NL,52,211,-1,0,0,-2,4,0,0.0,7,7,0.7,0.500,0.500,0.9,0,9,,6,
1933,29,NYG,NL,53,134,-5,0,0,1,2,-2,-0.3,4,2,0,0.495,0.498,0.1,0.3,1,,56,
1934,30,NYG,NL,137,574,-1,0,0,12,9,20,2.0,18,38,3.8,0.515,0.51,2.6,2.1,26,,*6/5,ASMVP-4
1935,31,NYG,NL,128,556,5,0,0,0,3,7,0.8,17,25,2.5,0.506,0.505,2.5,0.3,24,,*5,MVP-24
1936,32,NYG,NL,126,497,-33,1,0,2,3,-28,-2.9,16,-12,-1.2,0.477,0.482,-1.4,0.5,-14,,*5/6,
15 Seasons,15 Seasons,15 Seasons,,1656,6681,7,-1,0,139,95,240,23,207,447,44.0,0.514,0.512,30.8,22.9,308,,,
