Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1907,19,BOS,AL,7,20,-2,0,0,0,0,-2,-0.2,1,-1,-0.2,0.467,0.499,-0.2,0.0,-1,,/O,
1908,20,BOS,AL,31,126,-3,0,0,1,-1,-3,-0.4,5,1,0.1,0.487,0.498,-0.1,0.0,0,,8/7,
1909,21,BOS,AL,143,609,29,1,0,8,-4,34,4.0,21,55,6.3,0.53,0.526,5.5,0.4,47,,*8,
1910,22,BOS,AL,141,612,42,0,0,8,-4,46,5.2,22,68,7.7,0.538,0.5,6.8,0.4,60,,*8,
1911,23,BOS,AL,141,598,41,-1,0,2,-4,38,3.9,23,61,6,0.527,0.524,5.9,-0.1,59,,*8,MVP-6
1912,24,BOS,AL,153,674,69,2,0,8,-4,75,7.6,24,100,10.1,0.550,0.547,9,0.4,92,,*8,MVP-1
1913,25,BOS,AL,141,611,53,2,0,4,-4,56,6,22,78,8.4,0.544,0.538,8.1,0.0,74,$9000.00,*8,MVP-4
1914,26,BOS,AL,158,667,52,1,0,14,-4,63,7.2,25,88,10.0,0.547,0.546,9,1.1,74,$17500.00,*8/31,MVP-12
1915,27,BOS,AL,150,653,37,-2,0,10,-4,41,4.6,24,65,7.1,0.531,0.529,6.0,0.7,55,$17500.00,*8/9,
1916,28,CLE,AL,151,646,58,-1,0,1,-4,54,6.2,24,78,8.7,0.542,0.539,8.6,-0.4,77,$15000.00,*8,
1917,29,CLE,AL,142,614,45,0,0,4,-4,45,5.3,23,68,7.7,0.538,0.533,7.2,0,64,$15000.00,*8,
1918,30,CLE,AL,127,553,25,0,0,6,-3,28,3.3,20,48,5.5,0.526,0.521,4.8,0.3,42,$15000.00,*8,
1919,31,CLE,AL,134,591,20,-1,0,10,-3,26,3.0,21,48,5.2,0.52,0.518,4.0,0.8,38,$18000.00,*8,
1920,32,CLE,AL,150,674,65,-1,0,3,-4,63,6.1,24,87,8.5,0.541,0.538,8.2,-0.1,84,$20000.00,*8,
1921,33,CLE,AL,132,588,39,0,0,10,-3,46,4,22,68,6.5,0.532,0.5,5.4,1,58,,*8,
1922,34,CLE,AL,131,518,53,1,0,0,-3,51,4.9,20,71,6.9,0.538,0.531,7.0,-0,71,$30000.00,*8,
1923,35,CLE,AL,150,695,74,-1,0,-1,-4,68,6.5,25,93,9.0,0.544,0.540,9.1,-0.5,94,$30000.00,*8,
1924,36,CLE,AL,135,575,33,-1,0,-4,-3,25,2.4,22,46,4.6,0.517,0.514,4.9,-0.6,50,$30000.00,*8,
1925,37,CLE,AL,117,518,49,1,0,2,-3,50,4.5,19,69,6.5,0.539,0.528,6.3,-0.1,67,$30000.00,*8,
1926,38,CLE,AL,150,661,26,2,0,6,-4,30,3,25,55,5.4,0.52,0.518,4.9,0.2,49,$30000.00,*8,
1927,39,WSH,AL,141,596,18,-1,0,1,-4,14,1.4,22,37,3.6,0.51,0.508,3.5,-0.2,36,$30000.00,*83/9,
1928,40,PHA,AL,64,212,-2,1,0,-1,-1,-3,-0.3,8,5,0.5,0.495,0.498,0.6,-0.2,6,$15000.00,8/7,
22 Seasons,22 Seasons,22 Seasons,,2789,12011,822,1,0,92,-71,845,88.6,441,1286,134.1,0.532,0.528,124.2,2.5,1194,$322000.00,,
CLE (11 yrs),CLE (11 yrs),CLE (11 yrs),,1519,6633,488,-1,0,37,-39,485,49.5,245,730,74.2,0.533,0.528,70.4,0,693,$233000.00,,
BOS (9 yrs),BOS (9 yrs),BOS (9 yrs),,1065,4570,319,2,0,55,-28,348,38,166,514,55.8,0.536,0.533,49.7,3,460,$44000.00,,
WSH (1 yr),WSH (1 yr),WSH (1 yr),,141,596,18,-1,0,1,-4,14,1.4,22,37,3.6,0.51,0.508,3.5,-0.2,36,$30000.00,,
PHA (1 yr),PHA (1 yr),PHA (1 yr),,64,212,-2,1,0,-1,-1,-3,-0.3,8,5,0.5,0.495,0.498,0.6,-0.2,6,$15000.00,,
