Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1905,18,DET,AL,41,164,-2,0,0,0,-1,-4,-0.5,6,2,0.2,0.489,0.497,0.2,-0.2,2,,O,
1906,19,DET,AL,98,394,12,0,0,0,-4,9,1.0,14,23,2.5,0.510,0.506,2.5,-0.4,23,$1500.00,O,
1907,20,DET,AL,150,642,39,4,0,2,-8,38,4.4,23,60,6.8,0.53,0.527,6.5,-0.7,58,$2400.00,*O,
1908,21,DET,AL,150,633,40,2,0,-3,-8,31,3.8,22,53,6.2,0.525,0.5,6.5,-1.4,56,$4500.00,*9/8,
1909,22,DET,AL,156,655,58,9,0,4,-8,63,7.4,23,86,10,0.548,0.547,9.6,-0.7,82,$4500.00,*9/8,
1910,23,DET,AL,140,597,61,7,0,8,-4,72,8.1,22,94,10.6,0.559,0.551,10,0.4,86,$9000.00,*89,
1911,24,DET,AL,146,656,74,11,0,4,-4,85,8,23,108,10.7,0.557,0.551,10.2,0.1,104,$9000.00,*8,MVP-1
1912,25,DET,AL,140,610,68,2,0,2,-4,68,6.8,22,91,9.2,0.549,0.542,9,-0.2,89,$9000.00,*8/7,MVP-7
1913,26,DET,AL,122,504,50,3,0,-1,-3,49,5.3,19,68,7.4,0.544,0.533,7.6,-0.5,69,$11333.00,*89/4,MVP-20
1914,27,DET,AL,98,415,38,3,0,-4,-2,34,3.8,16,50,5.6,0.540,0.524,6.2,-0.8,54,$15000.00,8,MVP-14
1915,28,DET,AL,156,701,64,8,0,-3,-4,64,6.9,25,89,9.5,0.545,0.543,9.9,-1,92,$20000.00,*8,
1916,29,DET,AL,145,637,51,7,0,-5,-4,49,5.6,23,72,8.0,0.539,0.535,8.7,-1.1,77,$20000.00,*8/37,
1917,30,DET,AL,152,672,70,4,0,6,-5,76,8.8,24,100,11.3,0.56,0.555,10.6,0.2,94,$20000.00,*89,
1918,31,DET,AL,111,474,43,1,0,-1,-3,40,4.7,18,58,6.5,0.543,0.529,6.7,-0.5,59,$20000.00,83/1459,
1919,32,DET,AL,124,548,41,0,0,-6,-3,32,4,20,52,5.5,0.528,0.5,6.1,-1,58,$20000.00,*8,
1920,33,DET,AL,112,495,22,0,0,-4,-3,16,1.6,18,34,3.3,0.514,0.510,3.8,-1,38,$20000.00,*8,
1921,34,DET,AL,128,582,53,-1,0,0,-3,49,4.6,21,70,6.7,0.535,0.528,6.6,-0.3,70,$25000.00,*8,
1922,35,DET,AL,137,613,57,-3,0,-4,-4,46,4.4,22,69,6.7,0.533,0.528,7.2,-0.8,73,$35000.00,*8,
1923,36,DET,AL,145,648,31,-1,0,6,-4,32,3.1,24,56,5.5,0.522,0.519,4.9,0.2,50,$40000.00,*8,
1924,37,DET,AL,155,727,28,0,0,5,-4,29,2.9,26,55,5.4,0.518,0.517,4.9,0.2,50,$40000.00,*8,
1925,38,DET,AL,121,492,48,0,0,-2,-3,43,3.9,19,62,5.6,0.533,0.524,5.8,-0.5,64,$40000.00,*8/91,
1926,39,DET,AL,79,273,14,1,0,-6,-2,7,0.7,10,17,1.7,0.508,0.504,2.3,-1,23,$40000.00,87/9,
1927,40,PHA,AL,133,574,29,-2,0,0,-5,23,2.3,22,45,4.4,0.517,0.514,4.4,-0.4,45,$50000.00,*98,
1928,41,PHA,AL,95,393,8,-2,0,2,-4,4,0.4,15,19,1.9,0.5,0.503,1.7,-0.2,17,$35000.00,9,
24 Seasons,24 Seasons,24 Seasons,,3034,13099,997,52,0,0,-96,954,102.0,476,1431,151.0,0.534,0.529,151.2,-10.8,1430,$491233.00,,
DET (22 yrs),DET (22 yrs),DET (22 yrs),,2806,12132,960,56,0,-2,-87,927,99.3,440,1367,144.7,0.536,0.530,145.2,-10.2,1369,$406233.00,,
PHA (2 yrs),PHA (2 yrs),PHA (2 yrs),,228,967,37,-3,0,2,-9,27,2.7,36,63,6.3,0.511,0.509,6,-0.6,61,$85000.00,,
